date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-3.89,-3.89,-3.89,-3.28,-3.28,-3.89,-3.89,-3.28,-3.28,-2.22,-2.22,-1.72,-2.22,-2.78,-3.28,-4.39,-4.39,-4.39,-3.89,-4.39,-2.78,-2.78,-2.78,-3.28
2017-01-01,relh,43.44,45.12,46.7,52.78,50.98,50.42,52.61,57.47,52.78,51.08,45.61,45.75,42.33,40.62,37.57,36.01,38.8,40.44,45.12,48.56,61.78,75.26,72.04,72.52
2017-01-01,sped,17.63,16.2,14.51,11.41,10.7,10.44,11.15,9.82,10.26,9.82,6.72,9.38,10.26,9.91,8.67,8.76,7.52,5.48,2.92,5.48,3.27,2.21,5.13,5.84
2017-01-01,tmpc,7.78,7.22,6.72,5.61,6.11,5.61,5.0,4.39,5.61,7.22,8.89,9.39,10.0,10.0,10.61,10.0,8.89,8.28,7.22,5.61,3.89,1.11,1.72,1.11
2017-01-02,dwpc,-3.89,-2.78,-2.78,-2.22,-0.3,0.61,1.11,1.42,2.22,2.22,3.14,3.92,4.5,5.0,4.39,4.26,4.39,4.06,3.89,3.89,3.58,3.89,3.89,3.89
2017-01-02,relh,75.07,69.51,69.51,67.2,78.78,85.64,85.69,90.77,88.87,85.81,87.76,91.74,91.42,92.58,91.84,90.22,91.84,89.73,92.52,90.6,90.57,92.52,92.52,92.52
2017-01-02,sped,5.48,3.98,5.31,4.33,2.96,5.22,6.1,5.59,5.75,7.31,7.31,7.15,8.79,10.79,12.47,11.25,11.19,10.84,12.73,14.21,14.05,12.65,13.72,13.55
2017-01-02,tmpc,0.0,2.22,2.22,3.28,3.03,2.78,3.28,2.78,3.89,4.39,5.0,5.15,5.8,6.11,5.61,5.74,5.61,5.61,5.0,5.3,5.0,5.0,5.0,5.0
2017-01-03,dwpc,3.89,3.89,3.89,3.94,3.89,3.89,3.94,4.39,4.39,5.0,5.61,5.86,6.57,6.98,7.36,7.78,7.3,6.72,6.31,5.94,5.61,5.61,5.61,5.61
2017-01-03,relh,92.52,88.67,92.52,92.88,92.52,92.52,92.88,95.82,91.84,95.84,92.62,92.64,92.07,93.12,92.98,94.7,94.85,93.03,93.98,93.72,92.62,92.62,92.62,92.62
2017-01-03,sped,13.39,12.56,13.0,11.75,11.06,13.19,11.91,10.79,11.06,10.35,10.62,11.15,10.42,9.2,7.05,7.52,7.44,7.52,7.13,5.83,5.83,5.83,8.93,9.73
