date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,1,0,inf
2020-01-24,1,1,0.0,1,0,100.0
2020-01-25,1,0,0.0,1,0,100.0
2020-01-26,1,0,0.0,1,0,100.0
2020-01-27,1,0,0.0,1,0,100.0
2020-01-28,1,0,0.0,1,0,100.0
2020-01-29,1,0,0.0,1,0,100.0
2020-01-30,1,0,0.0,1,0,100.0
2020-01-31,2,1,0.0,1,0,50.0
2020-02-01,2,0,0.0,1,0,50.0
2020-02-02,2,0,0.0,1,0,50.0
2020-02-03,2,0,0.0,1,0,50.0
2020-02-04,2,0,0.0,1,0,50.0
2020-02-05,2,0,0.0,1,0,50.0
2020-02-06,2,0,0.0,1,0,50.0
2020-02-07,2,0,0.0,1,0,50.0
2020-02-08,2,0,0.0,1,0,50.0
2020-02-09,2,0,0.0,1,0,50.0
2020-02-10,2,0,0.0,1,0,50.0
2020-02-11,2,0,0.0,1,0,50.0
2020-02-12,2,0,0.0,1,0,50.0
2020-02-13,2,0,0.0,1,0,50.0
2020-02-14,2,0,0.0,1,0,50.0
2020-02-15,2,0,0.0,1,0,50.0
2020-02-16,2,0,0.0,1,0,50.0
2020-02-17,2,0,0.0,1,0,50.0
2020-02-18,2,0,0.0,1,0,50.0
2020-02-19,2,0,0.0,1,0,50.0
2020-02-20,2,0,0.0,1,0,50.0
2020-02-21,2,0,0.0,1,0,50.0
2020-02-22,2,0,0.0,1,0,50.0
2020-02-23,2,0,0.0,1,0,50.0
2020-02-24,2,0,0.0,1,0,50.0
2020-02-25,2,0,0.0,1,0,50.0
2020-02-26,2,0,0.0,1,0,50.0
2020-02-27,2,0,0.0,1,0,50.0
2020-02-28,2,0,0.0,1,0,50.0
2020-02-29,2,0,0.0,1,0,50.0
2020-03-01,3,1,0.0,1,0,33.33
2020-03-02,4,1,0.0,1,0,25.0
2020-03-03,4,0,0.0,1,0,25.0
2020-03-04,4,0,0.0,1,0,25.0
2020-03-05,7,3,0.0,1,0,14.29
2020-03-06,13,6,0.0,1,0,7.69
2020-03-07,16,3,0.0,1,0,6.25
2020-03-08,26,10,0.0,1,0,3.85
2020-03-09,31,5,0.0,1,0,3.23
2020-03-10,66,35,0.0,2,1,3.03
2020-03-11,99,33,0.0,2,0,2.02
2020-03-12,129,30,0.0,2,0,1.55
2020-03-13,215,86,0.0,2,0,0.93
2020-03-14,290,75,0.0,3,1,1.03
2020-03-15,303,13,0.0,4,1,1.32
2020-03-16,512,209,0.0,6,2,1.17
2020-03-17,762,250,0.0,10,4,1.31
2020-03-18,1129,366,0.0,14,4,1.24
2020-03-19,1655,526,0.0,19,5,1.15
2020-03-20,2123,468,0.0,25,6,1.18
2020-03-21,3091,968,0.0,41,16,1.32
2020-03-22,4251,1160,0.01,51,10,1.19
2020-03-23,5610,1358,0.01,66,15,1.17
2020-03-24,7070,1460,0.01,77,11,1.09
2020-03-25,8540,1470,0.01,99,22,1.16
2020-03-26,11434,2895,0.02,116,17,1.01
2020-03-27,15259,3825,0.02,148,33,0.97
2020-03-28,18910,3650,0.03,218,70,1.16
2020-03-29,23159,4249,0.03,318,100,1.38
2020-03-30,27510,4351,0.04,356,38,1.29
2020-03-31,32618,5108,0.05,321,-35,0.98
2020-04-01,38396,5778,0.06,737,416,1.92
2020-04-02,44379,5983,0.07,996,259,2.24
2020-04-03,52129,7750,0.08,1215,219,2.33
2020-04-04,62624,10495,0.09,1514,299,2.42
2020-04-05,69382,6758,0.1,1705,191,2.46
2020-04-06,77029,7647,0.12,1903,198,2.47
2020-04-07,86137,9108,0.13,2333,430,2.71
2020-04-08,95324,9187,0.14,2821,488,2.96
2020-04-09,104252,8928,0.16,3197,375,3.07
2020-04-10,113250,8998,0.17,3634,438,3.21
2020-04-11,121321,8071,0.18,4119,485,3.4
2020-04-12,129609,8288,0.19,4490,371,3.46
2020-04-13,136817,7208,0.2,4796,306,3.51
2020-04-14,144559,7742,0.22,5458,662,3.78
2020-04-15,151674,7116,0.23,6046,588,3.99
2020-04-16,160999,9325,0.24,6714,669,4.17
2020-04-17,170554,9555,0.25,7305,590,4.28
2020-04-18,179804,9250,0.27,7914,609,4.4
2020-04-19,189202,9398,0.28,8561,647,4.52
2020-04-20,197794,8592,0.3,8963,402,4.53
2020-04-21,204224,6430,0.31,9480,517,4.64
2020-04-22,214757,10533,0.32,10568,1089,4.92
