date,fuel,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,coal,33866.5,33164.4,31915.5,31279.8,31472.0,31544.7,32042.3,33177.6,33596.5,34467.6,34280.4,33291.8,32828.9,32187.6,31641.5,31422.8,31520.7,34783.4,36423.6,36334.2,35169.3,34274.4,33267.8,32497.4
2017-01-01,gas,10516.4,10203.0,9990.5,9938.0,9767.5,9787.9,9793.4,10266.8,10663.5,10811.8,10708.4,10638.3,11060.6,11058.5,10956.1,11352.3,12701.3,15298.6,16071.7,15881.2,15374.2,14181.2,11775.3,10459.2
2017-01-01,hydro,620.9,508.1,531.5,403.0,503.1,535.4,638.7,642.3,645.6,876.9,844.3,1466.4,959.4,805.3,837.4,951.0,1229.9,2371.5,1798.1,1365.3,1737.0,1075.0,893.2,462.8
2017-01-01,nuclear,34280.5,34269.6,34244.7,34258.2,34286.7,34291.7,34297.2,34289.1,34298.7,34289.4,34292.6,34289.5,34291.6,34267.2,34271.8,34268.5,34270.7,34280.2,34293.8,34269.4,34278.5,34297.7,34279.2,34292.1
2017-01-01,oil,175.7,177.3,180.2,182.2,184.6,183.1,183.9,180.3,178.6,178.4,177.5,177.0,175.5,175.0,174.1,173.2,174.1,171.8,171.4,170.3,170.8,172.6,174.8,176.4
2017-01-01,other,957.6,961.5,974.7,963.3,948.7,957.1,951.6,917.9,914.6,914.8,932.7,939.6,943.0,927.4,930.4,913.9,924.4,952.9,983.5,965.9,930.9,929.6,910.0,915.6
2017-01-01,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,126.8,177.7,240.9,268.7,243.0,174.2,69.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,wind,1872.0,1638.0,1493.9,1558.2,1398.8,1221.9,1123.6,886.8,744.0,543.9,398.5,264.2,464.0,93.2,60.2,35.8,117.1,354.7,713.1,1420.0,2179.6,2959.8,3290.2,3268.4
2017-01-02,coal,30393.4,28999.7,28068.1,27530.7,27463.9,29190.6,31100.0,32405.8,34012.8,35464.3,36449.9,37024.6,37134.3,37239.0,36911.2,36831.5,36801.3,37030.1,37327.9,37535.2,37517.8,36942.1,36165.4,33423.7
2017-01-02,gas,9082.0,9234.3,9089.8,9045.2,9279.9,9203.6,9942.6,11045.7,11656.4,13263.5,14803.3,15462.0,15176.7,15030.0,14744.1,15470.4,16836.7,18590.7,19728.0,19514.7,18209.6,15149.6,12622.3,11273.9
