date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,78616.7,76306.2,74547.2,73591.0,73727.3,74611.4,76503.1,78393.4,79592.5,80112.6,79322.0,78368.6,77616.5,76559.5,75700.1,75786.9,78763.2,86024.0,88459.2,88390.5,87621.9,85590.6,82375.4,78459.9
2017-01-02,74837.0,72660.2,71642.5,71471.7,72409.7,74931.1,78369.9,81480.6,83377.9,86206.4,88524.0,89516.2,89354.7,88818.0,88476.0,88663.8,91222.3,96196.9,96565.9,95289.0,93019.8,89294.9,84309.9,79152.2
2017-01-03,75398.0,73152.0,72472.0,72749.9,74537.5,79451.6,87808.6,93443.0,94449.1,94893.4,95551.9,95614.9,95476.2,95130.2,94209.2,94073.2,96193.3,100713.6,101497.3,99753.6,97530.8,93471.6,87813.4,82294.5
2017-01-04,78287.4,76064.1,75194.7,75409.2,77226.1,82408.1,91221.4,96967.4,97203.5,96975.5,96910.8,96119.8,94875.8,94148.4,93666.0,94202.3,97269.8,105106.8,108438.0,108482.2,107462.5,104347.2,99392.6,94459.8
2017-01-05,91316.8,89742.9,88939.6,89678.9,92089.3,97367.0,106116.1,111176.5,111150.6,110755.2,110351.1,109303.6,107915.8,107598.9,107496.2,107798.0,109903.8,115249.2,116796.9,115398.6,113628.6,109848.1,104043.5,98757.1
2017-01-06,94990.7,93169.8,92409.9,92685.1,94748.1,99920.3,108186.5,113672.9,114276.8,113653.6,112420.2,111058.5,109689.1,109289.0,109117.5,109616.0,111698.1,116961.9,118338.5,117225.9,115540.4,113015.4,108759.3,104312.2
2017-01-07,100997.6,99283.7,98361.4,98254.3,99131.4,101666.4,104968.8,108793.4,112080.0,114595.2,115543.3,115019.4,113831.4,112526.8,111353.3,110731.3,112605.4,118703.3,121103.4,120356.1,119284.9,116940.6,113319.9,109623.2
2017-01-08,106710.3,105199.5,104442.2,104588.7,105661.9,107532.0,110409.0,113266.2,114794.0,114569.8,113364.9,112021.0,110661.5,109228.2,107861.6,108710.5,112337.5,119914.0,123185.0,122897.1,122045.0,119435.4,115201.7,111138.5
2017-01-09,108645.5,107666.7,107537.1,108180.1,110289.7,115026.8,122755.2,127546.5,127154.8,125629.1,123354.1,120331.5,117630.7,115812.2,114232.4,113807.6,116020.2,122722.4,124516.7,123702.9,121879.8,118089.3,112244.2,106527.4
2017-01-10,102782.5,100713.9,99785.2,100011.4,101811.2,106380.0,114219.1,118546.8,118073.5,116606.3,115074.2,113184.5,111204.1,109711.0,108184.5,107672.6,109036.8,113178.7,113399.4,111471.7,108880.6,104023.4,97855.6,91337.7
2017-01-11,86926.6,84329.5,83234.5,82938.9,84573.3,89392.8,97699.6,103055.8,102521.4,100304.7,98741.3,96874.6,95305.1,94520.8,93693.7,93532.1,95936.4,100663.2,101458.6,100124.5,97904.9,93959.3,87913.8,81964.7
2017-01-12,77930.3,75544.9,74039.6,73628.9,74892.7,79545.3,87763.7,92826.1,93038.4,92384.1,91831.7,91195.3,90447.9,90059.7,89291.9,88865.8,90384.1,94854.6,96449.1,95598.8,93737.4,90251.2,84989.1,79766.0
2017-01-13,75789.3,73581.5,72536.9,72543.6,74512.0,79554.0,88067.0,94074.7,94745.1,94604.5,94325.9,93366.1,92292.2,91894.9,91432.5,91712.7,93773.4,99112.8,100346.8,99088.8,97521.0,94852.3,90790.2,86224.1
