date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-3.18,-3.47,-3.52,-3.32,-3.23,-3.2,-2.96,-2.39,-2.02,-1.24,-0.91,-0.41,-0.18,-0.57,-0.37,-0.74,-0.57,-0.37,-0.76,-1.09,-0.93,-0.52,-0.15,0.58
2017-01-01,relh,53.66,54.32,55.0,61.87,69.79,67.33,63.21,71.53,60.9,61.12,52.51,51.13,49.45,46.23,45.44,45.44,51.49,55.21,56.75,59.95,62.61,68.2,66.8,67.9
2017-01-01,sped,12.93,11.06,9.52,6.99,6.3,4.97,5.4,5.28,6.28,6.67,5.93,6.34,6.04,4.66,4.6,6.46,6.43,5.31,5.54,6.25,5.04,4.19,6.61,6.64
2017-01-01,tmpc,5.81,5.26,5.02,3.51,2.0,2.5,3.54,2.39,5.04,5.85,8.33,9.24,10.0,10.56,11.09,10.72,9.11,8.33,7.41,6.3,5.72,5.0,5.57,6.1
2017-01-02,dwpc,0.68,1.85,2.42,2.59,3.69,4.2,4.37,4.06,4.97,4.32,5.16,5.1,6.3,7.26,6.21,5.77,5.75,5.73,6.31,6.22,7.06,6.88,6.95,7.42
2017-01-02,relh,73.02,80.5,83.63,85.29,90.24,91.66,91.95,92.21,93.02,89.82,90.84,91.77,91.29,94.66,91.58,90.66,92.32,92.54,92.62,94.06,93.27,92.67,93.42,92.1
2017-01-02,sped,6.27,6.16,5.78,4.95,4.07,4.82,4.88,4.76,5.07,6.45,6.79,4.91,5.53,7.33,8.11,8.97,9.17,8.75,9.7,10.94,9.58,9.31,9.49,9.12
2017-01-02,tmpc,5.16,5.02,5.03,5.0,5.2,5.47,5.59,5.23,6.03,5.88,6.56,6.35,7.66,8.1,7.53,7.22,6.92,6.88,7.44,7.13,8.09,8.01,7.96,8.65
2017-01-03,dwpc,6.87,6.83,6.87,6.89,7.89,6.0,6.0,6.73,6.78,7.25,8.1,7.39,8.01,8.5,8.34,8.52,7.9,7.92,6.95,6.41,6.25,6.59,6.87,6.7
2017-01-03,relh,93.42,93.74,92.94,93.75,93.96,94.84,94.99,96.24,96.84,96.4,96.92,96.88,93.43,92.71,93.16,93.24,93.05,91.95,92.43,91.72,90.29,92.21,92.94,92.93
2017-01-03,sped,8.25,8.39,8.76,8.98,7.01,8.7,7.43,6.34,6.24,4.57,4.89,6.84,7.08,8.24,7.01,7.77,8.57,7.94,9.59,8.98,8.87,7.68,10.14,11.3
2017-01-03,tmpc,7.9,7.82,7.98,7.86,8.83,6.79,6.77,7.31,7.27,7.8,8.58,7.86,9.03,9.64,9.42,9.58,8.98,9.17,8.12,7.68,7.75,7.78,7.96,7.78
2017-01-04,dwpc,5.72,5.8,5.94,5.57,3.62,5.54,4.57,3.2,5.27,5.16,5.24,3.62,0.57,-0.52,-2.24,-5.37,-6.31,-7.93,-9.07,-10.37,-11.48,-11.68,-11.94,-12.41
2017-01-04,relh,88.98,91.2,91.61,90.62,86.16,92.66,90.23,86.85,87.79,84.09,82.57,74.19,53.96,50.47,47.01,40.54,40.84,40.37,39.71,38.15,38.96,39.95,46.62,41.68
2017-01-04,sped,12.14,10.69,11.2,11.17,11.21,12.22,9.12,9.2,9.14,10.03,10.8,12.27,14.23,16.5,18.67,18.54,15.43,15.99,14.34,15.46,14.15,13.84,13.16,12.74
2017-01-04,tmpc,7.46,7.15,7.24,7.04,5.82,6.69,6.13,5.3,7.2,7.78,8.14,8.2,9.44,9.28,8.5,7.59,6.28,5.17,4.07,3.17,2.0,1.26,-1.28,-0.37
2017-01-05,dwpc,-12.41,-11.28,-11.99,-12.04,-11.5,-11.7,-12.04,-11.31,-11.1,-11.15,-10.56,-10.12,-9.86,-9.85,-10.0,-9.11,-8.87,-8.65,-8.02,-6.34,-6.1,-7.06,-4.64,-7.55
2017-01-05,relh,43.58,51.43,52.26,47.32,51.19,49.32,48.77,52.26,59.46,50.39,55.86,56.8,58.67,53.83,50.18,62.63,56.29,64.37,61.0,69.47,73.85,78.44,83.41,73.86
2017-01-05,sped,11.71,10.76,10.29,10.47,6.93,7.67,8.08,7.22,8.58,9.23,8.05,7.85,6.76,7.53,8.2,8.5,9.64,9.44,7.05,7.29,5.35,4.41,4.15,6.07
2017-01-05,tmpc,-1.13,-2.2,-3.28,-2.07,-2.61,-2.24,-2.44,-2.44,-3.87,-1.67,-2.39,-2.11,-2.22,-1.07,-0.17,-2.24,-0.74,-2.66,-1.35,-1.47,-1.83,-3.75,-2.09,-3.44
2017-01-06,dwpc,-8.0,-5.95,-4.78,-4.51,-7.07,-7.5,-7.93,-8.91,-9.07,-10.0,-10.0,-10.17,-10.54,-11.15,-11.48,-12.48,-11.89,-12.04,-11.87,-9.6,-9.71,-11.85,-11.85,-11.87
2017-01-06,relh,76.23,81.81,84.24,83.38,76.45,73.72,73.63,72.05,71.33,63.73,61.01,56.78,53.71,53.57,52.44,55.93,53.27,55.21,60.87,70.92,70.95,64.5,64.1,64.56
2017-01-06,sped,5.13,5.22,5.23,6.04,7.68,9.63,9.91,8.46,9.02,9.48,10.08,9.79,10.47,9.7,9.38,9.49,9.23,9.61,8.91,8.19,7.82,5.93,6.66,7.19
2017-01-06,tmpc,-4.36,-3.18,-2.39,-2.01,-3.5,-3.47,-3.9,-4.63,-4.63,-4.07,-3.54,-2.76,-2.39,-2.96,-2.96,-4.88,-3.54,-4.28,-5.22,-4.8,-4.86,-5.93,-5.93,-6.09
