date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,0,0,0.0,0,0,0.0
2020-03-03,0,0,0.0,0,0,0.0
2020-03-04,0,0,0.0,0,0,0.0
2020-03-05,0,0,0.0,0,0,0.0
2020-03-06,0,0,0.0,0,0,0.0
2020-03-07,0,0,0.0,0,0,0.0
2020-03-08,0,0,0.0,0,0,0.0
2020-03-09,0,0,0.0,0,0,0.0
2020-03-10,0,0,0.0,0,0,0.0
2020-03-11,0,0,0.0,0,0,0.0
2020-03-12,0,0,0.0,0,0,0.0
2020-03-13,1,1,0.0,1,1,100.0
2020-03-14,1,0,0.0,1,0,100.0
2020-03-15,1,0,0.0,1,0,100.0
2020-03-16,1,0,0.0,1,0,100.0
2020-03-17,4,3,0.0,1,0,25.0
2020-03-18,4,0,0.0,1,0,25.0
2020-03-19,8,4,0.0,1,0,12.5
2020-03-20,9,1,0.01,1,0,11.11
2020-03-21,13,4,0.01,1,0,7.69
2020-03-22,14,1,0.01,1,0,7.14
2020-03-23,16,2,0.01,1,0,6.25
2020-03-24,22,6,0.01,1,0,4.55
2020-03-25,27,5,0.02,2,1,7.41
2020-03-26,34,7,0.02,2,0,5.88
2020-03-27,43,9,0.03,3,1,6.98
2020-03-28,53,10,0.03,3,0,5.66
2020-03-29,55,2,0.03,4,1,7.27
2020-03-30,67,12,0.04,4,0,5.97
2020-03-31,79,12,0.05,4,0,5.06
2020-04-01,93,14,0.06,4,0,4.3
2020-04-02,106,13,0.06,4,0,3.77
2020-04-03,137,31,0.08,6,2,4.38
2020-04-04,149,12,0.09,6,0,4.03
2020-04-05,158,9,0.1,6,0,3.8
2020-04-06,186,28,0.11,6,0,3.23
2020-04-07,195,9,0.12,10,4,5.13
2020-04-08,245,50,0.15,12,2,4.9
2020-04-09,272,27,0.16,13,1,4.78
2020-04-10,272,0,0.16,13,0,4.78
2020-04-11,315,43,0.19,20,7,6.35
2020-04-12,332,17,0.2,24,4,7.23
2020-04-13,337,5,0.2,28,4,8.31
2020-04-14,345,8,0.21,30,2,8.7
2020-04-15,363,18,0.22,31,1,8.54
2020-04-16,379,16,0.23,34,3,8.97
2020-04-17,400,21,0.24,35,1,8.75
2020-04-18,412,12,0.25,35,0,8.5
2020-04-19,417,5,0.25,37,2,8.87
2020-04-20,427,10,0.26,44,7,10.3
2020-04-21,433,6,0.26,45,1,10.39
2020-04-22,473,40,0.29,47,2,9.94
2020-04-23,490,17,0.3,47,0,9.59
2020-04-24,527,37,0.32,49,2,9.3
2020-04-25,555,28,0.34,50,1,9.01
2020-04-26,565,10,0.34,51,1,9.03
2020-04-27,573,8,0.35,53,2,9.25
2020-04-28,585,12,0.35,53,0,9.06
2020-04-29,619,34,0.37,55,2,8.89
2020-04-30,677,58,0.41,55,0,8.12
2020-05-01,710,33,0.43,55,0,7.75
