date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.4,22.08,21.25,21.91,22.07,24.33,23.85,25.77,26.01,26.43,23.31,23.85,22.0,18.68,18.35,18.83,19.73,23.28,23.33,19.82,19.23,15.38,14.77,13.72
2017-01-02,14.18,13.42,13.67,14.09,16.02,17.65,22.66,23.1,23.82,28.72,33.69,35.07,29.72,25.81,24.49,30.08,29.15,40.72,37.49,29.07,24.66,21.07,17.61,16.85
2017-01-03,17.29,14.77,14.31,14.88,17.32,21.47,26.99,29.35,27.05,27.13,26.26,24.27,23.79,23.86,22.69,23.28,33.74,45.27,42.66,38.08,35.75,32.21,29.3,25.71
2017-01-04,27.68,28.2,27.85,30.32,31.06,37.56,48.19,56.17,49.04,47.86,44.93,39.64,36.63,33.99,31.54,30.0,31.86,46.0,39.77,34.58,31.47,25.44,23.95,20.97
2017-01-05,21.11,20.95,20.86,21.02,21.13,23.94,33.81,35.13,27.22,32.82,29.67,31.59,26.69,26.96,25.39,25.58,30.0,46.22,40.12,40.05,39.16,36.92,33.4,29.59
2017-01-06,30.12,29.92,30.21,30.6,32.62,35.72,49.0,52.74,49.81,52.45,50.57,43.8,38.91,37.11,34.86,33.57,35.13,44.78,42.24,38.6,36.73,33.98,32.63,28.49
2017-01-07,31.13,30.34,28.89,29.11,30.28,34.46,37.11,42.92,41.71,41.23,38.45,34.57,31.07,30.0,27.38,26.06,27.1,33.69,32.3,28.37,26.08,20.46,20.5,19.0
2017-01-08,21.49,20.64,20.27,19.83,20.51,22.04,24.76,27.82,27.37,25.64,24.38,21.05,20.41,19.55,19.51,19.78,21.23,30.98,28.99,26.2,24.77,21.19,20.71,18.63
2017-01-09,21.14,21.32,21.45,21.67,22.56,27.42,36.7,37.45,29.42,25.11,21.99,21.77,20.82,19.75,18.97,18.92,19.1,28.02,25.06,23.74,23.15,19.83,18.25,13.76
2017-01-10,13.24,12.34,12.08,11.99,12.14,15.69,21.94,22.1,20.77,22.18,22.59,24.38,26.1,29.31,29.3,27.31,25.89,34.65,27.88,21.38,20.12,18.09,16.46,14.3
2017-01-11,14.4,13.28,12.79,13.0,14.57,20.92,26.59,27.08,23.41,23.43,22.82,22.03,20.92,21.0,21.02,20.54,22.0,28.71,25.23,22.84,22.74,21.83,20.21,17.65
2017-01-12,16.51,16.51,16.98,22.04,22.19,28.05,38.04,45.35,37.09,37.4,34.62,30.31,28.55,27.97,26.3,25.01,25.73,36.69,31.66,25.9,23.88,20.02,19.62,19.7
2017-01-13,21.5,21.29,21.45,21.63,23.12,27.96,34.62,37.11,32.39,34.67,35.43,33.28,29.3,28.01,26.18,25.79,28.5,37.73,34.73,31.1,30.89,27.09,25.39,22.64
2017-01-14,22.26,22.08,21.94,22.16,22.67,24.59,26.62,29.92,31.83,33.87,36.48,32.3,30.88,26.84,25.81,25.89,28.43,35.08,34.35,31.87,30.62,26.37,24.68,22.14
2017-01-15,24.48,23.16,22.77,22.84,22.92,24.02,24.48,27.09,28.47,32.02,31.34,26.82,25.82,24.25,23.16,22.53,22.87,32.19,31.2,27.33,23.43,21.02,20.36,18.81
2017-01-16,20.42,19.82,19.3,19.58,19.59,21.21,25.04,32.96,30.58,31.91,30.4,26.81,25.44,23.88,22.46,21.88,21.65,36.65,31.44,30.51,27.8,24.15,22.67,20.87
2017-01-17,19.82,19.73,19.52,20.23,22.86,29.3,35.7,33.57,30.2,33.15,33.79,34.28,32.08,29.27,27.54,26.42,28.34,36.58,35.44,32.31,28.29,27.46,22.31,20.14
2017-01-18,20.26,19.51,19.64,19.79,20.32,22.6,33.12,35.42,30.46,28.82,28.61,27.82,24.54,22.74,21.3,20.68,21.26,28.56,27.36,24.04,22.92,20.42,18.45,17.03
2017-01-19,17.44,17.02,17.06,17.7,20.15,22.03,31.77,30.85,27.39,27.0,27.34,25.61,24.42,23.24,22.51,22.45,24.09,35.86,34.49,29.64,27.36,25.15,21.09,19.8
2017-01-20,19.55,19.4,19.27,19.19,19.38,21.74,32.39,32.0,26.87,24.85,23.87,21.87,19.45,19.18,19.15,19.3,18.89,23.72,22.34,20.4,20.19,20.13,18.07,17.5
2017-01-21,18.32,18.18,17.96,18.07,19.18,20.11,23.21,25.17,27.73,31.2,30.49,28.09,23.97,21.06,20.24,20.07,20.85,33.04,27.36,21.51,19.88,18.47,19.62,18.32
2017-01-22,18.99,17.42,16.86,16.17,15.06,15.05,16.69,18.03,19.06,21.66,20.12,19.02,18.31,18.06,17.64,18.06,19.84,33.71,31.92,28.83,28.44,26.42,25.31,23.99
2017-01-23,26.37,24.33,25.65,24.5,24.9,30.67,39.18,43.13,34.27,29.33,25.92,23.95,21.22,20.25,18.81,18.77,19.19,21.69,22.89,20.54,19.73,17.32,16.16,14.59
2017-01-24,16.52,15.89,14.81,15.79,16.54,19.3,23.37,25.05,22.67,21.28,20.76,20.47,19.47,19.42,19.81,19.64,19.6,21.52,22.22,19.83,20.48,18.52,18.61,15.76
2017-01-25,15.63,15.59,15.85,16.65,18.01,19.2,26.23,26.46,22.9,24.42,23.16,22.23,21.16,20.57,20.23,20.59,21.97,30.74,32.69,29.63,29.56,26.74,22.83,20.5
2017-01-26,25.86,24.59,23.11,24.16,26.06,29.89,37.85,40.62,38.04,36.83,36.3,31.71,30.11,26.8,25.91,27.3,27.45,37.06,39.43,36.75,40.66,39.13,34.36,28.45
