date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,1700.1,1684.8,1673.1,1705.4,1718.5,1717.0,1763.1,1840.6,1829.0,1820.5,1775.9,1775.7,1764.9,1716.4,1701.5,1709.2,1760.7,1927.4,1971.1,1971.1,1938.7,1892.3,1812.7,1722.4
2017-01-02,1647.5,1584.9,1534.7,1545.2,1546.9,1603.8,1667.8,1718.9,1734.0,1787.6,1809.7,1808.6,1793.6,1773.5,1776.3,1760.7,1793.7,1916.9,1897.7,1836.6,1779.9,1709.0,1625.4,1549.9
2017-01-03,1520.7,1504.9,1511.2,1533.2,1597.9,1725.8,1903.6,2058.3,2107.5,2160.8,2224.5,2266.4,2290.7,2258.1,2183.6,2167.4,2216.2,2397.4,2451.7,2401.7,2377.8,2319.6,2191.8,2077.4
2017-01-04,2012.7,1997.1,1999.6,2016.5,2053.3,2172.5,2356.6,2472.1,2424.4,2353.9,2280.9,2222.9,2169.0,2152.4,2176.8,2206.0,2272.9,2409.9,2438.6,2415.1,2378.0,2303.0,2176.6,2073.6
2017-01-05,2020.3,2000.0,2011.9,2034.6,2087.2,2209.7,2387.5,2499.3,2497.2,2498.4,2500.8,2476.4,2438.0,2410.2,2364.7,2354.2,2444.5,2581.4,2628.1,2596.0,2555.5,2461.1,2317.2,2207.4
2017-01-06,2162.7,2150.7,2150.9,2173.9,2227.7,2339.4,2524.2,2643.1,2611.9,2555.1,2481.8,2429.1,2401.0,2358.4,2303.1,2277.8,2320.2,2485.8,2552.7,2533.0,2509.3,2454.6,2370.3,2287.7
2017-01-07,2236.7,2214.4,2205.9,2202.3,2219.4,2243.0,2300.1,2354.2,2347.3,2304.2,2246.7,2185.7,2130.2,2069.1,2022.8,2008.1,2054.4,2231.6,2304.1,2296.5,2291.7,2259.4,2192.9,2126.5
2017-01-08,2089.0,2069.0,2066.2,2075.4,2079.4,2118.5,2170.9,2221.0,2259.9,2290.6,2282.4,2279.1,2239.0,2151.2,2080.9,2049.0,2074.2,2228.8,2286.7,2263.9,2213.1,2124.7,2004.4,1904.4
2017-01-09,1851.4,1822.9,1814.9,1834.5,1884.6,2008.5,2202.5,2308.2,2267.6,2258.0,2242.1,2173.0,2101.6,2055.5,2033.9,2021.0,2062.7,2184.9,2205.5,2157.8,2088.7,1989.4,1848.4,1723.5
2017-01-10,1640.4,1592.7,1558.4,1543.6,1572.6,1668.9,1837.0,1927.9,1860.6,1845.7,1883.6,1884.2,1859.5,1836.6,1807.2,1811.3,1844.1,2000.8,2074.5,2060.8,2030.7,1965.3,1852.8,1725.1
2017-01-11,1669.1,1644.3,1635.9,1649.4,1699.5,1811.9,1984.7,2079.4,2023.3,1966.1,1912.6,1885.6,1827.0,1784.2,1742.6,1729.2,1773.9,1950.5,2041.1,2058.7,2048.4,1990.0,1887.1,1793.7
2017-01-12,1751.5,1751.9,1759.2,1780.9,1842.2,1979.5,2186.6,2319.0,2289.3,2291.0,2252.8,2179.0,2146.6,2125.2,2078.8,2092.5,2164.0,2304.5,2352.5,2330.4,2289.0,2214.7,2103.6,1995.5
