date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2018-12-31,5358.0,3129.0,12944.0
2019-01-01,3630.0,1808.0,8465.0
2019-01-02,4538.0,2522.0,11336.0
2019-01-03,5121.0,2701.0,12209.0
2019-01-04,6331.0,2859.0,13811.0
2019-01-05,6308.0,3037.0,14949.0
2019-01-06,4364.0,2771.0,10796.0
2019-01-07,3496.0,2129.0,8574.0
2019-01-08,4501.0,2511.0,10624.0
2019-01-09,4917.0,2670.0,11348.0
2019-01-10,5229.0,2843.0,12082.0
2019-01-11,5756.0,3451.0,13455.0
2019-01-12,3685.0,2243.0,8463.0
2019-01-13,4312.0,2571.0,9925.0
2019-01-14,4324.0,2592.0,10488.0
2019-01-15,4491.0,2652.0,10823.0
2019-01-16,4701.0,2950.0,11495.0
2019-01-17,4811.0,2637.0,11048.0
2019-01-18,5837.0,3322.0,13619.0
2019-01-19,4640.0,2335.0,10732.0
2019-01-20,3927.0,2302.0,9365.0
2019-01-21,4484.0,2601.0,11435.0
2019-01-22,3961.0,2519.0,9939.0
2019-01-23,3824.0,2124.0,9322.0
2019-01-24,4662.0,2606.0,10959.0
2019-01-25,6081.0,2836.0,13383.0
2019-01-26,6605.0,3142.0,15340.0
2019-01-27,4628.0,2837.0,11035.0
2019-01-28,4222.0,2558.0,10146.0
2019-01-29,4324.0,2427.0,10189.0
2019-01-30,3720.0,1980.0,8751.0
2019-01-31,4800.0,2644.0,11264.0
2019-02-01,6055.0,2929.0,13468.0
2019-02-02,6611.0,3369.0,15487.0
2019-02-03,4294.0,2961.0,10506.0
2019-02-04,4062.0,2496.0,9964.0
2019-02-05,4040.0,2305.0,9813.0
2019-02-06,3712.0,2185.0,8928.0
2019-02-07,3464.0,1980.0,8340.0
2019-02-08,6283.0,2868.0,13492.0
2019-02-09,6449.0,3317.0,15265.0
2019-02-10,4102.0,2546.0,9909.0
2019-02-11,4029.0,2489.0,9873.0
2019-02-12,5007.0,2849.0,11786.0
2019-02-13,5425.0,3175.0,12853.0
2019-02-14,6191.0,3322.0,14019.0
2019-02-15,3864.0,2368.0,9353.0
2019-02-16,5738.0,2929.0,13198.0
2019-02-17,4557.0,2511.0,10749.0
2019-02-18,5245.0,3052.0,12916.0
2019-02-19,4980.0,2987.0,12050.0
2019-02-20,4571.0,2376.0,10860.0
2019-02-21,5650.0,2885.0,12877.0
2019-02-22,7515.0,3290.0,15893.0
2019-02-23,6987.0,3416.0,16091.0
2019-02-24,5210.0,3004.0,12261.0
2019-02-25,4772.0,2761.0,11509.0
2019-02-26,4858.0,2541.0,11264.0
2019-02-27,4826.0,2455.0,11095.0
2019-02-28,5500.0,2954.0,12879.0
2019-03-01,6996.0,3471.0,15611.0
2019-03-02,7312.0,4109.0,17585.0
2019-03-03,3607.0,2293.0,8569.0
2019-03-04,4465.0,2797.0,11286.0
2019-03-05,5109.0,2699.0,11705.0
2019-03-06,5225.0,2661.0,12065.0
2019-03-07,5509.0,2786.0,12624.0
