date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-6.72,-6.72,-6.72,-6.72,-6.72,-6.72,-6.11,-6.11,-3.89,-2.22,-2.22,-1.72,-1.72,-2.22,-1.72,-1.11,-1.11,-1.11,-1.11,-1.72,-1.11,-1.11,-0.61,0.0
2017-01-01,relh,83.75,83.75,83.75,87.7,87.7,87.7,91.9,91.9,88.33,84.98,78.43,72.24,64.49,52.86,57.21,59.83,59.83,67.45,72.93,72.24,69.85,72.93,78.37,85.91
2017-01-01,sped,3.22,4.6,3.74,5.03,5.42,5.89,4.95,3.97,6.13,6.67,7.82,7.79,8.62,8.97,9.2,10.51,10.35,10.35,9.78,10.16,10.81,12.19,9.89,8.05
2017-01-01,tmpc,-4.39,-4.39,-4.39,-5.0,-5.0,-5.0,-5.0,-5.0,-2.22,0.0,1.11,2.78,4.39,6.72,6.11,6.11,6.11,4.39,3.28,2.78,3.89,3.28,2.78,2.11
2017-01-02,dwpc,2.2,3.48,4.39,5.0,5.61,6.11,6.11,6.11,6.72,7.22,7.78,7.89,8.28,8.89,8.89,8.89,8.89,8.94,8.89,8.89,8.89,8.92,8.65,7.78
2017-01-02,relh,92.28,97.19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01-02,sped,8.48,7.53,7.02,8.15,8.87,9.86,8.17,7.84,7.48,9.43,8.69,7.94,7.0,6.71,7.42,6.26,5.26,2.44,2.94,4.6,2.61,2.01,5.93,8.87
2017-01-02,tmpc,3.32,3.89,4.39,5.0,5.61,6.11,6.11,6.11,6.72,7.22,7.78,7.89,8.28,8.89,8.89,8.89,8.89,8.94,8.89,8.89,8.89,8.92,8.65,7.78
2017-01-03,dwpc,6.39,5.54,3.28,2.22,2.22,1.11,1.11,-0.54,-2.22,-4.26,-5.86,-7.25,-8.89,-8.28,-8.28,-9.39,-10.0,-10.61,-11.72,-11.72,-12.22,-11.72,-12.22,-12.78
2017-01-03,relh,100.0,100.0,100.0,100.0,100.0,95.71,100.0,100.0,96.38,90.03,84.21,77.51,74.15,65.84,63.19,60.37,64.89,67.82,67.57,67.57,67.46,73.3,73.2,73.41
2017-01-03,sped,12.19,15.05,15.33,14.13,14.29,16.1,16.9,15.87,16.63,17.77,16.1,17.25,18.3,16.29,17.35,15.81,14.26,15.81,15.52,15.06,14.64,12.3,11.36,9.33
2017-01-03,tmpc,6.39,5.54,3.28,2.22,2.22,1.72,1.11,-0.54,-1.72,-2.85,-3.58,-3.89,-5.0,-2.78,-2.22,-2.78,-4.39,-5.61,-6.72,-6.72,-7.22,-7.78,-8.28,-8.89
2017-01-04,dwpc,-13.28,-13.89,-14.39,-13.89,-13.89,-14.39,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.61,-15.0,-15.0,-15.0,-15.0,-13.89,-14.39,-13.28,-13.89,-13.89,-11.14,-10.57
2017-01-04,relh,73.31,73.19,73.74,79.93,79.93,80.57,79.76,79.76,76.62,66.82,58.38,53.8,49.22,47.56,51.77,51.77,51.77,56.71,56.57,61.94,64.5,67.07,86.42,95.56
2017-01-04,sped,9.32,8.56,9.41,8.68,7.47,6.8,8.89,9.43,9.62,8.69,7.13,5.75,5.93,5.65,7.0,6.8,7.39,7.06,9.06,8.56,10.35,11.5,10.14,7.79
2017-01-04,tmpc,-9.39,-10.0,-10.61,-11.11,-11.11,-11.72,-12.22,-12.22,-11.72,-10.0,-8.28,-7.22,-6.72,-5.86,-6.72,-6.72,-6.72,-6.72,-7.22,-7.22,-7.78,-8.89,-9.26,-10.0
2017-01-05,dwpc,-11.11,-11.31,-12.59,-13.89,-13.28,-13.48,-14.14,-14.39,-13.89,-14.02,-14.7,-15.0,-15.0,-14.39,-16.11,-16.72,-16.72,-17.22,-17.22,-17.78,-17.78,-18.28,-17.78,-17.78
