date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,6275.8,6306.1,6277.1,6231.7,6268.7,6315.1,6418.7,6565.5,6598.6,6637.3,6620.4,6632.4,6531.1,6501.0,6456.7,6420.5,6523.1,6917.6,6986.4,6897.8,6812.2,6678.4,6416.7,6189.7
2017-01-02,5973.9,5869.0,5825.9,5793.1,5844.8,6067.3,6266.4,6509.8,6656.5,6786.3,7045.1,7106.6,7043.1,6963.2,6924.5,6975.8,7196.4,7544.8,7551.4,7451.3,7330.1,7100.0,6799.8,6512.8
2017-01-03,6447.7,6417.7,6478.7,6479.2,6658.0,6992.6,7524.9,7977.8,8049.9,8128.7,8163.7,8120.7,7972.3,7916.5,7816.8,7793.0,7959.3,8411.3,8541.2,8497.5,8408.7,8288.4,8026.9,7796.1
2017-01-04,7641.5,7544.2,7521.2,7553.4,7647.2,7875.5,8339.6,8640.4,8593.2,8542.3,8496.4,8408.2,8318.2,8285.1,8237.4,8249.9,8452.9,8802.2,8855.5,8737.7,8585.9,8352.3,8024.0,7691.2
2017-01-05,7511.2,7452.6,7446.7,7463.1,7562.6,7881.1,8424.8,8786.7,8710.1,8637.7,8543.4,8451.8,8337.3,8284.8,8239.5,8266.4,8425.6,8715.2,8827.8,8813.6,8662.6,8467.5,8269.1,8021.3
2017-01-06,7859.9,7797.7,7771.2,7780.9,7926.3,8262.1,8937.2,9297.6,9172.2,8923.5,8744.0,8525.3,8242.2,8060.8,7823.4,7742.1,7993.1,8386.9,8557.7,8488.2,8388.7,8285.4,8104.8,7893.7
2017-01-07,7735.7,7676.8,7662.1,7682.2,7777.0,7923.7,8163.5,8408.5,8508.4,8445.9,8261.2,8056.6,7787.7,7527.4,7369.6,7284.3,7380.8,7868.0,8100.1,8127.6,8075.8,7990.8,7793.4,7605.2
2017-01-08,7400.2,7382.2,7293.9,7262.4,7327.7,7480.6,7714.7,7892.9,7858.2,7846.0,7729.2,7655.4,7572.5,7384.4,7269.4,7208.9,7291.9,7762.7,7936.9,7905.9,7855.6,7646.9,7493.2,7356.5
2017-01-09,7223.9,7164.2,7125.5,7110.9,7144.0,7399.7,7936.1,8426.9,8362.7,8320.7,8237.6,8080.8,7910.1,7788.6,7686.1,7769.7,7955.1,8239.8,8287.1,8047.2,7736.7,7469.2,7087.8,6711.0
2017-01-10,6523.0,6447.8,6397.1,6382.7,6457.2,6720.5,7287.8,7747.7,7783.3,7793.6,7712.4,7637.2,7474.7,7433.9,7403.2,7373.3,7477.7,7899.5,8155.2,8145.2,7963.9,7702.4,7465.3,6994.9
2017-01-11,6735.2,6606.2,6552.2,6654.2,6838.5,7033.0,7579.7,8092.4,8061.6,8100.9,8134.8,8105.1,8001.2,7979.2,8006.7,8070.3,8096.4,8384.1,8562.5,8471.9,8333.6,8107.7,7817.4,7546.8
2017-01-12,7350.0,7243.9,7213.1,7207.7,7307.4,7577.7,8111.2,8514.9,8353.4,8253.1,8245.6,8074.7,7937.0,7926.1,7886.3,7996.3,8173.7,8562.7,8753.1,8593.2,8490.2,8289.8,7949.3,7546.8
2017-01-13,7272.7,7255.3,7248.6,7275.4,7350.2,7599.0,8103.4,8509.0,8472.4,8434.4,8353.0,8200.5,8010.9,7839.1,7692.8,7589.3,7671.4,7901.4,8015.9,7873.5,7713.4,7540.1,7298.2,7029.3
2017-01-14,6849.4,6785.6,6839.3,6920.0,6944.2,7148.5,7360.3,7639.2,7714.8,7692.4,7511.4,7332.6,7121.2,6862.0,6651.9,6590.0,6745.4,7131.6,7374.9,7310.0,7168.1,7030.0,6870.6,6655.9
