date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,0,0,0.0,0,0,0.0
2020-03-03,0,0,0.0,0,0,0.0
2020-03-04,0,0,0.0,0,0,0.0
2020-03-05,0,0,0.0,0,0,0.0
2020-03-06,1,1,0.0,0,0,0.0
2020-03-07,2,1,0.0,0,0,0.0
2020-03-08,3,1,0.0,0,0,0.0
2020-03-09,5,2,0.0,0,0,0.0
2020-03-10,6,1,0.0,0,0,0.0
2020-03-11,19,13,0.0,1,1,5.26
2020-03-12,28,10,0.0,1,0,3.51
2020-03-13,37,9,0.0,2,1,5.38
2020-03-14,45,8,0.0,2,0,4.42
2020-03-15,45,0,0.0,2,0,4.44
2020-03-16,61,16,0.0,2,0,3.26
2020-03-17,86,25,0.0,2,0,2.31
2020-03-18,100,13,0.0,2,0,2.01
2020-03-19,155,56,0.0,3,1,1.93
2020-03-20,197,42,0.0,4,1,2.03
2020-03-21,226,29,0.0,5,1,2.21
2020-03-22,281,55,0.0,6,1,2.14
2020-03-23,358,77,0.0,6,0,1.68
2020-03-24,435,78,0.0,10,4,2.32
