date,fuel,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,coal,16095.5,15732.2,15165.4,14830.8,14655.5,15228.2,15017.6,15167.7,15176.4,15764.3,15735.4,15613.0,15351.1,14356.2,13803.6,13462.4,13175.6,14145.4,13575.1,13072.5,12368.8,11968.7,11747.6,11017.4
2017-01-01,gas,2928.2,2795.4,2821.0,2931.0,2859.6,2924.0,3079.2,3238.5,3289.6,3547.1,3331.5,3118.2,2818.2,2583.4,2575.6,2541.5,2560.0,2824.6,2814.5,2769.3,2636.9,2689.9,2543.4,2428.3
2017-01-01,hydro,268.4,277.2,270.5,247.8,263.4,317.6,816.0,960.6,960.2,962.6,1124.7,1061.5,998.4,968.1,938.3,950.8,1060.1,1292.9,1325.3,1334.9,1153.6,1034.7,332.7,246.3
2017-01-01,nuclear,2099.3,2098.8,2099.2,2099.0,2099.0,2098.6,2098.9,2099.0,2099.3,2098.9,2099.2,2098.6,2098.5,2099.0,2099.0,2099.2,2098.7,2098.4,2097.4,2099.0,2098.2,2098.2,2097.9,2097.5
2017-01-01,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,other,45.4,46.3,40.9,39.7,39.6,39.4,39.9,42.6,44.5,44.8,44.5,44.6,45.1,45.6,45.9,45.9,46.1,46.1,46.0,46.0,45.9,45.7,45.7,45.4
2017-01-01,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,62.5,102.3,151.0,141.0,96.5,81.6,110.6,48.3,8.9,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,wind,4793.1,5283.1,5352.5,5488.4,5656.9,5562.5,5557.6,5786.4,5928.2,5135.7,4687.8,5099.6,5513.0,6231.5,6757.6,7095.1,7524.7,7877.3,9224.1,9923.8,10305.8,10137.6,10207.6,10055.0
2017-01-02,coal,10961.1,11019.5,11238.2,12064.2,12657.7,13024.0,13668.9,15020.3,15780.7,16900.6,17590.3,18152.9,18444.3,18562.0,18335.5,18291.6,18033.4,18053.3,17774.7,17298.8,16643.4,15411.7,14862.1,12952.6
2017-01-02,gas,2258.2,2149.5,2245.9,2262.3,1952.3,1973.3,2164.4,2195.8,2172.7,2839.7,3034.5,3181.4,3319.3,3192.2,3166.4,3196.3,3082.2,3314.9,3306.2,2891.9,2598.7,2319.8,2013.4,1752.8
2017-01-02,hydro,228.2,226.2,226.3,243.1,247.4,328.7,933.8,1103.5,1221.5,1174.0,1099.0,961.0,955.2,942.4,936.6,952.1,1012.0,1594.1,1602.3,1487.6,1333.5,1003.6,359.6,275.9
2017-01-02,nuclear,2097.3,2099.0,2098.7,2099.5,2099.2,2098.9,2099.0,2099.5,2099.1,2099.7,2099.7,2099.5,2099.5,2098.9,2099.4,2099.7,2099.8,2099.4,2099.8,2099.4,2099.0,2099.2,2098.6,2098.1
2017-01-02,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,other,45.3,45.5,45.3,45.2,45.3,45.2,45.3,45.4,45.3,45.2,45.2,45.4,45.5,45.4,45.4,45.4,45.2,45.2,45.2,45.1,45.0,44.9,44.6,42.7
2017-01-02,solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,56.9,111.7,137.8,114.8,145.6,142.4,129.4,117.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,wind,9887.6,9613.7,9058.3,7919.1,7291.0,7580.5,6816.1,6142.0,5358.3,4132.2,3244.9,2542.7,2094.0,2009.1,2160.4,2664.0,3338.8,4036.6,5164.8,5875.6,6651.1,7627.0,8236.4,9287.2
