date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,23.5,21.88,21.97,22.86,23.04,25.43,24.04,25.57,26.24,26.94,25.72,25.65,24.06,20.9,20.49,20.25,20.46,24.89,24.04,20.58,19.88,14.71,13.65,12.34
2017-01-02,12.1,11.99,12.85,14.07,16.93,18.48,23.77,24.44,25.63,30.2,34.37,35.45,30.13,26.48,25.16,30.48,29.81,40.63,37.01,28.59,24.13,22.65,19.2,18.69
2017-01-03,20.08,15.44,14.82,14.55,16.37,21.81,31.84,35.91,28.51,26.41,25.62,23.66,23.58,23.8,22.63,23.46,33.46,45.09,42.82,38.06,35.29,31.43,28.62,25.32
2017-01-04,24.93,25.26,24.81,27.41,27.95,33.91,44.13,52.09,44.78,43.99,40.62,37.1,34.9,32.93,30.45,29.13,31.18,44.94,38.82,33.83,31.02,26.33,25.71,22.81
2017-01-05,21.48,21.42,20.91,21.13,21.12,23.64,33.61,35.17,30.5,34.11,31.38,32.4,28.19,28.43,26.82,26.71,30.47,45.95,38.41,38.48,37.31,35.62,32.81,28.92
2017-01-06,30.26,30.1,30.37,30.76,32.75,36.09,49.66,53.8,50.77,53.44,51.6,44.77,39.91,38.02,35.76,34.45,36.03,45.32,42.77,39.11,37.53,35.07,33.65,29.5
2017-01-07,31.85,30.69,29.08,29.29,30.98,34.91,37.36,43.07,41.5,41.18,39.42,35.54,32.18,31.03,27.95,26.35,27.3,33.88,32.88,29.77,28.16,23.63,23.92,22.34
2017-01-08,23.75,23.03,22.74,21.91,21.13,22.81,25.01,27.58,27.55,25.88,25.66,21.86,20.97,19.27,18.95,19.63,21.35,30.84,30.19,27.7,27.34,23.76,22.39,18.03
2017-01-09,22.2,22.36,22.6,22.96,23.79,28.59,38.87,37.68,29.68,26.3,22.62,22.13,21.51,20.46,19.59,19.39,18.96,26.87,23.48,21.3,20.33,16.76,15.41,11.38
2017-01-10,10.86,10.59,10.43,10.32,10.34,12.24,21.41,22.06,20.78,21.9,21.73,22.97,24.99,28.54,28.56,26.51,24.65,34.31,27.08,22.97,21.66,20.0,18.18,15.57
2017-01-11,13.46,11.48,10.11,9.55,10.29,14.96,24.78,24.81,21.11,21.16,20.51,20.34,19.72,19.82,19.56,19.61,21.23,29.18,24.96,23.01,22.55,18.85,18.06,15.69
2017-01-12,17.35,18.57,19.21,21.65,21.92,27.95,38.03,45.51,36.4,36.77,33.88,29.79,27.98,27.6,25.89,24.27,24.63,34.91,30.13,24.85,23.28,20.22,20.05,20.28
2017-01-13,21.25,21.08,21.3,21.52,23.09,27.95,35.1,37.61,33.12,34.89,35.65,33.57,29.66,28.36,26.46,25.97,28.66,37.87,34.64,31.3,31.16,27.34,25.52,22.72
2017-01-14,22.52,22.32,22.22,22.44,22.98,24.91,27.11,30.51,32.61,34.96,37.9,33.2,31.55,27.41,26.33,26.4,29.0,36.4,35.3,32.49,31.25,26.87,25.04,22.41
2017-01-15,24.89,23.51,23.07,23.11,23.15,24.29,24.81,27.56,29.31,33.31,32.8,27.92,26.77,24.97,23.66,22.86,23.18,32.62,31.86,28.02,24.38,22.08,20.81,19.06
2017-01-16,19.76,19.33,19.04,18.97,19.44,21.15,25.22,33.25,29.72,30.46,28.94,25.39,24.51,23.12,21.62,21.09,21.41,36.75,31.72,30.98,27.71,23.93,21.73,19.72
2017-01-17,19.35,19.54,19.5,20.02,22.9,29.4,36.19,34.74,30.68,33.68,34.55,34.8,32.87,30.0,28.07,26.87,28.81,37.76,36.83,33.11,28.42,26.08,21.93,19.92
2017-01-18,19.13,18.44,18.48,18.68,19.65,22.2,33.33,34.06,30.47,29.48,29.17,28.18,24.49,22.7,20.94,20.22,20.89,28.5,26.0,22.94,20.34,17.94,16.92,15.84
2017-01-19,15.68,15.68,15.62,16.13,17.77,20.1,29.63,28.45,25.61,25.38,25.96,24.6,23.68,22.68,21.93,21.81,23.71,35.18,33.2,28.49,26.71,24.66,21.21,19.82
2017-01-20,19.25,19.09,18.85,18.8,19.06,21.44,32.09,32.02,26.5,24.33,24.48,22.64,20.08,19.62,18.75,18.73,18.95,23.83,22.88,20.94,21.23,21.2,19.68,18.96
2017-01-21,17.2,17.22,17.55,18.21,18.66,20.42,22.9,24.7,27.31,30.67,30.01,27.72,23.58,20.83,19.94,19.72,20.62,33.19,27.41,21.63,20.79,19.93,20.21,17.25
2017-01-22,17.61,16.35,15.46,13.58,11.13,10.34,14.05,14.8,15.29,19.13,17.19,16.78,16.1,15.66,15.15,16.03,19.03,32.78,31.33,28.3,28.04,25.94,25.01,23.69
