date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,25306.4,25347.0,25072.6,24909.0,24985.5,25353.2,25873.4,26445.2,26735.4,26922.2,26614.0,26357.1,25981.9,25445.2,25091.7,24980.3,25168.0,26799.6,27721.0,27513.1,27055.3,26446.7,25458.8,24426.1
2017-01-02,23526.3,23079.5,22775.1,22618.5,22768.7,23516.0,24363.1,25287.8,25906.2,26611.8,27293.6,27449.9,27249.8,26921.3,26621.1,26516.8,26772.8,28119.1,28731.5,28363.9,27827.4,27076.4,26034.5,24983.9
2017-01-03,24329.6,24021.3,24068.6,24154.4,24691.4,26170.3,28542.0,30286.3,30780.5,31350.8,31733.5,31843.5,31617.2,31535.2,31288.5,31216.8,31727.9,33381.2,34270.8,34214.7,33947.9,33272.8,32064.3,30958.0
2017-01-04,30367.4,30050.6,30074.7,30369.0,30974.6,32384.6,34815.9,36242.1,36025.0,35754.6,35255.3,34513.6,33741.2,33246.4,32726.2,32500.2,32971.0,34551.8,35491.2,35319.2,34974.0,33812.9,32355.3,31062.2
2017-01-05,30465.9,30292.7,30320.3,30420.3,31005.9,32578.4,34915.6,36287.5,36212.4,36310.1,36348.5,36076.3,35700.1,35507.4,35463.7,35534.4,36170.8,37512.7,38254.4,38119.0,37719.2,36781.2,35426.1,34316.6
2017-01-06,33685.8,33410.1,33402.1,33546.7,34151.0,35511.8,37868.2,39238.8,39071.9,38770.9,38390.5,37772.5,36967.6,36500.2,35882.7,35589.2,36074.9,37454.4,38458.7,38282.2,38078.0,37588.7,36684.2,35818.3
2017-01-07,35257.6,35079.7,35013.1,35082.4,35444.7,36091.1,36965.5,37829.0,37911.2,37176.9,36151.2,34964.6,33646.9,32417.7,31526.9,31062.9,31401.3,33391.8,34845.0,35006.4,34890.7,34584.7,33865.2,33237.2
2017-01-08,32720.2,32565.3,32475.4,32578.4,32832.8,33353.7,34047.3,34637.1,34687.6,34365.7,33495.0,32809.3,32175.2,31323.2,30595.7,30253.0,30542.2,32231.4,33630.0,33675.5,33403.9,32581.1,31342.4,30298.2
2017-01-09,29787.8,29555.0,29477.3,29660.3,30174.8,31524.7,33937.5,35261.6,34744.5,34293.1,33774.9,32918.3,32013.4,31322.4,30769.4,30582.0,30860.3,31985.0,32726.0,32142.0,31405.1,30199.7,28396.1,26895.8
2017-01-10,25874.8,25213.8,24750.3,24755.2,25008.9,26198.3,28385.8,29750.5,29403.7,29221.4,29173.3,28950.0,28451.9,28086.5,27815.7,27709.9,27902.8,29138.2,30335.7,30313.5,29986.8,29049.5,27838.5,26433.3
2017-01-11,25688.1,25210.7,25101.6,25263.7,25749.9,26936.7,29192.9,30542.6,30053.2,29759.1,29543.8,29257.2,28946.1,28824.4,28610.3,28429.8,28503.7,29592.5,30723.3,30635.1,30333.6,29410.9,28065.6,26764.9
2017-01-12,25913.8,25576.2,25548.2,25734.5,26383.1,27844.2,30490.5,32317.8,32229.2,32235.2,32198.2,31713.1,31388.6,31202.3,30841.8,30822.7,31288.7,32624.6,33620.2,33387.3,33072.4,32282.7,30894.0,29471.5
2017-01-13,28504.2,28176.4,28036.9,28056.9,28486.9,29724.5,31885.6,33452.4,33566.0,33764.9,33854.9,33675.8,33283.5,32903.1,32518.9,32180.7,32356.1,33223.5,33388.1,32729.6,32175.1,31338.6,30112.7,28935.2
2017-01-14,28061.2,27608.9,27439.7,27468.7,27589.9,28187.7,29011.4,29962.2,30573.5,31187.3,31355.8,31251.1,30847.0,30349.3,29986.1,29768.6,30182.0,31360.3,31902.4,31486.9,30852.7,30115.6,29104.7,27973.8
2017-01-15,27129.0,26622.6,26294.7,26232.0,26341.2,26709.4,27179.8,27915.3,28535.0,29120.7,29306.7,29278.7,29282.9,29078.0,28831.1,28700.8,28987.4,30033.3,30315.0,30044.7,29444.6,28571.1,27470.6,26253.1
2017-01-16,25467.7,25129.6,24949.6,25009.5,25324.0,26141.6,27655.4,28936.0,29304.5,29716.7,29770.1,29530.3,29482.1,29104.2,28733.2,28346.1,28486.7,29526.0,30474.7,30345.4,29931.0,29123.2,27772.7,26556.4
2017-01-17,25878.0,25505.7,25479.7,25535.8,26175.3,27539.1,29777.4,31347.4,31166.2,30909.4,30577.7,30095.4,29528.9,29158.2,28636.4,28264.1,28463.5,29620.3,30823.1,30699.6,30214.4,29234.2,27731.8,26483.3
2017-01-18,25511.5,25049.8,24881.3,25024.7,25663.1,27119.2,29547.9,31145.7,30710.5,30204.2,29819.2,29279.2,28515.9,28109.6,27535.5,27379.0,27642.2,28781.1,30072.5,29917.8,29566.3,28650.6,27141.6,25686.7
2017-01-19,24978.1,24567.3,24333.0,24463.4,24901.8,26264.9,28589.9,30163.7,29963.1,29800.4,29638.3,29315.2,28704.0,28445.9,27994.5,27675.1,27845.0,28784.5,29709.6,29448.3,29094.8,28208.9,26830.9,25469.1
2017-01-20,24518.4,24006.8,23845.9,23747.5,24214.5,25505.3,27819.6,29339.9,29101.4,28846.9,28491.6,28211.0,27845.6,27644.1,27246.5,26906.6,26705.3,27331.8,27975.8,27730.0,27399.8,26829.7,25834.5,24666.7
2017-01-21,23942.9,23476.8,23302.4,23304.3,23540.2,24185.1,25077.5,26109.3,26772.9,27050.5,26959.7,26538.1,25904.3,25380.9,24954.1,24777.2,24942.7,25940.9,26820.8,26621.1,26283.2,25684.4,24911.2,23963.0
2017-01-22,23254.4,22744.2,22720.1,22733.5,22834.4,23260.3,23981.6,24944.5,25679.1,26152.5,26224.2,26224.3,26172.4,26033.0,25809.8,25760.6,26051.0,27154.3,28560.1,28814.4,28596.2,27880.2,26746.4,25704.7
2017-01-23,25160.9,24982.4,24886.1,25193.0,25927.6,27633.3,30300.6,31845.9,31468.4,30858.7,30370.5,29801.2,29032.4,28550.2,27898.3,27367.9,27351.2,28345.1,29957.3,30063.6,29838.1,29039.1,27748.7,26481.6
2017-01-24,25874.9,25520.2,25356.1,25501.3,26030.8,27525.8,30049.3,31430.0,30916.3,30287.9,29877.7,29410.2,28879.4,28379.6,27953.0,27580.0,27589.1,28263.8,29482.7,29388.0,28921.7,27884.1,26462.2,25239.0
