date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-7.22,-7.78,-7.78,-8.06,-8.21,-8.62,-8.47,-8.29,-6.03,-4.73,-2.35,0.22,-3.88,-4.1,-5.27,-4.98,-2.78,-5.57,-4.55,-4.53,-2.26,-1.11,-0.72,-2.72
2017-01-01,relh,72.36,71.17,74.42,77.68,77.11,76.51,79.78,80.94,73.42,79.6,75.98,72.96,70.21,64.36,64.74,66.3,61.11,76.96,75.9,80.77,85.26,82.86,82.92,85.38
2017-01-01,sped,8.3,9.99,7.4,7.58,6.45,6.46,5.52,3.96,6.42,6.59,9.48,9.88,10.93,10.73,11.23,11.05,9.57,9.72,9.26,10.53,12.03,13.18,12.34,11.78
2017-01-01,tmpc,-2.78,-3.06,-3.75,-4.6,-4.6,-4.88,-5.4,-5.26,-1.68,-1.64,1.42,4.66,1.11,2.22,1.01,1.03,4.44,-1.87,-0.56,-1.43,0.09,1.71,2.07,-0.44
2017-01-02,dwpc,3.91,2.41,1.77,0.77,3.55,4.15,3.79,3.06,2.77,4.17,1.43,2.27,1.68,2.57,5.0,3.62,1.05,2.17,-0.37,1.28,0.86,2.29,0.12,-2.01
2017-01-02,relh,88.83,91.5,92.22,89.32,88.36,94.03,93.93,94.24,92.21,90.62,89.07,88.87,85.73,82.37,87.93,85.53,88.3,89.03,91.93,94.84,93.25,92.28,91.85,87.17
2017-01-02,sped,9.97,10.15,10.11,10.23,10.17,11.05,10.0,9.64,7.96,9.97,10.2,8.64,8.69,9.12,8.37,7.85,7.4,6.76,6.18,5.95,7.01,8.82,9.48,11.5
2017-01-02,tmpc,5.62,3.76,2.97,2.44,5.46,5.07,4.73,3.92,3.93,5.6,3.24,4.18,4.41,6.19,7.58,6.56,3.1,4.0,0.91,2.1,1.88,3.48,1.35,-0.1
2017-01-03,dwpc,-1.57,-2.34,-4.66,-7.68,-10.45,-7.11,-10.12,-7.77,-9.18,-10.39,-10.8,-12.91,-12.92,-15.46,-16.29,-14.15,-14.46,-15.03,-15.71,-15.86,-16.51,-16.54,-16.8,-17.22
2017-01-03,relh,90.28,90.71,88.07,85.26,81.96,83.53,82.81,88.13,81.78,81.48,75.04,71.7,64.82,66.44,66.65,60.23,61.06,62.97,63.01,62.4,62.32,65.34,66.18,66.32
2017-01-03,sped,15.17,17.35,17.15,18.36,19.98,19.85,20.23,19.62,20.39,21.38,21.51,21.26,21.26,20.56,19.71,19.72,17.62,17.86,16.43,15.26,17.73,17.01,15.13,14.78
2017-01-03,tmpc,-0.17,-1.01,-2.96,-5.56,-7.86,-4.72,-7.67,-6.1,-6.52,-7.73,-7.04,-8.61,-7.24,-10.19,-11.03,-7.41,-7.92,-8.9,-9.61,-9.61,-10.32,-10.98,-11.38,-11.93
2017-01-04,dwpc,-17.62,-17.78,-18.06,-17.93,-18.2,-18.46,-18.47,-18.74,-18.89,-18.72,-18.21,-18.47,-18.47,-17.31,-18.04,-18.04,-18.04,-16.79,-16.81,-16.32,-16.04,-15.99,-14.28,-14.26
2017-01-04,relh,66.68,67.24,66.82,70.04,69.24,70.03,70.5,70.0,68.99,64.94,59.82,55.24,52.53,52.22,51.16,51.78,53.33,61.6,66.45,68.02,70.06,70.73,76.84,81.62
2017-01-04,sped,14.36,12.94,13.58,12.81,13.21,12.08,11.84,11.37,9.04,9.41,10.06,10.06,8.41,7.59,8.05,7.48,7.67,8.62,8.72,8.08,8.61,8.71,9.06,9.49
2017-01-04,tmpc,-12.46,-12.76,-13.04,-13.47,-13.6,-14.03,-14.15,-14.3,-14.3,-13.35,-11.76,-10.84,-9.91,-8.57,-9.06,-9.06,-9.61,-10.29,-11.55,-11.33,-11.21,-11.51,-10.78,-11.4
2017-01-05,dwpc,-15.23,-14.74,-15.65,-16.78,-16.66,-16.55,-17.21,-18.03,-16.49,-16.34,-17.22,-20.32,-18.23,-19.56,-18.44,-20.22,-19.03,-19.3,-19.3,-19.99,-19.96,-20.24,-21.12,-18.23
2017-01-05,relh,81.39,81.31,79.67,77.94,77.92,78.36,76.07,75.22,81.31,78.46,72.54,68.71,65.11,67.0,61.1,63.44,63.35,64.36,67.72,69.47,68.48,70.36,69.15,72.43
2017-01-05,sped,10.23,9.72,10.73,10.32,10.03,10.35,11.83,12.56,12.8,13.92,15.65,15.19,16.06,15.68,15.63,16.01,14.63,13.84,12.49,10.61,12.22,11.09,12.13,10.47
2017-01-05,tmpc,-12.4,-11.87,-12.58,-13.42,-13.32,-13.32,-13.66,-14.44,-13.82,-13.26,-13.22,-15.71,-12.94,-14.71,-12.36,-14.68,-13.35,-13.88,-14.44,-15.46,-15.28,-15.86,-16.53,-14.26
2017-01-06,dwpc,-17.16,-16.44,-18.41,-17.67,-17.71,-14.75,-18.61,-18.74,-18.76,-19.41,-16.35,-16.42,-16.35,-16.94,-16.92,-16.52,-16.79,-16.94,-17.37,-17.88,-18.74,-18.61,-19.54,-20.84
2017-01-06,relh,81.92,83.38,84.31,82.57,82.91,82.58,79.65,79.77,79.48,75.94,70.26,67.82,63.91,60.96,61.86,63.2,63.8,67.34,75.9,79.28,78.9,82.58,81.42,82.02
2017-01-06,sped,10.1,8.54,8.0,8.88,6.16,6.74,5.41,7.03,7.3,7.84,7.04,6.8,7.06,9.07,9.08,8.31,9.04,6.02,3.02,2.71,3.9,3.49,3.59,2.79
2017-01-06,tmpc,-14.74,-14.22,-16.36,-15.34,-15.44,-12.39,-15.83,-15.97,-16.01,-16.02,-11.94,-11.56,-10.7,-10.7,-10.82,-10.7,-11.12,-11.96,-13.92,-15.01,-15.85,-16.25,-17.08,-18.48
2017-01-07,dwpc,-20.0,-21.99,-20.53,-23.16,-21.11,-20.11,-20.56,-20.71,-18.93,-17.04,-15.57,-15.26,-14.57,-14.03,-14.17,-14.29,-14.88,-15.12,-15.85,-16.94,-16.79,-20.74,-16.97,-17.35
2017-01-07,relh,81.29,80.71,85.52,84.46,82.12,81.24,80.92,79.82,80.21,76.6,73.36,67.14,65.27,63.96,61.4,62.27,65.6,69.66,71.69,75.59,76.11,77.01,79.06,78.02
2017-01-07,sped,3.26,3.87,5.05,4.83,3.71,4.28,5.21,4.51,5.24,6.58,7.91,7.77,8.27,8.99,9.37,9.0,8.17,4.79,2.86,3.05,3.41,4.86,3.14,4.26
2017-01-07,tmpc,-17.53,-19.48,-18.66,-21.21,-18.79,-17.64,-18.04,-18.07,-16.28,-13.75,-11.68,-10.15,-9.07,-8.08,-7.78,-8.08,-9.46,-10.54,-11.64,-13.48,-13.47,-17.62,-14.03,-14.3
2017-01-08,dwpc,-17.5,-17.62,-16.79,-16.25,-16.12,-15.58,-15.01,-14.46,-13.47,-12.65,-11.52,-11.1,-10.12,-9.46,-9.58,-10.14,-10.0,-9.72,-9.57,-10.22,-12.01,-11.93,-12.35,-13.44
2017-01-08,relh,78.76,79.7,80.01,78.12,77.99,78.96,79.16,76.72,74.21,70.82,67.5,66.65,61.92,57.72,54.96,51.63,58.76,56.65,58.94,67.55,70.73,64.86,65.17,61.76
2017-01-08,sped,5.03,4.93,7.09,7.96,9.74,9.23,10.44,12.41,14.56,17.41,18.24,19.55,19.31,20.09,20.12,18.78,15.85,12.95,10.24,11.5,11.95,8.98,10.19,10.92
