date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,19030.6,19040.8,18795.5,18677.4,18716.7,19038.1,19454.7,19879.7,20136.8,20284.8,19993.5,19724.7,19450.7,18944.2,18635.0,18559.8,18644.9,19882.0,20734.6,20615.3,20243.1,19768.3,19042.1,18236.4
2017-01-02,17552.4,17210.5,16949.2,16825.4,16923.9,17448.7,18096.7,18778.1,19249.7,19825.4,20248.5,20343.3,20206.7,19958.0,19696.7,19541.0,19576.5,20574.3,21180.1,20912.6,20497.3,19976.4,19234.8,18471.1
2017-01-03,17881.9,17603.6,17589.9,17675.2,18033.4,19177.7,21017.0,22308.5,22730.6,23222.1,23569.8,23722.8,23644.8,23618.7,23471.8,23423.8,23768.5,24969.8,25729.6,25717.2,25539.2,24984.4,24037.4,23161.9
2017-01-04,22725.9,22506.4,22553.5,22815.6,23327.4,24509.1,26476.4,27601.7,27431.8,27212.3,26758.9,26105.3,25423.1,24961.3,24488.8,24250.2,24518.2,25749.6,26635.7,26581.5,26388.0,25460.7,24331.3,23371.0
2017-01-05,22954.7,22840.0,22873.6,22957.2,23443.3,24697.2,26490.8,27500.8,27502.3,27672.4,27805.1,27624.5,27362.8,27222.6,27224.2,27268.0,27745.2,28797.5,29426.6,29305.5,29056.6,28313.7,27157.0,26295.3
2017-01-06,25825.9,25612.4,25631.0,25765.7,26224.7,27249.7,28931.0,29941.2,29899.7,29847.4,29646.5,29247.2,28725.4,28439.5,28059.4,27847.2,28081.9,29067.5,29901.0,29794.0,29689.3,29303.3,28579.4,27924.6
2017-01-07,27521.9,27402.9,27350.9,27400.2,27667.7,28167.4,28802.0,29420.5,29402.8,28731.0,27889.9,26908.0,25859.2,24890.2,24157.4,23778.6,24020.5,25523.8,26744.9,26878.7,26814.9,26594.0,26071.8,25632.0
2017-01-08,25320.1,25183.2,25181.5,25316.0,25505.1,25873.1,26332.6,26744.2,26829.4,26519.8,25765.7,25153.9,24602.7,23938.8,23326.3,23044.1,23250.3,24468.7,25693.1,25769.6,25548.2,24934.2,23849.2,22941.8
2017-01-09,22563.9,22390.8,22351.7,22549.4,23030.7,24125.0,26001.4,26834.7,26381.8,25972.4,25537.3,24837.6,24103.3,23533.7,23083.4,22812.3,22905.2,23745.2,24438.9,24094.8,23668.5,22730.5,21308.3,20184.8
2017-01-10,19351.7,18766.0,18353.2,18372.5,18551.7,19477.8,21097.9,22002.8,21620.4,21427.8,21460.9,21312.7,20977.1,20652.6,20412.5,20336.6,20425.1,21238.7,22180.5,22168.2,22022.9,21347.1,20373.3,19438.4
2017-01-11,18952.9,18604.5,18549.4,18609.5,18911.3,19903.7,21613.2,22450.2,21991.6,21658.2,21409.0,21152.1,20944.9,20845.1,20603.6,20359.5,20407.3,21208.4,22160.9,22163.1,21999.9,21303.2,20248.2,19218.1
2017-01-12,18563.8,18332.3,18335.0,18526.8,19075.7,20266.5,22379.4,23802.8,23875.8,23982.1,23952.5,23638.4,23451.6,23276.2,22955.5,22826.5,23115.1,24061.8,24867.1,24794.0,24582.2,23992.9,22944.7,21924.7
2017-01-13,21231.5,20921.1,20788.3,20781.5,21136.7,22125.5,23782.2,24943.4,25093.7,25330.5,25501.9,25475.3,25272.6,25064.0,24826.2,24591.4,24684.7,25322.1,25372.1,24856.1,24461.7,23798.5,22814.5,21905.8
2017-01-14,21211.8,20823.2,20600.4,20548.7,20645.7,21039.2,21651.1,22323.0,22858.7,23494.9,23844.4,23918.4,23725.8,23487.3,23334.2,23178.6,23436.6,24228.7,24527.5,24176.9,23684.6,23085.6,22234.2,21318.0
2017-01-15,20648.7,20215.7,19930.5,19859.3,19946.7,20221.4,20662.5,21204.6,21696.5,22253.0,22488.2,22501.1,22528.0,22431.2,22203.5,22081.2,22228.6,22945.7,23105.0,22920.6,22484.9,21815.4,20930.0,20002.1
2017-01-16,19361.7,19032.2,18911.1,18893.5,19143.0,19769.0,20946.5,21882.0,22141.5,22476.1,22516.7,22262.2,22247.4,21946.8,21654.2,21324.0,21387.6,22112.4,22902.7,22786.0,22480.9,21849.7,20789.6,19790.5
2017-01-17,19242.2,19006.2,19027.5,19109.7,19611.2,20661.2,22566.5,23730.4,23570.6,23424.8,23232.5,22901.7,22535.5,22282.1,21953.7,21737.6,21886.1,22718.4,23630.0,23531.7,23146.4,22364.8,21158.7,20172.8
2017-01-18,19366.9,18999.2,18862.8,18982.1,19525.7,20689.8,22553.3,23708.4,23397.8,23054.3,22865.3,22505.8,21936.9,21631.8,21163.5,21086.1,21294.4,22094.7,23085.1,22962.6,22651.9,21914.5,20705.2,19619.1
2017-01-19,18983.9,18588.3,18436.6,18418.3,18698.2,19768.3,21523.2,22642.2,22493.9,22430.0,22387.1,22138.1,21756.0,21538.1,21156.3,20867.6,20943.7,21583.4,22377.2,22275.3,22060.8,21379.9,20319.0,19252.5
2017-01-20,18553.6,18133.1,17978.1,17977.6,18348.9,19311.4,21124.3,22149.3,21966.9,21743.5,21463.0,21180.4,20855.4,20665.0,20428.0,20188.3,19936.0,20329.4,21007.7,20817.1,20620.9,20244.7,19503.8,18655.1
