date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,dwpc,-5.3,-5.86,-5.86,-5.56,-5.86,-6.16,-5.56,-5.25,-3.34,-0.25,1.45,3.31,1.64,1.08,1.08,1.39,1.39,1.08,1.08,2.75,6.08,6.5,6.87,3.7
2017-01-01,relh,70.31,68.03,71.3,74.66,73.28,71.94,80.47,76.76,69.02,80.51,76.82,73.42,61.81,52.78,52.28,52.68,53.59,67.66,70.4,80.76,86.11,86.46,87.05,88.25
2017-01-01,sped,7.03,9.47,6.08,6.68,6.73,6.02,5.3,3.4,6.27,7.09,8.84,8.88,9.13,9.55,11.26,11.16,9.93,9.26,8.9,10.44,11.45,13.27,12.85,12.51
2017-01-01,tmpc,-0.25,-0.25,-1.08,-1.39,-1.39,-1.39,-2.5,-1.39,1.93,2.8,5.18,7.77,8.58,10.3,10.56,10.86,10.56,6.64,6.08,5.84,8.32,8.67,8.91,5.48
2017-01-02,dwpc,6.96,6.98,10.26,8.61,10.9,10.18,7.64,9.17,10.72,10.26,8.59,8.22,8.03,7.25,8.2,7.96,8.17,7.63,7.39,8.14,7.99,8.01,7.85,6.39
2017-01-02,relh,94.97,98.31,100.0,100.0,100.0,100.0,100.0,100.0,96.53,91.88,84.56,86.62,75.16,70.22,85.47,80.62,83.34,87.11,88.46,94.23,94.68,94.68,95.14,89.91
2017-01-02,sped,11.95,10.64,10.7,10.01,10.0,13.6,11.9,11.02,9.52,12.42,11.87,9.0,9.06,11.02,9.15,9.72,10.06,7.28,6.43,4.03,3.69,2.48,4.69,6.73
2017-01-02,tmpc,7.77,7.22,10.26,8.61,10.9,10.18,7.64,9.17,11.26,11.57,11.39,10.83,13.28,14.14,11.52,12.39,11.67,10.04,9.46,9.18,8.89,8.91,8.69,8.03
2017-01-03,dwpc,5.89,4.88,3.48,3.3,3.06,2.19,1.94,0.03,-1.11,-3.33,-5.0,-7.07,-8.34,-8.28,-8.84,-9.59,-10.56,-11.16,-11.72,-11.72,-12.22,-11.97,-12.22,-12.5
2017-01-03,relh,96.42,94.26,95.22,92.53,94.34,94.1,96.22,98.19,92.35,86.65,76.74,71.86,64.98,59.77,55.14,51.46,54.9,56.1,55.97,55.18,56.02,59.78,59.72,60.8
2017-01-03,sped,13.31,15.98,16.54,17.73,19.14,18.74,19.93,19.15,20.1,21.56,20.27,21.3,20.99,19.5,19.07,19.61,18.26,18.14,16.65,14.75,16.67,15.63,15.33,14.32
2017-01-03,tmpc,6.45,5.77,4.22,4.47,3.92,3.06,2.5,0.29,0.0,-1.37,-1.36,-2.59,-2.5,-1.39,-0.81,-0.72,-2.5,-3.36,-3.92,-3.66,-4.47,-5.0,-5.25,-5.84
2017-01-04,dwpc,-12.75,-13.06,-13.3,-13.06,-13.34,-13.58,-13.61,-13.89,-13.89,-13.61,-13.61,-14.14,-14.75,-14.43,-14.14,-14.14,-13.89,-13.34,-13.3,-12.5,-12.25,-12.8,-11.35,-10.98
2017-01-04,relh,61.67,62.78,64.05,68.43,68.48,69.9,70.86,69.5,67.92,61.88,54.2,47.36,42.56,41.04,41.82,41.26,43.23,48.73,51.41,56.06,50.7,56.74,78.38,83.72
2017-01-04,sped,13.85,12.08,12.31,11.79,10.45,10.06,10.45,11.45,10.11,10.25,9.97,8.94,7.7,6.56,7.14,6.71,7.65,7.82,7.61,7.53,8.32,8.65,9.3,10.18
2017-01-04,tmpc,-6.34,-6.94,-7.5,-8.06,-8.36,-8.92,-9.17,-9.17,-8.92,-7.5,-5.78,-4.47,-3.66,-3.7,-2.5,-2.25,-2.8,-3.92,-4.72,-5.0,-4.75,-5.31,-7.86,-8.2
2017-01-05,dwpc,-11.65,-11.68,-12.76,-13.69,-13.11,-13.31,-13.5,-13.67,-13.56,-13.56,-13.7,-13.61,-14.14,-13.84,-15.25,-15.56,-15.86,-15.8,-15.8,-16.08,-16.08,-16.34,-16.7,-14.57
2017-01-05,relh,84.1,84.38,80.21,77.55,78.54,80.75,76.48,78.35,85.02,81.75,74.99,64.95,64.92,66.67,56.44,57.6,57.91,59.12,60.64,63.42,64.94,65.24,63.29,71.14
2017-01-05,sped,11.98,11.32,13.0,12.89,11.27,10.75,13.26,13.07,13.9,15.13,17.25,17.01,16.83,16.0,16.62,17.47,16.71,15.76,16.3,13.05,13.74,13.44,12.97,12.08
2017-01-05,tmpc,-8.93,-9.06,-9.58,-9.98,-9.61,-10.26,-9.8,-10.39,-11.35,-10.91,-10.02,-8.06,-8.61,-8.66,-8.06,-8.61,-8.92,-9.17,-9.44,-10.3,-10.56,-10.86,-10.8,-10.26
2017-01-06,dwpc,-13.24,-13.02,-13.24,-14.24,-14.17,-12.89,-15.25,-15.53,-15.84,-16.34,-14.4,-14.61,-14.85,-15.84,-16.34,-15.84,-16.08,-16.64,-16.39,-16.94,-16.94,-16.94,-17.75,-18.89
2017-01-06,relh,85.23,86.61,88.28,86.34,86.84,84.93,87.62,85.78,81.69,71.62,70.96,68.94,65.05,59.7,58.44,59.78,61.08,65.38,72.78,81.32,79.75,85.15,85.42,86.84
2017-01-06,sped,10.82,8.56,8.5,9.13,7.32,8.1,7.69,8.24,8.66,9.2,7.97,7.79,8.05,11.43,10.41,9.81,10.53,8.24,3.34,2.49,2.81,2.99,3.16,2.07
2017-01-06,tmpc,-11.25,-11.22,-11.68,-12.41,-12.41,-10.84,-13.61,-13.61,-13.36,-12.25,-10.14,-9.98,-9.5,-9.44,-9.7,-9.44,-10.0,-11.42,-12.5,-14.44,-14.2,-15.0,-15.86,-17.22
2017-01-07,dwpc,-18.58,-18.28,-19.44,-18.84,-18.58,-18.58,-19.44,-19.44,-16.16,-13.84,-12.25,-11.64,-10.56,-10.0,-9.75,-9.75,-9.75,-10.56,-11.08,-11.39,-11.34,-11.7,-11.7,-12.2
2017-01-07,relh,85.5,85.54,88.66,89.33,85.5,85.3,86.98,83.0,83.0,77.14,71.9,62.22,61.48,57.64,56.33,57.74,62.96,67.99,69.5,75.64,79.35,76.96,77.65,77.48
2017-01-07,sped,2.67,3.51,4.72,4.42,3.07,4.13,4.66,3.82,5.23,5.01,6.21,7.28,7.82,9.38,9.81,9.26,8.66,6.26,4.33,3.45,4.82,5.82,2.84,4.94
2017-01-07,tmpc,-16.72,-16.42,-18.03,-17.5,-16.72,-16.7,-17.8,-17.25,-13.89,-10.56,-8.06,-5.56,-4.22,-2.8,-2.19,-2.5,-3.66,-5.53,-6.34,-7.8,-8.36,-8.36,-8.36,-8.91
2017-01-08,dwpc,-12.75,-13.61,-12.78,-12.5,-12.25,-11.42,-11.11,-11.11,-10.3,-9.75,-8.84,-9.14,-8.06,-8.06,-8.92,-10.53,-10.56,-10.3,-10.3,-9.7,-9.7,-9.7,-9.7,-9.7
2017-01-08,relh,79.33,82.24,84.1,80.34,81.84,84.1,84.22,80.62,75.37,70.17,66.33,58.88,54.27,47.48,42.0,34.18,35.36,40.12,43.07,46.27,49.56,53.34,55.46,53.36
2017-01-08,sped,5.24,4.92,6.18,6.47,6.08,6.1,7.73,7.73,10.47,15.67,15.42,17.74,18.66,20.09,19.82,19.23,17.43,13.88,10.73,11.8,11.67,9.26,8.21,8.56
2017-01-08,tmpc,-9.75,-11.08,-10.56,-9.7,-9.7,-9.16,-8.91,-8.36,-6.64,-5.0,-3.06,-1.39,0.84,2.8,3.92,4.72,3.92,1.94,0.86,0.55,-0.3,-1.42,-1.94,-1.42
2017-01-09,dwpc,-9.14,-9.14,-9.14,-8.84,-8.59,-8.3,-8.06,-7.5,-6.08,-4.72,-3.61,-2.5,-1.08,-0.56,0.86,1.39,2.19,3.06,3.84,4.14,4.75,5.86,5.58,6.16
2017-01-09,relh,56.94,59.22,59.08,61.78,64.17,63.25,65.66,73.06,66.36,65.28,61.6,56.24,52.38,50.5,50.67,53.41,57.56,64.59,71.39,73.12,75.18,74.38,57.66,73.57
2017-01-09,sped,8.51,7.5,8.05,7.72,6.57,7.47,8.76,8.68,12.1,14.65,16.96,17.49,19.37,19.61,20.22,20.29,17.53,16.65,16.35,16.48,18.03,18.34,21.17,21.06
2017-01-09,tmpc,-1.72,-2.25,-2.19,-2.5,-2.75,-2.22,-2.5,-3.36,-0.55,1.08,3.06,5.53,8.11,9.22,10.78,10.53,10.28,9.47,8.92,8.92,9.2,10.56,8.61,11.11
2017-01-10,dwpc,6.72,6.94,6.94,6.64,6.33,6.08,5.84,5.84,4.44,3.89,2.75,1.11,-1.94,-2.75,-3.92,-3.92,-3.92,-3.61,-3.61,-3.34,-3.58,-3.58,-3.34,-2.5
2017-01-10,relh,74.95,71.78,70.52,67.2,64.76,64.54,65.5,67.69,56.06,56.58,50.33,53.88,38.64,38.82,36.91,35.39,39.8,47.9,55.18,60.74,62.98,58.42,68.57,70.47
2017-01-10,sped,20.44,20.32,19.14,19.15,20.64,22.86,20.9,19.19,16.61,16.52,15.22,17.69,17.95,15.7,11.08,8.0,6.67,2.88,3.22,2.51,4.08,5.53,5.59,6.79
2017-01-10,tmpc,11.34,12.2,12.5,12.8,13.06,12.75,12.22,11.72,13.03,12.8,13.89,11.48,13.92,12.8,13.06,13.06,11.16,8.03,6.11,4.2,4.14,4.75,2.5,2.5
2017-01-11,dwpc,-1.66,-1.66,-0.86,-0.61,0.3,1.94,3.36,4.47,6.08,7.75,7.8,9.28,7.2,6.39,4.7,4.06,3.36,2.78,-0.39,2.8,3.11,3.06,3.67,3.36
2017-01-11,relh,71.8,76.16,71.54,68.34,63.83,65.33,69.58,75.3,71.27,64.32,58.32,62.41,47.98,43.49,35.04,48.9,54.46,62.82,76.43,72.46,73.64,76.28,79.7,78.76
2017-01-11,sped,7.16,8.45,8.47,9.5,10.58,13.45,15.65,16.28,18.1,21.24,23.09,21.75,22.11,19.39,19.49,19.55,17.44,16.85,12.79,12.92,13.8,15.86,15.84,13.74
2017-01-11,tmpc,3.06,2.19,3.84,4.75,6.7,8.11,8.61,8.61,11.08,14.44,16.64,17.04,18.92,19.75,21.11,15.57,13.89,10.86,3.89,8.06,8.06,7.5,7.5,7.2
2017-01-12,dwpc,-0.83,-6.11,-6.94,-8.11,-8.99,-9.39,-9.63,-10.0,-10.41,-10.3,-9.7,-9.7,-9.75,-10.25,-10.25,-9.75,-9.14,-8.59,-8.59,-8.13,-8.15,-8.01,-8.46,-8.91
2017-01-12,relh,67.04,80.29,74.34,79.3,78.25,76.89,82.52,77.67,76.05,68.22,64.88,60.2,54.54,47.32,45.8,45.7,49.21,53.39,55.66,53.85,55.76,54.62,57.61,60.6
2017-01-12,sped,14.89,15.29,16.85,17.6,17.36,17.51,13.27,14.35,12.6,12.49,12.65,13.86,13.34,14.64,12.92,11.88,11.83,12.48,11.87,12.25,14.26,15.4,14.02,13.23
2017-01-12,tmpc,5.15,-2.81,-2.75,-4.85,-5.74,-5.84,-7.1,-6.64,-6.85,-5.25,-3.92,-2.8,-1.64,-0.28,0.25,0.84,0.53,0.0,-0.56,0.39,-0.19,0.21,-0.99,-2.2
2017-01-13,dwpc,-9.72,-10.0,-10.25,-9.14,-7.5,-7.96,-8.0,-6.79,-6.07,-7.35,-6.26,-6.94,-6.34,-4.82,-5.53,-5.28,-4.45,-5.0,-5.0,-4.33,-4.75,-4.2,-3.17,-3.25
2017-01-13,relh,57.86,59.16,59.3,59.38,70.46,70.89,72.4,77.41,81.34,77.09,80.4,77.36,80.21,85.26,82.01,84.85,86.45,85.06,85.06,87.66,86.57,90.15,93.18,93.43
2017-01-13,sped,13.44,12.75,12.92,13.53,12.81,12.23,13.31,13.6,13.76,12.15,11.4,11.28,11.33,11.6,13.22,12.08,10.41,9.97,9.39,9.2,8.78,8.15,8.82,9.37
2017-01-13,tmpc,-2.5,-3.06,-3.36,-2.26,-2.82,-3.39,-3.72,-3.34,-3.22,-3.73,-3.18,-3.36,-3.36,-2.61,-2.8,-3.06,-2.44,-2.8,-2.8,-2.54,-2.8,-2.8,-2.21,-2.33
2017-01-14,dwpc,-3.2,-3.58,-3.12,-2.95,-2.58,-3.3,-3.52,-2.66,-2.33,-2.54,-2.39,-2.17,-3.5,-2.6,-1.81,-1.78,-1.81,-2.26,-2.04,-1.83,-1.94,-1.14,-0.97,-1.22
2017-01-14,relh,94.94,94.4,94.99,95.45,95.66,98.19,96.86,97.26,96.04,94.69,93.01,95.02,87.58,90.13,91.93,93.56,92.66,90.42,92.65,92.58,92.38,94.34,96.19,93.81
2017-01-14,sped,10.5,11.38,11.96,11.3,9.72,9.89,8.91,9.11,8.17,8.45,9.34,8.73,9.15,8.09,7.94,8.33,9.0,8.72,7.75,7.78,6.85,6.9,7.53,7.22
2017-01-14,tmpc,-2.49,-2.8,-2.43,-2.31,-1.98,-3.06,-3.08,-2.28,-1.78,-1.8,-1.4,-1.46,-1.68,-1.16,-0.61,-0.83,-0.74,-0.89,-0.98,-0.78,-0.86,-0.34,-0.43,-0.34
2017-01-15,dwpc,-1.3,-1.64,-0.93,-1.48,-1.67,-0.86,-0.86,-0.76,-0.2,-0.08,-0.12,0.25,-0.18,-0.03,0.34,0.57,0.74,1.48,2.19,2.75,1.87,1.56,1.84,1.11
