03/11/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL		BIOMASS		BIOGAS		SMALL HYDRO		WIND TOTAL		SOLAR PV		SOLAR THERMAL		
	1		992		284		243		272		995		0		0		
	2		993		285		246		257		999		0		0		
	3		992		284		246		259		990		0		0		
	4		992		283		246		261		981		0		0		
	5		993		284		246		259		840		0		0		
	6		993		285		245		260		742		0		0		
	7		994		289		244		276		693		0		0		
	8		995		298		245		275		655		427		0		
	9		994		304		244		266		668		2657		0		
	10		993		303		244		233		634		4469		0		
	11		991		303		244		232		404		5822		0		
	12		989		305		244		231		344		6735		0		
	13		988		306		243		229		290		6847		0		
	14		987		304		241		231		232		6709		0		
	15		986		303		240		229		135		6680		0		
	16		985		302		240		265		156		6956		0		
	17		985		302		240		279		122		6154		0		
	18		985		299		241		360		96		3583		0		
	19		981		299		242		360		99		540		0		
	20		978		299		243		364		85		0		0		
	21		975		298		243		362		61		0		0		
	22		956		293		242		360		101		0		0		
	23		941		282		242		263		251		0		0		
	24		942		280		242		243		243		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES		NUCLEAR		THERMAL		IMPORTS		HYDRO						
	1		2786		1136		6274		8268		1899						
	2		2780		1136		5979		8076		1819						
	3		2772		1136		5646		8229		1819						
	4		2763		1136		5313		8382		1738						
	5		2622		1135		5097		8557		1781						
	6		2525		1136		5409		8495		1850						
	7		2496		1136		5597		8744		2007						
	8		2895		1136		5726		8361		2050						
	9		5133		1136		4478		7714		1870						
	10		6876		1136		4023		6676		1730						
	11		7996		1136		3807		5479		1392						
	12		8848		1137		3142		4985		1334						
	13		8903		1136		3152		4661		1356						
	14		8704		1136		3265		4618		1327						
	15		8573		1136		3403		4324		1361						
	16		8904		1135		3684		3970		1543						
	17		8082		1135		4346		4224		1750						
	18		5564		1135		5763		6160		2453						
	19		2521		1136		8032		8647		2590						
	20		1969		1136		9337		9788		2927						
	21		1939		1136		9683		9324		3132						
	22		1952		1135		9010		9728		2435						
	23		1979		1136		8234		9190		2186						
	24		1950		1137		7403		8846		1752						
