12/01/18			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		992		341		236		128		4109		0		0		
	2		993		341		236		133		4145		0		0		
	3		994		342		236		128		3850		0		0		
	4		993		341		234		127		3545		0		0		
	5		992		339		233		149		3564		0		0		
	6		991		347		233		254		3433		0		0		
	7		992		357		234		268		3215		39		0		
	8		991		362		234		271		3080		1928		8		
	9		993		363		234		213		3077		5073		228		
	10		993		351		235		207		2933		6447		398		
	11		993		345		234		185		3132		6895		417		
	12		992		343		234		180		3582		6441		326		
	13		991		332		235		143		3463		6163		281		
	14		991		337		234		149		3280		5877		134		
	15		989		339		234		146		3153		4887		76		
	16		991		341		233		193		3094		2353		0		
	17		992		351		233		336		2895		283		0		
	18		993		357		232		403		2705		122		0		
	19		989		358		233		405		2606		48		0		
	20		994		357		232		373		2653		0		0		
	21		995		356		232		267		2824		0		0		
	22		995		359		232		247		2604		0		0		
	23		995		358		232		162		2276		0		0		
	24		995		353		232		155		2157		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5806		2011		5614		6245		1864						
	2		5848		2009		5229		6258		1737						
	3		4556		2010		6220		6291		1597						
	4		5240		2009		5370		6332		1561						
	5		5277		2008		5409		6265		1676						
	6		5258		2009		5726		6021		2229						
	7		5105		2008		6253		6531		2347						
	8		6874		2004		5442		6057		2187						
	9		10181		1979		3922		4909		1663						
	10		11564		1893		3236		4577		1619						
	11		12201		818		3173		4455		1775						
	12		12098		621		3361		4244		1762						
	13		11608		554		3430		4651		1847						
	14		11002		519		3580		5214		1716						
	15		9824		535		4659		5648		1675						
	16		7205		539		6718		6590		2108						
	17		5090		539		9231		6979		2569						
	18		4812		540		10766		7735		2906						
	19		4639		537		10767		8111		2735						
	20		4609		509		10598		8057		2555						
	21		4674		506		10221		8097		2356						
	22		4437		506		9688		8125		2206						
	23		4023		505		9678		7188		2178						
	24		3892		507		8885		7286		1883						
