06/08/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		874		290		189		340		2706		0		15		
	2		875		291		193		340		3055		0		15		
	3		878		292		189		340		3318		0		15		
	4		879		264		181		339		2939		0		14		
	5		878		266		192		338		2289		0		13		
	6		876		276		175		339		1905		18		12		
	7		877		291		174		347		1613		2211		81		
	8		876		283		185		348		1530		6261		304		
	9		875		281		185		313		2064		7294		374		
	10		855		280		187		309		2907		7553		391		
	11		846		284		186		309		2900		8066		396		
	12		871		288		175		310		2588		8825		397		
	13		869		285		187		311		2208		8686		398		
	14		868		290		183		310		1823		9188		408		
	15		869		291		175		349		1556		9723		421		
	16		867		292		178		355		1492		9288		420		
	17		867		299		157		356		1706		8514		414		
	18		866		301		152		356		1765		8180		393		
	19		863		302		153		389		2025		5451		297		
	20		867		303		159		397		2422		1233		104		
	21		871		302		168		398		2636		0		39		
	22		874		300		179		398		2639		0		33		
	23		871		284		180		343		2282		0		0		
	24		873		271		188		340		1904		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		4414		2275		3338		9703		1547						
	2		4769		2275		2512		9523		1464						
	3		5032		2276		2407		8975		1351						
	4		4616		2276		2503		9114		1367						
	5		3976		2276		2600		9838		1568						
	6		3601		2275		3428		9711		1861						
	7		5594		2276		3474		8639		1627						
	8		9787		2277		2388		5902		1553						
	9		11386		2277		2274		4474		1487						
	10		12482		2277		2292		3085		1418						
	11		12987		2278		2707		2546		1145						
	12		13454		2277		2785		2244		965						
	13		12944		2276		2747		2779		1184						
	14		13070		2274		2969		2968		1202						
	15		13384		2276		3148		3125		1280						
	16		12892		2276		3780		3984		1404						
	17		12313		2276		4783		4793		1549						
	18		12013		2276		5971		5123		1952						
	19		9480		2277		7681		5932		3197						
	20		5485		2277		9714		7461		4043						
	21		4414		2278		10372		7763		4185						
	22		4423		2278		10287		7692		3597						
	23		3960		2277		8734		8441		2938						
	24		3576		2276		7658		8425		2409						
