INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2020-06-25T17:00:00-00:00,2020-06-25T18:00:00-00:00,ALL,2020-06-25,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,26171.71,1
2020-06-26T03:00:00-00:00,2020-06-26T04:00:00-00:00,ALL,2020-06-25,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32551.69,1
2020-06-25T10:00:00-00:00,2020-06-25T11:00:00-00:00,ALL,2020-06-25,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21539.25,1
2020-06-26T02:00:00-00:00,2020-06-26T03:00:00-00:00,ALL,2020-06-25,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,33218.91,1
2020-06-25T19:00:00-00:00,2020-06-25T20:00:00-00:00,ALL,2020-06-25,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,28052.28,1
2020-06-25T15:00:00-00:00,2020-06-25T16:00:00-00:00,ALL,2020-06-25,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25004.22,1
2020-06-25T14:00:00-00:00,2020-06-25T15:00:00-00:00,ALL,2020-06-25,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24274.66,1
2020-06-25T08:00:00-00:00,2020-06-25T09:00:00-00:00,ALL,2020-06-25,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22968.74,1
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,ALL,2020-06-25,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,31965.14,1
2020-06-25T13:00:00-00:00,2020-06-25T14:00:00-00:00,ALL,2020-06-25,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23365.02,1
2020-06-26T06:00:00-00:00,2020-06-26T07:00:00-00:00,ALL,2020-06-25,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25952.75,1
2020-06-26T04:00:00-00:00,2020-06-26T05:00:00-00:00,ALL,2020-06-25,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,30762.56,1
2020-06-25T18:00:00-00:00,2020-06-25T19:00:00-00:00,ALL,2020-06-25,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,27019.57,1
2020-06-25T09:00:00-00:00,2020-06-25T10:00:00-00:00,ALL,2020-06-25,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22052.38,1
2020-06-26T01:00:00-00:00,2020-06-26T02:00:00-00:00,ALL,2020-06-25,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,34108.14,1
2020-06-25T23:00:00-00:00,2020-06-26T00:00:00-00:00,ALL,2020-06-25,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32915.87,1
2020-06-25T12:00:00-00:00,2020-06-25T13:00:00-00:00,ALL,2020-06-25,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22394.98,1
2020-06-25T11:00:00-00:00,2020-06-25T12:00:00-00:00,ALL,2020-06-25,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21641.75,1
2020-06-26T00:00:00-00:00,2020-06-26T01:00:00-00:00,ALL,2020-06-25,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,34052.29,1
2020-06-25T20:00:00-00:00,2020-06-25T21:00:00-00:00,ALL,2020-06-25,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,29424.11,1
2020-06-25T07:00:00-00:00,2020-06-25T08:00:00-00:00,ALL,2020-06-25,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24281.53,1
2020-06-25T21:00:00-00:00,2020-06-25T22:00:00-00:00,ALL,2020-06-25,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,30699.25,1
2020-06-25T16:00:00-00:00,2020-06-25T17:00:00-00:00,ALL,2020-06-25,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25565.49,1
2020-06-26T05:00:00-00:00,2020-06-26T06:00:00-00:00,ALL,2020-06-25,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,28319.46,1
2020-06-26T00:00:00-00:00,2020-06-26T01:00:00-00:00,LOAD,2020-06-25,18,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T21:00:00-00:00,2020-06-25T22:00:00-00:00,LOAD,2020-06-25,15,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T17:00:00-00:00,2020-06-25T18:00:00-00:00,LOAD,2020-06-25,11,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T15:00:00-00:00,2020-06-25T16:00:00-00:00,LOAD,2020-06-25,9,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T14:00:00-00:00,2020-06-25T15:00:00-00:00,LOAD,2020-06-25,8,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T10:00:00-00:00,2020-06-25T11:00:00-00:00,LOAD,2020-06-25,4,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.69,2
2020-06-26T01:00:00-00:00,2020-06-26T02:00:00-00:00,LOAD,2020-06-25,19,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T09:00:00-00:00,2020-06-25T10:00:00-00:00,LOAD,2020-06-25,3,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.66,2
2020-06-26T04:00:00-00:00,2020-06-26T05:00:00-00:00,LOAD,2020-06-25,22,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.66,2
2020-06-25T23:00:00-00:00,2020-06-26T00:00:00-00:00,LOAD,2020-06-25,17,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T07:00:00-00:00,2020-06-25T08:00:00-00:00,LOAD,2020-06-25,1,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.67,2
2020-06-25T12:00:00-00:00,2020-06-25T13:00:00-00:00,LOAD,2020-06-25,6,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.51,2
2020-06-26T03:00:00-00:00,2020-06-26T04:00:00-00:00,LOAD,2020-06-25,21,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.76,2
2020-06-25T11:00:00-00:00,2020-06-25T12:00:00-00:00,LOAD,2020-06-25,5,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.69,2
2020-06-26T06:00:00-00:00,2020-06-26T07:00:00-00:00,LOAD,2020-06-25,24,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.67,2
2020-06-26T05:00:00-00:00,2020-06-26T06:00:00-00:00,LOAD,2020-06-25,23,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.67,2
2020-06-26T02:00:00-00:00,2020-06-26T03:00:00-00:00,LOAD,2020-06-25,20,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.17,2
2020-06-25T16:00:00-00:00,2020-06-25T17:00:00-00:00,LOAD,2020-06-25,10,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2020-06-25T22:00:00-00:00,2020-06-25T23:00:00-00:00,LOAD,2020-06-25,16,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
