OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/27/2021,01:00,11427.35,1314.55,4055.57,1006.38,11484.40,3194.85,6285.16,1286.31,40054.56,N
09/27/2021,02:00,11011.47,1259.32,3997.44,915.91,10734.60,3007.25,5903.47,1278.04,38107.51,N
09/27/2021,03:00,10743.51,1210.59,3928.27,885.25,10330.01,2886.33,5638.31,1253.10,36875.36,N
09/27/2021,04:00,10659.05,1189.41,3874.61,880.82,10185.25,2814.85,5502.95,1224.94,36331.88,N
09/27/2021,05:00,10791.45,1195.31,3892.30,874.80,10133.25,2806.46,5523.94,1174.26,36391.75,N
09/27/2021,06:00,11165.23,1239.95,3916.73,885.18,10553.38,2897.47,5750.98,1165.16,37574.08,N
09/27/2021,07:00,11732.70,1332.47,3989.48,944.29,11375.56,3090.42,6202.74,1192.62,39860.27,N
09/27/2021,08:00,11928.87,1411.42,4064.48,992.41,11732.60,3137.01,6411.56,1178.94,40857.28,N
09/27/2021,09:00,12407.61,1450.97,4105.27,1002.99,12060.63,3269.49,6563.02,1127.97,41987.95,N
09/27/2021,10:00,13234.74,1606.17,4095.04,1098.43,12934.01,3596.85,6863.86,1132.81,44561.90,N
09/27/2021,11:00,14117.69,1728.14,4086.48,1114.03,13905.69,3950.95,7320.37,1243.35,47466.70,N
09/27/2021,12:00,14985.79,1855.70,4128.17,786.02,14988.31,4317.78,7905.46,1423.31,50390.54,N
09/27/2021,13:00,15851.86,1980.54,4173.94,1164.68,16009.50,4659.09,8498.96,1561.06,53899.63,N
09/27/2021,14:00,16507.54,2103.55,4239.70,1338.24,16978.37,4966.06,9181.95,1657.76,56973.18,N
09/27/2021,15:00,16981.95,2194.57,4288.46,1411.41,17667.78,5142.62,9747.59,1734.53,59168.92,N
09/27/2021,16:00,17316.66,2232.70,4395.63,1478.01,17806.60,5236.41,10172.54,1743.07,60381.62,N
09/27/2021,17:00,17575.35,2268.44,4459.78,1469.82,17953.29,5298.10,10490.76,1782.02,61297.56,N
09/27/2021,18:00,17447.90,2257.01,4457.81,1366.27,17987.50,5230.95,10586.09,1793.99,61127.52,N
09/27/2021,19:00,16808.55,2197.45,4366.66,1359.88,17683.81,5037.89,10388.76,1777.92,59620.93,N
09/27/2021,20:00,16436.04,2106.57,4304.21,1336.95,16878.45,4869.98,10030.58,1731.40,57694.19,N
09/27/2021,21:00,16026.48,2025.88,4201.21,1363.94,16211.88,4741.92,9632.72,1774.27,55978.30,N
09/27/2021,22:00,15338.93,1872.42,4141.55,1291.06,15239.06,4489.79,9071.67,1678.90,53123.37,N
09/27/2021,23:00,14521.46,1727.44,4120.78,1157.70,13991.86,4196.01,8369.75,1501.48,49586.48,N
09/27/2021,24:00,13605.21,1590.84,4171.37,1070.10,12700.18,3886.72,7676.62,1289.30,45990.35,N
