"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20180601.csv"
"C","Report for 06/01/2018"
"C","Report generated 04/16/2020 21:30:24 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/01/2018","01:44:43","Hydro","Hydro",341,"No"
"D","06/01/2018","01:44:43","Natural Gas","Natural Gas",3594,"Yes"
"D","06/01/2018","01:44:43","Nuclear","Nuclear",4011,"No"
"D","06/01/2018","01:44:43","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","01:44:43","Refuse","Renewables",399,"No"
"D","06/01/2018","01:44:43","Solar","Renewables",0,"No"
"D","06/01/2018","01:44:43","Wind","Renewables",562,"No"
"D","06/01/2018","01:44:43","Wood","Renewables",349,"No"
"D","06/01/2018","01:53:28","Hydro","Hydro",338,"No"
"D","06/01/2018","01:53:28","Natural Gas","Natural Gas",3595,"Yes"
"D","06/01/2018","01:53:28","Nuclear","Nuclear",4009,"No"
"D","06/01/2018","01:53:28","Landfill Gas","Renewables",29,"No"
"D","06/01/2018","01:53:28","Refuse","Renewables",401,"No"
"D","06/01/2018","01:53:28","Solar","Renewables",0,"No"
"D","06/01/2018","01:53:28","Wind","Renewables",495,"No"
"D","06/01/2018","01:53:28","Wood","Renewables",354,"No"
"D","06/01/2018","01:59:29","Hydro","Hydro",338,"No"
"D","06/01/2018","01:59:29","Natural Gas","Natural Gas",3598,"Yes"
"D","06/01/2018","01:59:29","Nuclear","Nuclear",4011,"No"
"D","06/01/2018","01:59:29","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","01:59:29","Refuse","Renewables",397,"No"
"D","06/01/2018","01:59:29","Solar","Renewables",0,"No"
"D","06/01/2018","01:59:29","Wind","Renewables",482,"No"
"D","06/01/2018","01:59:29","Wood","Renewables",354,"No"
"D","06/01/2018","02:06:01","Hydro","Hydro",338,"No"
"D","06/01/2018","02:06:01","Natural Gas","Natural Gas",3586,"Yes"
"D","06/01/2018","02:06:01","Nuclear","Nuclear",4010,"No"
"D","06/01/2018","02:06:01","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:06:01","Refuse","Renewables",398,"No"
"D","06/01/2018","02:06:01","Solar","Renewables",0,"No"
"D","06/01/2018","02:06:01","Wind","Renewables",474,"No"
"D","06/01/2018","02:06:01","Wood","Renewables",359,"No"
"D","06/01/2018","02:14:58","Hydro","Hydro",338,"No"
"D","06/01/2018","02:14:58","Natural Gas","Natural Gas",3569,"Yes"
"D","06/01/2018","02:14:58","Nuclear","Nuclear",4013,"No"
"D","06/01/2018","02:14:58","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:14:58","Refuse","Renewables",391,"No"
"D","06/01/2018","02:14:58","Solar","Renewables",0,"No"
"D","06/01/2018","02:14:58","Wind","Renewables",439,"No"
"D","06/01/2018","02:14:58","Wood","Renewables",361,"No"
"D","06/01/2018","02:22:17","Hydro","Hydro",338,"No"
"D","06/01/2018","02:22:17","Natural Gas","Natural Gas",3537,"Yes"
"D","06/01/2018","02:22:17","Nuclear","Nuclear",4011,"No"
"D","06/01/2018","02:22:17","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:22:17","Refuse","Renewables",399,"No"
"D","06/01/2018","02:22:17","Solar","Renewables",0,"No"
"D","06/01/2018","02:22:17","Wind","Renewables",426,"No"
"D","06/01/2018","02:22:17","Wood","Renewables",367,"No"
"D","06/01/2018","02:36:44","Hydro","Hydro",338,"No"
"D","06/01/2018","02:36:44","Hydro","Hydro",338,"No"
"D","06/01/2018","02:36:44","Natural Gas","Natural Gas",3393,"Yes"
"D","06/01/2018","02:36:44","Natural Gas","Natural Gas",3393,"Yes"
"D","06/01/2018","02:36:44","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","02:36:44","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","02:36:44","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:36:44","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:36:44","Refuse","Renewables",397,"No"
"D","06/01/2018","02:36:44","Refuse","Renewables",397,"No"
"D","06/01/2018","02:36:44","Solar","Renewables",0,"No"
"D","06/01/2018","02:36:44","Solar","Renewables",0,"No"
"D","06/01/2018","02:36:44","Wind","Renewables",370,"No"
"D","06/01/2018","02:36:44","Wind","Renewables",370,"No"
"D","06/01/2018","02:36:44","Wood","Renewables",364,"No"
"D","06/01/2018","02:36:44","Wood","Renewables",364,"No"
"D","06/01/2018","02:47:19","Hydro","Hydro",337,"No"
"D","06/01/2018","02:47:19","Natural Gas","Natural Gas",3356,"Yes"
"D","06/01/2018","02:47:19","Nuclear","Nuclear",4011,"No"
"D","06/01/2018","02:47:19","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:47:19","Refuse","Renewables",376,"No"
"D","06/01/2018","02:47:19","Solar","Renewables",0,"No"
"D","06/01/2018","02:47:19","Wind","Renewables",355,"No"
"D","06/01/2018","02:47:19","Wood","Renewables",363,"No"
"D","06/01/2018","02:52:38","Hydro","Hydro",337,"No"
"D","06/01/2018","02:52:38","Natural Gas","Natural Gas",3306,"Yes"
"D","06/01/2018","02:52:38","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","02:52:38","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:52:38","Refuse","Renewables",391,"No"
"D","06/01/2018","02:52:38","Solar","Renewables",0,"No"
"D","06/01/2018","02:52:38","Wind","Renewables",394,"No"
"D","06/01/2018","02:52:38","Wood","Renewables",359,"No"
"D","06/01/2018","02:58:10","Hydro","Hydro",337,"No"
"D","06/01/2018","02:58:10","Natural Gas","Natural Gas",3260,"Yes"
"D","06/01/2018","02:58:10","Nuclear","Nuclear",4014,"No"
"D","06/01/2018","02:58:10","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","02:58:10","Refuse","Renewables",395,"No"
"D","06/01/2018","02:58:10","Solar","Renewables",0,"No"
"D","06/01/2018","02:58:10","Wind","Renewables",395,"No"
"D","06/01/2018","02:58:10","Wood","Renewables",349,"No"
"D","06/01/2018","03:07:55","Hydro","Hydro",337,"No"
"D","06/01/2018","03:07:55","Natural Gas","Natural Gas",3209,"Yes"
"D","06/01/2018","03:07:55","Nuclear","Nuclear",4011,"No"
"D","06/01/2018","03:07:55","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","03:07:55","Refuse","Renewables",398,"No"
"D","06/01/2018","03:07:55","Solar","Renewables",0,"No"
"D","06/01/2018","03:07:55","Wind","Renewables",393,"No"
"D","06/01/2018","03:07:55","Wood","Renewables",355,"No"
"D","06/01/2018","03:17:05","Hydro","Hydro",338,"No"
"D","06/01/2018","03:17:05","Natural Gas","Natural Gas",3194,"No"
"D","06/01/2018","03:17:05","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","03:17:05","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","03:17:05","Refuse","Renewables",400,"No"
"D","06/01/2018","03:17:05","Solar","Renewables",0,"No"
"D","06/01/2018","03:17:05","Wind","Renewables",390,"No"
"D","06/01/2018","03:17:05","Wood","Renewables",354,"Yes"
"D","06/01/2018","03:32:30","Hydro","Hydro",337,"No"
"D","06/01/2018","03:32:30","Natural Gas","Natural Gas",3136,"Yes"
"D","06/01/2018","03:32:30","Nuclear","Nuclear",4011,"No"
"D","06/01/2018","03:32:30","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","03:32:30","Refuse","Renewables",402,"No"
"D","06/01/2018","03:32:30","Solar","Renewables",0,"No"
"D","06/01/2018","03:32:30","Wind","Renewables",382,"No"
"D","06/01/2018","03:32:30","Wood","Renewables",345,"No"
"D","06/01/2018","03:39:47","Hydro","Hydro",337,"No"
"D","06/01/2018","03:39:47","Natural Gas","Natural Gas",3120,"Yes"
"D","06/01/2018","03:39:47","Nuclear","Nuclear",4014,"No"
"D","06/01/2018","03:39:47","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","03:39:47","Refuse","Renewables",400,"No"
"D","06/01/2018","03:39:47","Solar","Renewables",0,"No"
"D","06/01/2018","03:39:47","Wind","Renewables",384,"No"
"D","06/01/2018","03:39:47","Wood","Renewables",337,"No"
"D","06/01/2018","03:53:11","Hydro","Hydro",337,"No"
"D","06/01/2018","03:53:11","Natural Gas","Natural Gas",3256,"Yes"
"D","06/01/2018","03:53:11","Nuclear","Nuclear",4012,"No"
"D","06/01/2018","03:53:11","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","03:53:11","Refuse","Renewables",397,"No"
"D","06/01/2018","03:53:11","Solar","Renewables",0,"No"
"D","06/01/2018","03:53:11","Wind","Renewables",334,"No"
"D","06/01/2018","03:53:11","Wood","Renewables",339,"No"
"D","06/01/2018","04:06:28","Hydro","Hydro",337,"No"
"D","06/01/2018","04:06:28","Natural Gas","Natural Gas",3475,"Yes"
"D","06/01/2018","04:06:28","Nuclear","Nuclear",4010,"No"
"D","06/01/2018","04:06:28","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","04:06:28","Refuse","Renewables",399,"No"
"D","06/01/2018","04:06:28","Solar","Renewables",0,"No"
"D","06/01/2018","04:06:28","Wind","Renewables",307,"No"
"D","06/01/2018","04:06:28","Wood","Renewables",339,"No"
"D","06/01/2018","04:13:24","Hydro","Hydro",337,"No"
"D","06/01/2018","04:13:24","Natural Gas","Natural Gas",3489,"Yes"
"D","06/01/2018","04:13:24","Nuclear","Nuclear",4015,"No"
"D","06/01/2018","04:13:24","Landfill Gas","Renewables",28,"No"
"D","06/01/2018","04:13:24","Refuse","Renewables",397,"No"
"D","06/01/2018","04:13:24","Solar","Renewables",0,"No"
"D","06/01/2018","04:13:24","Wind","Renewables",303,"No"
