"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20200609.csv"
"C","Report for 06/09/2020"
"C","Report generated 06/15/2020 01:54:20 EDT"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","06/09/2020","00:00:22","Hydro","Hydro",363,"No"
"D","06/09/2020","00:00:22","Natural Gas","Natural Gas",4545,"Yes"
"D","06/09/2020","00:00:22","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:00:22","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:00:22","Refuse","Renewables",317,"No"
"D","06/09/2020","00:00:22","Wind","Renewables",376,"No"
"D","06/09/2020","00:00:22","Wood","Renewables",253,"No"
"D","06/09/2020","00:10:45","Hydro","Hydro",364,"No"
"D","06/09/2020","00:10:45","Natural Gas","Natural Gas",4105,"Yes"
"D","06/09/2020","00:10:45","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:10:45","Other","Other",17,"No"
"D","06/09/2020","00:10:45","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:10:45","Refuse","Renewables",318,"No"
"D","06/09/2020","00:10:45","Wind","Renewables",372,"No"
"D","06/09/2020","00:10:45","Wood","Renewables",256,"No"
"D","06/09/2020","00:14:25","Hydro","Hydro",364,"No"
"D","06/09/2020","00:14:25","Natural Gas","Natural Gas",4060,"Yes"
"D","06/09/2020","00:14:25","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:14:25","Other","Other",17,"No"
"D","06/09/2020","00:14:25","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:14:25","Refuse","Renewables",318,"No"
"D","06/09/2020","00:14:25","Wind","Renewables",373,"No"
"D","06/09/2020","00:14:25","Wood","Renewables",255,"No"
"D","06/09/2020","00:16:27","Hydro","Hydro",364,"No"
"D","06/09/2020","00:16:27","Natural Gas","Natural Gas",4060,"Yes"
"D","06/09/2020","00:16:27","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:16:27","Other","Other",17,"No"
"D","06/09/2020","00:16:27","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:16:27","Refuse","Renewables",318,"No"
"D","06/09/2020","00:16:27","Wind","Renewables",373,"No"
"D","06/09/2020","00:16:27","Wood","Renewables",255,"No"
"D","06/09/2020","00:23:08","Hydro","Hydro",364,"No"
"D","06/09/2020","00:23:08","Natural Gas","Natural Gas",4298,"Yes"
"D","06/09/2020","00:23:08","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:23:08","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:23:08","Refuse","Renewables",318,"No"
"D","06/09/2020","00:23:08","Wind","Renewables",389,"No"
"D","06/09/2020","00:23:08","Wood","Renewables",256,"No"
"D","06/09/2020","00:24:34","Hydro","Hydro",364,"No"
"D","06/09/2020","00:24:34","Natural Gas","Natural Gas",4348,"Yes"
"D","06/09/2020","00:24:34","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:24:34","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:24:34","Refuse","Renewables",320,"No"
"D","06/09/2020","00:24:34","Wind","Renewables",388,"No"
"D","06/09/2020","00:24:34","Wood","Renewables",256,"No"
"D","06/09/2020","00:25:44","Hydro","Hydro",362,"No"
"D","06/09/2020","00:25:44","Natural Gas","Natural Gas",4356,"Yes"
"D","06/09/2020","00:25:44","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:25:44","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:25:44","Refuse","Renewables",320,"No"
"D","06/09/2020","00:25:44","Wind","Renewables",387,"No"
"D","06/09/2020","00:25:44","Wood","Renewables",253,"No"
"D","06/09/2020","00:34:01","Hydro","Hydro",359,"No"
"D","06/09/2020","00:34:01","Natural Gas","Natural Gas",4239,"Yes"
"D","06/09/2020","00:34:01","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:34:01","Other","Other",1,"No"
"D","06/09/2020","00:34:01","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:34:01","Refuse","Renewables",317,"No"
"D","06/09/2020","00:34:01","Wind","Renewables",363,"No"
"D","06/09/2020","00:34:01","Wood","Renewables",256,"No"
"D","06/09/2020","00:35:16","Hydro","Hydro",360,"No"
"D","06/09/2020","00:35:16","Natural Gas","Natural Gas",4232,"Yes"
"D","06/09/2020","00:35:16","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:35:16","Other","Other",12,"No"
"D","06/09/2020","00:35:16","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:35:16","Refuse","Renewables",315,"No"
"D","06/09/2020","00:35:16","Wind","Renewables",353,"No"
"D","06/09/2020","00:35:16","Wood","Renewables",256,"No"
"D","06/09/2020","00:41:23","Hydro","Hydro",357,"No"
"D","06/09/2020","00:41:23","Natural Gas","Natural Gas",4258,"Yes"
"D","06/09/2020","00:41:23","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:41:23","Other","Other",15,"No"
"D","06/09/2020","00:41:23","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:41:23","Refuse","Renewables",313,"No"
"D","06/09/2020","00:41:23","Wind","Renewables",316,"No"
"D","06/09/2020","00:41:23","Wood","Renewables",257,"No"
"D","06/09/2020","00:42:29","Hydro","Hydro",355,"No"
"D","06/09/2020","00:42:29","Natural Gas","Natural Gas",4267,"No"
"D","06/09/2020","00:42:29","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:42:29","Other","Other",4,"No"
"D","06/09/2020","00:42:29","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:42:29","Refuse","Renewables",319,"No"
"D","06/09/2020","00:42:29","Wind","Renewables",314,"No"
"D","06/09/2020","00:42:29","Wood","Renewables",257,"No"
"D","06/09/2020","00:42:47","Hydro","Hydro",355,"No"
"D","06/09/2020","00:42:47","Natural Gas","Natural Gas",4267,"Yes"
"D","06/09/2020","00:42:47","Nuclear","Nuclear",2066,"No"
"D","06/09/2020","00:42:47","Other","Other",4,"No"
"D","06/09/2020","00:42:47","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:42:47","Refuse","Renewables",319,"No"
"D","06/09/2020","00:42:47","Wind","Renewables",314,"No"
"D","06/09/2020","00:42:47","Wood","Renewables",257,"No"
"D","06/09/2020","00:46:52","Hydro","Hydro",357,"No"
"D","06/09/2020","00:46:52","Natural Gas","Natural Gas",4278,"Yes"
"D","06/09/2020","00:46:52","Nuclear","Nuclear",2064,"No"
"D","06/09/2020","00:46:52","Other","Other",3,"No"
"D","06/09/2020","00:46:52","Landfill Gas","Renewables",29,"No"
"D","06/09/2020","00:46:52","Refuse","Renewables",318,"No"
"D","06/09/2020","00:46:52","Wind","Renewables",309,"No"
"D","06/09/2020","00:46:52","Wood","Renewables",256,"No"
"D","06/09/2020","00:56:28","Hydro","Hydro",407,"No"
