"C","Dispatch Fuel Mix Report"
"C","Filename: genfuelmix_20201203.csv"
"C","Report for 12/03/2020"
"C","Report generated 12/10/2020 02:30:01 EST"
"H","Date","Time","Fuel Category","Fuel Category Rollup","Gen Mw","Marginal Flag"
"H","Local Date","Local Time","String","String","MWh","String"
"D","12/03/2020","00:05:47","Coal","Coal",2,"No"
"D","12/03/2020","00:05:47","Hydro","Hydro",927,"No"
"D","12/03/2020","00:05:47","Natural Gas","Natural Gas",3002,"Yes"
"D","12/03/2020","00:05:47","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","00:05:47","Other","Other",8,"No"
"D","12/03/2020","00:05:47","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","00:05:47","Refuse","Renewables",325,"No"
"D","12/03/2020","00:05:47","Solar","Renewables",1,"No"
"D","12/03/2020","00:05:47","Wind","Renewables",598,"No"
"D","12/03/2020","00:05:47","Wood","Renewables",255,"No"
"D","12/03/2020","00:08:00","Coal","Coal",4,"No"
"D","12/03/2020","00:08:00","Hydro","Hydro",927,"No"
"D","12/03/2020","00:08:00","Natural Gas","Natural Gas",3012,"Yes"
"D","12/03/2020","00:08:00","Nuclear","Nuclear",3348,"No"
"D","12/03/2020","00:08:00","Other","Other",2,"No"
"D","12/03/2020","00:08:00","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","00:08:00","Refuse","Renewables",324,"No"
"D","12/03/2020","00:08:00","Solar","Renewables",1,"No"
"D","12/03/2020","00:08:00","Wind","Renewables",609,"No"
"D","12/03/2020","00:08:00","Wood","Renewables",255,"No"
"D","12/03/2020","00:20:15","Coal","Coal",6,"No"
"D","12/03/2020","00:20:15","Hydro","Hydro",914,"No"
"D","12/03/2020","00:20:15","Natural Gas","Natural Gas",2951,"Yes"
"D","12/03/2020","00:20:15","Nuclear","Nuclear",3346,"No"
"D","12/03/2020","00:20:15","Other","Other",8,"No"
"D","12/03/2020","00:20:15","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","00:20:15","Refuse","Renewables",328,"No"
"D","12/03/2020","00:20:15","Solar","Renewables",1,"No"
"D","12/03/2020","00:20:15","Wind","Renewables",603,"No"
"D","12/03/2020","00:20:15","Wood","Renewables",257,"No"
"D","12/03/2020","00:38:30","Hydro","Hydro",912,"No"
"D","12/03/2020","00:38:30","Natural Gas","Natural Gas",2954,"Yes"
"D","12/03/2020","00:38:30","Nuclear","Nuclear",3346,"No"
"D","12/03/2020","00:38:30","Other","Other",5,"No"
"D","12/03/2020","00:38:30","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","00:38:30","Refuse","Renewables",318,"No"
"D","12/03/2020","00:38:30","Solar","Renewables",1,"No"
"D","12/03/2020","00:38:30","Wind","Renewables",598,"No"
"D","12/03/2020","00:38:30","Wood","Renewables",256,"No"
"D","12/03/2020","00:49:50","Coal","Coal",11,"No"
"D","12/03/2020","00:49:50","Hydro","Hydro",914,"No"
"D","12/03/2020","00:49:50","Natural Gas","Natural Gas",3163,"Yes"
"D","12/03/2020","00:49:50","Nuclear","Nuclear",3345,"No"
"D","12/03/2020","00:49:50","Other","Other",1,"No"
"D","12/03/2020","00:49:50","Landfill Gas","Renewables",20,"No"
"D","12/03/2020","00:49:50","Refuse","Renewables",314,"No"
"D","12/03/2020","00:49:50","Solar","Renewables",1,"No"
