Date,LMP,Node
1/17/2017 12:00:00 AM,32.1,.Z.CONNECTICUT
1/17/2017 12:00:00 AM,30.98,.Z.MAINE
1/17/2017 12:00:00 AM,32.01,.Z.NEMASSBOST
1/17/2017 12:00:00 AM,31.82,.Z.NEWHAMPSHIRE
1/17/2017 12:00:00 AM,32.23,.Z.RHODEISLAND
1/17/2017 12:00:00 AM,32.05,.Z.SEMASS
1/17/2017 12:00:00 AM,31.89,.Z.VERMONT
1/17/2017 12:00:00 AM,32.3,.Z.WCMASS
1/17/2017 1:00:00 AM,28.29,.Z.CONNECTICUT
1/17/2017 1:00:00 AM,27.18,.Z.MAINE
1/17/2017 1:00:00 AM,28.08,.Z.NEMASSBOST
1/17/2017 1:00:00 AM,27.91,.Z.NEWHAMPSHIRE
1/17/2017 1:00:00 AM,28.28,.Z.RHODEISLAND
1/17/2017 1:00:00 AM,28.1,.Z.SEMASS
1/17/2017 1:00:00 AM,27.79,.Z.VERMONT
1/17/2017 1:00:00 AM,28.36,.Z.WCMASS
1/17/2017 2:00:00 AM,23.82,.Z.CONNECTICUT
1/17/2017 2:00:00 AM,22.88,.Z.MAINE
1/17/2017 2:00:00 AM,23.63,.Z.NEMASSBOST
1/17/2017 2:00:00 AM,23.5,.Z.NEWHAMPSHIRE
1/17/2017 2:00:00 AM,23.8,.Z.RHODEISLAND
1/17/2017 2:00:00 AM,23.65,.Z.SEMASS
1/17/2017 2:00:00 AM,23.59,.Z.VERMONT
1/17/2017 2:00:00 AM,23.87,.Z.WCMASS
1/17/2017 3:00:00 AM,22.73,.Z.CONNECTICUT
1/17/2017 3:00:00 AM,21.78,.Z.MAINE
1/17/2017 3:00:00 AM,22.55,.Z.NEMASSBOST
1/17/2017 3:00:00 AM,22.41,.Z.NEWHAMPSHIRE
1/17/2017 3:00:00 AM,22.71,.Z.RHODEISLAND
1/17/2017 3:00:00 AM,22.56,.Z.SEMASS
1/17/2017 3:00:00 AM,22.36,.Z.VERMONT
1/17/2017 3:00:00 AM,22.78,.Z.WCMASS
1/17/2017 4:00:00 AM,30.41,.Z.CONNECTICUT
1/17/2017 4:00:00 AM,29.32,.Z.MAINE
1/17/2017 4:00:00 AM,30.26,.Z.NEMASSBOST
1/17/2017 4:00:00 AM,30.09,.Z.NEWHAMPSHIRE
1/17/2017 4:00:00 AM,30.46,.Z.RHODEISLAND
1/17/2017 4:00:00 AM,30.28,.Z.SEMASS
1/17/2017 4:00:00 AM,29.96,.Z.VERMONT
1/17/2017 4:00:00 AM,30.54,.Z.WCMASS
1/17/2017 5:00:00 AM,34.96,.Z.CONNECTICUT
1/17/2017 5:00:00 AM,34.57,.Z.MAINE
1/17/2017 5:00:00 AM,35.21,.Z.NEMASSBOST
1/17/2017 5:00:00 AM,35.05,.Z.NEWHAMPSHIRE
1/17/2017 5:00:00 AM,35.32,.Z.RHODEISLAND
1/17/2017 5:00:00 AM,35.19,.Z.SEMASS
1/17/2017 5:00:00 AM,34.52,.Z.VERMONT
1/17/2017 5:00:00 AM,35.33,.Z.WCMASS
1/17/2017 6:00:00 AM,43.47,.Z.CONNECTICUT
1/17/2017 6:00:00 AM,43.64,.Z.MAINE
1/17/2017 6:00:00 AM,43.87,.Z.NEMASSBOST
1/17/2017 6:00:00 AM,43.95,.Z.NEWHAMPSHIRE
1/17/2017 6:00:00 AM,43.9,.Z.RHODEISLAND
