"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20201127.csv"
"C","Report for: 11/27/2020 - 11/27/2020"
"C","Report generated: 11/26/2020 12:36:29 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","11/27/2020","01","321","UN.FRNKLNSQ13.810CC","NETWORK NODE",13.46,13.47,0.0,-0.01
"D","11/27/2020","01","322","UN.FRNKLNSQ13.811CC","NETWORK NODE",13.46,13.47,0.0,-0.01
"D","11/27/2020","01","323","UN.FRNKLNSQ13.89CC","NETWORK NODE",13.46,13.47,0.0,-0.01
"D","11/27/2020","01","324","UN.CDEC    13.8AETN","NETWORK NODE",13.39,13.47,0.0,-0.08
"D","11/27/2020","01","326","UN.ALTRESCO13.8ALTR","NETWORK NODE",13.21,13.47,0.0,-0.26
"D","11/27/2020","01","327","UN.EDDY    34.5AMOS","NETWORK NODE",13.56,13.47,0.0,0.09
"D","11/27/2020","01","328","UN.GULFISLD34.5GULF","NETWORK NODE",13.34,13.47,0.0,-0.13
"D","11/27/2020","01","329","UN.ASCUTNEY46  ASCU","NETWORK NODE",13.61,13.47,0.0,0.14
"D","11/27/2020","01","330","UN.PEMIGWAS34.5AYER","NETWORK NODE",13.69,13.47,0.0,0.22
"D","11/27/2020","01","331","UN.ROXBURY 34.5AZIS","NETWORK NODE",13.34,13.47,0.0,-0.13
"D","11/27/2020","01","335","UN.BELLWSFL6.9 BELL","NETWORK NODE",13.47,13.47,0.0,0.0
"D","11/27/2020","01","336","UN.BERLINVT34.5BERL","NETWORK NODE",13.44,13.47,0.0,-0.03
"D","11/27/2020","01","337","UN.WHITEFLD34.5BETH","NETWORK NODE",13.14,13.47,0.0,-0.33
"D","11/27/2020","01","340","UN.PEQUONCK22.0BHR3","NETWORK NODE",13.19,13.47,0.0,-0.28
"D","11/27/2020","01","341","UN.PEQUONCK13.8BHR4","NETWORK NODE",13.19,13.47,0.0,-0.28
"D","11/27/2020","01","345","UN.9DRAGONS115 BOIS","NETWORK NODE",13.34,13.47,0.0,-0.13
"D","11/27/2020","01","346","UN.MIDDLESX34.5BOLT","NETWORK NODE",13.41,13.47,0.0,-0.06
"D","11/27/2020","01","348","UN.PERRY_ST13.8BOOT","NETWORK NODE",13.52,13.47,0.0,0.05
"D","11/27/2020","01","349","UN.BPT_RESC13.8BPTR","NETWORK NODE",13.19,13.47,0.0,-0.28
"D","11/27/2020","01","355","UN.BRANFORD23  BRAN","NETWORK NODE",13.28,13.47,0.0,-0.19
"D","11/27/2020","01","356","UN.FORESTVL13.8BRF","NETWORK NODE",13.2,13.47,0.0,-0.27
"D","11/27/2020","01","357","UN.ASHLAND 34.5BRID","NETWORK NODE",13.64,13.47,0.0,0.17
"D","11/27/2020","01","358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",13.39,13.47,0.0,-0.08
"D","11/27/2020","01","359","UN.BEARSWMP13.8BSW1","NETWORK NODE",13.2,13.47,0.0,-0.27
"D","11/27/2020","01","360","UN.BEARSWMP13.8BSW2","NETWORK NODE",13.2,13.47,0.0,-0.27
"D","11/27/2020","01","362","UN.BULLSBDG27.6BULL","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","363","UN.QUEENCTY13.8BURL","NETWORK NODE",13.35,13.47,0.0,-0.12
"D","11/27/2020","01","365","UN.CANAL   18.0CAN1","NETWORK NODE",13.61,13.47,0.0,0.14
"D","11/27/2020","01","366","UN.CANAL   18.0CAN2","NETWORK NODE",13.61,13.47,0.0,0.14
"D","11/27/2020","01","367","UN.CAPE    13.2CAP4","NETWORK NODE",13.5,13.47,0.0,0.03
"D","11/27/2020","01","368","UN.CAPE    13.2CAP5","NETWORK NODE",13.5,13.47,0.0,0.03
"D","11/27/2020","01","369","UN.LOUDEN  34.5CATR","NETWORK NODE",13.45,13.47,0.0,-0.02
"D","11/27/2020","01","370","UN.COSCOB  13.8CC10","NETWORK NODE",13.29,13.47,0.0,-0.18
"D","11/27/2020","01","371","UN.COSCOB  13.8CC11","NETWORK NODE",13.29,13.47,0.0,-0.18
"D","11/27/2020","01","372","UN.COSCOB  13.8CC12","NETWORK NODE",13.29,13.47,0.0,-0.18
"D","11/27/2020","01","375","UN.TAUNTON 13.8CL9C","NETWORK NODE",13.59,13.47,0.0,0.12
"D","11/27/2020","01","376","UN.TAUNTON 13.8CLE8","NETWORK NODE",13.59,13.47,0.0,0.12
"D","11/27/2020","01","379","UN.COBBLEMT69  COBB","NETWORK NODE",13.41,13.47,0.0,-0.06
"D","11/27/2020","01","382","UN.MERIMACK13.8CT-1","NETWORK NODE",13.54,13.47,0.0,0.07
"D","11/27/2020","01","383","UN.MERIMACK13.8CT-2","NETWORK NODE",13.54,13.47,0.0,0.07
"D","11/27/2020","01","388","UN.DARTMTH 13.8DART","NETWORK NODE",13.56,13.47,0.0,0.09
"D","11/27/2020","01","389","UN.INDIAN  13.8DERB","NETWORK NODE",13.1,13.47,0.0,-0.37
"D","11/27/2020","01","393","UN.DEERFLD569  DFL5","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","395","UN.DOREEN  23  DORE","NETWORK NODE",13.21,13.47,0.0,-0.26
"D","11/27/2020","01","396","UN.DEVON   13.8DV10","NETWORK NODE",13.18,13.47,0.0,-0.29
"D","11/27/2020","01","397","UN.DEVON   13.2DV11","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","398","UN.DEVON   13.2DV12","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","399","UN.DEVON   13.2DV13","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","400","UN.DEVON   13.2DV14","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","401","UN.WEBSTER 34.5EAST","NETWORK NODE",13.7,13.47,0.0,0.23
"D","11/27/2020","01","405","UN.ELLSWRTH34.5ELLS","NETWORK NODE",13.24,13.47,0.0,-0.23
"D","11/27/2020","01","407","UN.WASHNGTN34.5EPTD","NETWORK NODE",13.24,13.47,0.0,-0.23
"D","11/27/2020","01","410","UN.ESSEX   34.5ESSH","NETWORK NODE",13.23,13.47,0.0,-0.24
"D","11/27/2020","01","412","UN.FALSVL  69  FALS","NETWORK NODE",13.57,13.47,0.0,0.1
"D","11/27/2020","01","413","UN.DEERFLD569  FIFE","NETWORK NODE",13.15,13.47,0.0,-0.32
"D","11/27/2020","01","417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",13.62,13.47,0.0,0.15
"D","11/27/2020","01","418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",13.62,13.47,0.0,0.15
"D","11/27/2020","01","419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",13.62,13.47,0.0,0.15
"D","11/27/2020","01","420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",13.32,13.47,0.0,-0.15
"D","11/27/2020","01","421","UN.CHICOPEE13.8FRST","NETWORK NODE",13.42,13.47,0.0,-0.05
"D","11/27/2020","01","424","UN.POWERSVL115 GNRT","NETWORK NODE",12.88,13.47,0.0,-0.59
"D","11/27/2020","01","426","UN.ESSEX   34.5GORD","NETWORK NODE",13.23,13.47,0.0,-0.24
"D","11/27/2020","01","427","UN.BERLN_NH34.5GORH","NETWORK NODE",13.14,13.47,0.0,-0.33
"D","11/27/2020","01","432","UN.HARRIS  13.2HAR1","NETWORK NODE",13.13,13.47,0.0,-0.34
"D","11/27/2020","01","433","UN.HARRIS  13.2HAR2","NETWORK NODE",13.13,13.47,0.0,-0.34
"D","11/27/2020","01","434","UN.HARRIS  13.2HAR3","NETWORK NODE",13.13,13.47,0.0,-0.34
"D","11/27/2020","01","435","UN.HARRIMAN6.9 HARR","NETWORK NODE",13.22,13.47,0.0,-0.25
"D","11/27/2020","01","436","UN.NORTH_RD34.5HEMP","NETWORK NODE",13.69,13.47,0.0,0.22
"D","11/27/2020","01","440","UN.W_BUXTON34.5HIRM","NETWORK NODE",13.46,13.47,0.0,-0.01
"D","11/27/2020","01","445","UN.ENFLD_ME115 IND5","NETWORK NODE",12.95,13.47,0.0,-0.52
"D","11/27/2020","01","446","UN.WASHNGTN34.5IND6","NETWORK NODE",13.24,13.47,0.0,-0.23
"D","11/27/2020","01","449","UN.JACKMAN 34.5JACK","NETWORK NODE",13.57,13.47,0.0,0.1
"D","11/27/2020","01","452","UN.KENDALL 13.8KDJ1","NETWORK NODE",13.58,13.47,0.0,0.11
"D","11/27/2020","01","457","UN.S_BROADW23  LAWH","NETWORK NODE",13.52,13.47,0.0,0.05
"D","11/27/2020","01","460","UN.WINSLOW 34.5LCKW","NETWORK NODE",13.24,13.47,0.0,-0.23
