"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20211026.csv"
"C","Report for: 10/26/2021 - 10/26/2021"
"C","Report generated: 10/25/2021 13:00:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","10/26/2021","01","321","UN.FRNKLNSQ13.810CC","NETWORK NODE",49.86,51.46,0.02,-1.62
"D","10/26/2021","01","322","UN.FRNKLNSQ13.811CC","NETWORK NODE",49.86,51.46,0.02,-1.62
"D","10/26/2021","01","323","UN.FRNKLNSQ13.89CC","NETWORK NODE",49.86,51.46,0.02,-1.62
"D","10/26/2021","01","326","UN.ALTRESCO13.8ALTR","NETWORK NODE",51.39,51.46,0.02,-0.09
"D","10/26/2021","01","327","UN.EDDY    34.5AMOS","NETWORK NODE",52.91,51.46,0.02,1.43
"D","10/26/2021","01","328","UN.GULFISLD34.5GULF","NETWORK NODE",52.12,51.46,0.02,0.64
"D","10/26/2021","01","329","UN.ASCUTNEY46  ASCU","NETWORK NODE",52.43,51.46,0.02,0.95
"D","10/26/2021","01","330","UN.PEMIGWAS34.5AYER","NETWORK NODE",51.71,51.46,0.02,0.23
"D","10/26/2021","01","331","UN.ROXBURY 34.5AZIS","NETWORK NODE",51.99,51.46,0.02,0.51
"D","10/26/2021","01","335","UN.BELLWSFL6.9 BELL","NETWORK NODE",52.19,51.46,0.02,0.71
"D","10/26/2021","01","336","UN.BERLINVT34.5BERL","NETWORK NODE",52.49,51.46,0.02,1.01
"D","10/26/2021","01","337","UN.WHITEFLD34.5BETH","NETWORK NODE",50.71,51.46,0.02,-0.77
"D","10/26/2021","01","341","UN.PEQUONCK13.8BHR4","NETWORK NODE",49.77,51.46,0.02,-1.71
"D","10/26/2021","01","345","UN.9DRAGONS115 BOIS","NETWORK NODE",51.99,51.46,0.02,0.51
"D","10/26/2021","01","346","UN.MIDDLESX34.5BOLT","NETWORK NODE",52.51,51.46,0.02,1.03
"D","10/26/2021","01","348","UN.PERRY_ST13.8BOOT","NETWORK NODE",52.32,51.46,0.02,0.84
"D","10/26/2021","01","349","UN.BPT_RESC13.8BPTR","NETWORK NODE",49.78,51.46,0.02,-1.7
"D","10/26/2021","01","355","UN.BRANFORD23  BRAN","NETWORK NODE",50.46,51.46,0.02,-1.02
"D","10/26/2021","01","356","UN.FORESTVL13.8BRF","NETWORK NODE",50.08,51.46,0.02,-1.4
"D","10/26/2021","01","357","UN.ASHLAND 34.5BRID","NETWORK NODE",51.71,51.46,0.02,0.23
"D","10/26/2021","01","358","UN.TOPSHAM 34.5BRUN","NETWORK NODE",52.35,51.46,0.02,0.87
"D","10/26/2021","01","359","UN.BEARSWMP13.8BSW1","NETWORK NODE",50.35,51.46,0.02,-1.13
"D","10/26/2021","01","360","UN.BEARSWMP13.8BSW2","NETWORK NODE",50.38,51.46,0.02,-1.1
"D","10/26/2021","01","362","UN.BULLSBDG27.6BULL","NETWORK NODE",49.72,51.46,0.02,-1.76
"D","10/26/2021","01","363","UN.QUEENCTY13.8BURL","NETWORK NODE",52.1,51.46,0.02,0.62
"D","10/26/2021","01","365","UN.CANAL   18.0CAN1","NETWORK NODE",51.89,51.46,0.02,0.41
"D","10/26/2021","01","366","UN.CANAL   18.0CAN2","NETWORK NODE",51.89,51.46,0.02,0.41
"D","10/26/2021","01","367","UN.CAPE    13.2CAP4","NETWORK NODE",52.47,51.46,0.02,0.99
"D","10/26/2021","01","368","UN.CAPE    13.2CAP5","NETWORK NODE",52.47,51.46,0.02,0.99
"D","10/26/2021","01","369","UN.LOUDEN  34.5CATR","NETWORK NODE",52.38,51.46,0.02,0.9
"D","10/26/2021","01","370","UN.COSCOB  13.8CC10","NETWORK NODE",50.17,51.46,0.02,-1.31
"D","10/26/2021","01","371","UN.COSCOB  13.8CC11","NETWORK NODE",50.17,51.46,0.02,-1.31
"D","10/26/2021","01","372","UN.COSCOB  13.8CC12","NETWORK NODE",50.17,51.46,0.02,-1.31
"D","10/26/2021","01","375","UN.TAUNTON 13.8CL9C","NETWORK NODE",51.53,51.46,0.02,0.05
"D","10/26/2021","01","379","UN.COBBLEMT69  COBB","NETWORK NODE",51.06,51.46,0.02,-0.42
"D","10/26/2021","01","382","UN.MERIMACK13.8CT-1","NETWORK NODE",52.7,51.46,0.02,1.22
"D","10/26/2021","01","383","UN.MERIMACK13.8CT-2","NETWORK NODE",52.7,51.46,0.02,1.22
"D","10/26/2021","01","388","UN.DARTMTH 13.8DART","NETWORK NODE",51.19,51.46,0.02,-0.29
"D","10/26/2021","01","389","UN.INDIAN  13.8DERB","NETWORK NODE",49.26,51.46,0.02,-2.22
"D","10/26/2021","01","393","UN.DEERFLD569  DFL5","NETWORK NODE",49.72,51.46,0.02,-1.76
"D","10/26/2021","01","395","UN.DOREEN  23  DORE","NETWORK NODE",51.39,51.46,0.02,-0.09
"D","10/26/2021","01","396","UN.DEVON   13.8DV10","NETWORK NODE",49.67,51.46,0.02,-1.81
"D","10/26/2021","01","397","UN.DEVON   13.2DV11","NETWORK NODE",49.48,51.46,0.02,-2.0
"D","10/26/2021","01","398","UN.DEVON   13.2DV12","NETWORK NODE",49.48,51.46,0.02,-2.0
"D","10/26/2021","01","399","UN.DEVON   13.2DV13","NETWORK NODE",49.48,51.46,0.02,-2.0
"D","10/26/2021","01","400","UN.DEVON   13.2DV14","NETWORK NODE",49.48,51.46,0.02,-2.0
"D","10/26/2021","01","401","UN.WEBSTER 34.5EAST","NETWORK NODE",53.07,51.46,0.02,1.59
"D","10/26/2021","01","405","UN.ELLSWRTH34.5ELLS","NETWORK NODE",50.95,51.46,0.02,-0.53
"D","10/26/2021","01","407","UN.WASHNGTN34.5EPTD","NETWORK NODE",49.79,51.46,0.02,-1.69
"D","10/26/2021","01","410","UN.ESSEX   34.5ESSH","NETWORK NODE",52.19,51.46,0.02,0.71
"D","10/26/2021","01","412","UN.FALSVL  69  FALS","NETWORK NODE",50.86,51.46,0.02,-0.62
"D","10/26/2021","01","413","UN.DEERFLD569  FIFE","NETWORK NODE",49.72,51.46,0.02,-1.76
"D","10/26/2021","01","417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",51.86,51.46,0.02,0.38
"D","10/26/2021","01","418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",51.86,51.46,0.02,0.38
"D","10/26/2021","01","419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",51.86,51.46,0.02,0.38
"D","10/26/2021","01","420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",50.27,51.46,0.02,-1.21
"D","10/26/2021","01","421","UN.CHICOPEE13.8FRST","NETWORK NODE",51.02,51.46,0.02,-0.46
"D","10/26/2021","01","424","UN.POWERSVL115 GNRT","NETWORK NODE",38.61,51.46,-10.88,-1.97
"D","10/26/2021","01","426","UN.ESSEX   34.5GORD","NETWORK NODE",52.19,51.46,0.02,0.71
"D","10/26/2021","01","427","UN.BERLN_NH34.5GORH","NETWORK NODE",50.71,51.46,0.02,-0.77
