C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210103_20210103.csv
C,Time period: 2021-01-03 to 2021-01-03
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-01-16 16:58:16 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-01-03,01,2304.8,2303.18
D,2021-01-03,02,2233.8,2231.71
D,2021-01-03,03,2226.0,2200.2
D,2021-01-03,04,2190.4,2190.83
D,2021-01-03,05,2233.2,2203.69
D,2021-01-03,06,2316.1,2244.49
D,2021-01-03,07,2361.1,2324.08
D,2021-01-03,08,2463.2,2400.78
D,2021-01-03,09,2572.8,2500.62
D,2021-01-03,10,2608.3,2607.88
D,2021-01-03,11,2633.9,2697.07
D,2021-01-03,12,2695.6,2766.79
D,2021-01-03,13,2718.6,2809.48
D,2021-01-03,14,2751.5,2812.67
D,2021-01-03,15,2744.0,2842.92
D,2021-01-03,16,2813.7,2886.36
D,2021-01-03,17,2939.2,3026.37
D,2021-01-03,18,3086.2,3112.19
D,2021-01-03,19,3057.4,3073.58
D,2021-01-03,20,3006.3,2985.8
D,2021-01-03,21,2897.2,2888.16
D,2021-01-03,22,2727.9,2750.84
D,2021-01-03,23,2559.6,2576.3
D,2021-01-03,24,2391.0,2413.35
T,24 lines
