C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4008_20210206_20210206.csv
C,Time period: 2021-02-06 to 2021-02-06
C,Location/Node: .Z.NEMASSBOST
C,Report generated 2021-02-10 01:44:20 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2021-02-06,01,2316.7,2360.93
D,2021-02-06,02,2246.9,2290.43
D,2021-02-06,03,2242.4,2257.69
D,2021-02-06,04,2227.5,2249.81
D,2021-02-06,05,2217.0,2276.56
D,2021-02-06,06,2327.9,2346.65
D,2021-02-06,07,2432.9,2474.19
D,2021-02-06,08,2540.5,2573.39
D,2021-02-06,09,2634.2,2633.79
D,2021-02-06,10,2642.6,2657.49
D,2021-02-06,11,2645.2,2661.96
D,2021-02-06,12,2631.7,2668.59
D,2021-02-06,13,2618.8,2651.95
D,2021-02-06,14,2567.1,2643.0
D,2021-02-06,15,2576.5,2609.06
D,2021-02-06,16,2638.8,2634.81
D,2021-02-06,17,2755.5,2739.16
D,2021-02-06,18,2936.5,2921.46
D,2021-02-06,19,2982.4,2964.09
D,2021-02-06,20,2902.8,2911.93
D,2021-02-06,21,2829.6,2830.77
D,2021-02-06,22,2763.2,2736.02
D,2021-02-06,23,2653.9,2612.65
D,2021-02-06,24,2469.5,2486.19
T,24 lines
