"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20170615_20170629.csv"
"C","Report for: 06/15/2017 - 06/29/2017"
"C","Report generated: 04/13/2020 22:52:48 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/15/2017","01",11463.19
"D","06/15/2017","02",11428.19
"D","06/15/2017","03",11473.2
"D","06/15/2017","04",11285.06
"D","06/15/2017","05",11390.57
"D","06/15/2017","06",11967.24
"D","06/15/2017","07",12674.09
"D","06/15/2017","08",13448.02
"D","06/15/2017","09",13830.86
"D","06/15/2017","10",14043.67
"D","06/15/2017","11",14258.12
"D","06/15/2017","12",14472.73
"D","06/15/2017","13",14597.96
"D","06/15/2017","14",14871.05
"D","06/15/2017","15",15047.93
"D","06/15/2017","16",15334.44
"D","06/15/2017","17",15608.72
"D","06/15/2017","18",15743.1
"D","06/15/2017","19",15544.2
"D","06/15/2017","20",15219.89
"D","06/15/2017","21",15121.74
"D","06/15/2017","22",14553.26
"D","06/15/2017","23",13211.71
"D","06/15/2017","24",11879.29
"D","06/16/2017","01",11252.07
"D","06/16/2017","02",11004.62
"D","06/16/2017","03",10977.07
"D","06/16/2017","04",10907.84
"D","06/16/2017","05",11065.57
"D","06/16/2017","06",11347.16
"D","06/16/2017","07",12501.47
"D","06/16/2017","08",13511.75
"D","06/16/2017","09",14109.46
"D","06/16/2017","10",14389.29
"D","06/16/2017","11",14632.63
"D","06/16/2017","12",14882.53
"D","06/16/2017","13",14987.08
"D","06/16/2017","14",15148.44
"D","06/16/2017","15",15112.8
"D","06/16/2017","16",14950.84
"D","06/16/2017","17",14830.38
"D","06/16/2017","18",14714.46
"D","06/16/2017","19",14497.04
"D","06/16/2017","20",14264.76
"D","06/16/2017","21",14125.92
"D","06/16/2017","22",13604.88
"D","06/16/2017","23",12753.93
"D","06/16/2017","24",11804.6
"D","06/17/2017","01",11227.1
"D","06/17/2017","02",10699.74
"D","06/17/2017","03",10665.06
"D","06/17/2017","04",10579.16
"D","06/17/2017","05",10806.74
"D","06/17/2017","06",11067.35
"D","06/17/2017","07",11558.53
"D","06/17/2017","08",11850.17
"D","06/17/2017","09",12407.59
"D","06/17/2017","10",13099.54
"D","06/17/2017","11",13434.82
"D","06/17/2017","12",13546.71
"D","06/17/2017","13",13494.94
"D","06/17/2017","14",13468.02
"D","06/17/2017","15",13573.77
"D","06/17/2017","16",13670.89
"D","06/17/2017","17",13809.14
"D","06/17/2017","18",14056.97
"D","06/17/2017","19",14166.84
"D","06/17/2017","20",14186.35
"D","06/17/2017","21",14303.04
"D","06/17/2017","22",14119.44
"D","06/17/2017","23",13292.81
"D","06/17/2017","24",12279.3
"D","06/18/2017","01",11495.37
"D","06/18/2017","02",11160.15
"D","06/18/2017","03",11066.2
"D","06/18/2017","04",11081.21
"D","06/18/2017","05",11134.94
"D","06/18/2017","06",11308.42
"D","06/18/2017","07",11613.14
"D","06/18/2017","08",12096.66
"D","06/18/2017","09",12905.06
"D","06/18/2017","10",13511.15
"D","06/18/2017","11",14198.15
"D","06/18/2017","12",14906.6
"D","06/18/2017","13",15466.77
"D","06/18/2017","14",15965.3
"D","06/18/2017","15",16358.51
"D","06/18/2017","16",16729.56
"D","06/18/2017","17",17230.91
"D","06/18/2017","18",17620.93
"D","06/18/2017","19",17694.58
"D","06/18/2017","20",17509.69
"D","06/18/2017","21",17486.13
"D","06/18/2017","22",17077.9
"D","06/18/2017","23",15676.99
"D","06/18/2017","24",14205.11
"D","06/19/2017","01",13402.13
"D","06/19/2017","02",13127.2
"D","06/19/2017","03",12827.39
"D","06/19/2017","04",12951.13
"D","06/19/2017","05",13246.81
"D","06/19/2017","06",13589.86
"D","06/19/2017","07",14874.14
"D","06/19/2017","08",16388.84
"D","06/19/2017","09",17234.44
"D","06/19/2017","10",17940.23
"D","06/19/2017","11",18606.88
"D","06/19/2017","12",19074.92
"D","06/19/2017","13",19458.26
"D","06/19/2017","14",19936.89
"D","06/19/2017","15",20364.95
"D","06/19/2017","16",20598.48
"D","06/19/2017","17",20516.34
"D","06/19/2017","18",20423.93
"D","06/19/2017","19",19895.12
"D","06/19/2017","20",19231.1
"D","06/19/2017","21",18721.34
"D","06/19/2017","22",17684.3
"D","06/19/2017","23",16021.46
"D","06/19/2017","24",14403.76
"D","06/20/2017","01",13633.18
"D","06/20/2017","02",13425.8
"D","06/20/2017","03",13272.31
"D","06/20/2017","04",13301.04
"D","06/20/2017","05",13387.16
"D","06/20/2017","06",13784.25
"D","06/20/2017","07",14705.7
"D","06/20/2017","08",15748.12
"D","06/20/2017","09",16436.49
"D","06/20/2017","10",16961.51
"D","06/20/2017","11",17576.3
"D","06/20/2017","12",18038.13
"D","06/20/2017","13",18255.13
"D","06/20/2017","14",18554.16
"D","06/20/2017","15",18724.9
"D","06/20/2017","16",19009.34
"D","06/20/2017","17",19297.15
"D","06/20/2017","18",19411.12
"D","06/20/2017","19",19081.58
"D","06/20/2017","20",18458.34
"D","06/20/2017","21",17897.47
"D","06/20/2017","22",17187.26
"D","06/20/2017","23",15493.3
"D","06/20/2017","24",13763.74
"D","06/21/2017","01",12822.7
"D","06/21/2017","02",12536.58
"D","06/21/2017","03",12310.31
"D","06/21/2017","04",12350.67
"D","06/21/2017","05",12229.87
"D","06/21/2017","06",12582.03
"D","06/21/2017","07",13450.74
"D","06/21/2017","08",14531.09
"D","06/21/2017","09",15334.71
"D","06/21/2017","10",15876.39
"D","06/21/2017","11",16336.38
"D","06/21/2017","12",16684.05
"D","06/21/2017","13",16986.49
"D","06/21/2017","14",17334.1
"D","06/21/2017","15",17648.7
"D","06/21/2017","16",17965.35
"D","06/21/2017","17",18292.74
"D","06/21/2017","18",18424.34
"D","06/21/2017","19",18170.22
"D","06/21/2017","20",17672.71
"D","06/21/2017","21",17193.79
"D","06/21/2017","22",16616.16
"D","06/21/2017","23",15055.7
"D","06/21/2017","24",13635.96
"D","06/22/2017","01",12652.38
"D","06/22/2017","02",11929.76
"D","06/22/2017","03",11837.84
"D","06/22/2017","04",11745.16
"D","06/22/2017","05",11820.1
"D","06/22/2017","06",12335.26
"D","06/22/2017","07",13196.77
"D","06/22/2017","08",14031.67
"D","06/22/2017","09",14651.49
"D","06/22/2017","10",15103.14
"D","06/22/2017","11",15572.34
"D","06/22/2017","12",16017.85
"D","06/22/2017","13",16401.36
"D","06/22/2017","14",16980.08
"D","06/22/2017","15",17367.38
"D","06/22/2017","16",17847.72
"D","06/22/2017","17",18322.95
"D","06/22/2017","18",18554.82
"D","06/22/2017","19",18218.32
"D","06/22/2017","20",17838.36
"D","06/22/2017","21",17631.5
"D","06/22/2017","22",17091.97
"D","06/22/2017","23",15631.11
"D","06/22/2017","24",14087.78
"D","06/23/2017","01",13031.16
"D","06/23/2017","02",12924.42
"D","06/23/2017","03",12763.79
"D","06/23/2017","04",12647.6
"D","06/23/2017","05",12525.02
"D","06/23/2017","06",12923.98
"D","06/23/2017","07",13890.0
"D","06/23/2017","08",15307.76
"D","06/23/2017","09",16351.67
"D","06/23/2017","10",17052.63
"D","06/23/2017","11",17722.06
"D","06/23/2017","12",18457.88
"D","06/23/2017","13",19315.22
"D","06/23/2017","14",20088.79
"D","06/23/2017","15",20205.87
"D","06/23/2017","16",20329.81
"D","06/23/2017","17",20387.29
"D","06/23/2017","18",20302.47
"D","06/23/2017","19",19770.46
"D","06/23/2017","20",19100.1
"D","06/23/2017","21",18721.84
"D","06/23/2017","22",18154.06
"D","06/23/2017","23",16880.71
"D","06/23/2017","24",15433.35
"D","06/24/2017","01",14308.3
"D","06/24/2017","02",13567.56
"D","06/24/2017","03",13324.82
"D","06/24/2017","04",13552.78
"D","06/24/2017","05",13531.83
"D","06/24/2017","06",13660.96
"D","06/24/2017","07",14119.18
"D","06/24/2017","08",14651.14
"D","06/24/2017","09",15588.09
"D","06/24/2017","10",16347.32
"D","06/24/2017","11",16789.65
"D","06/24/2017","12",16882.58
"D","06/24/2017","13",16914.5
"D","06/24/2017","14",17057.76
"D","06/24/2017","15",17377.72
"D","06/24/2017","16",17748.39
"D","06/24/2017","17",18083.09
"D","06/24/2017","18",18215.33
"D","06/24/2017","19",18201.05
"D","06/24/2017","20",17671.91
"D","06/24/2017","21",16975.91
"D","06/24/2017","22",16409.43
"D","06/24/2017","23",15161.42
"D","06/24/2017","24",13796.48
"D","06/25/2017","01",12769.36
"D","06/25/2017","02",12458.01
"D","06/25/2017","03",12457.11
"D","06/25/2017","04",12097.4
"D","06/25/2017","05",11872.4
"D","06/25/2017","06",11900.24
"D","06/25/2017","07",12164.78
"D","06/25/2017","08",12275.67
"D","06/25/2017","09",12682.98
"D","06/25/2017","10",13373.08
"D","06/25/2017","11",13982.38
"D","06/25/2017","12",14498.64
"D","06/25/2017","13",15010.08
"D","06/25/2017","14",15476.09
"D","06/25/2017","15",15919.84
"D","06/25/2017","16",16084.83
"D","06/25/2017","17",16028.7
"D","06/25/2017","18",16304.39
"D","06/25/2017","19",16405.17
"D","06/25/2017","20",16148.19
"D","06/25/2017","21",15873.2
"D","06/25/2017","22",15438.92
"D","06/25/2017","23",14104.62
"D","06/25/2017","24",12753.04
"D","06/26/2017","01",11773.76
"D","06/26/2017","02",11368.92
"D","06/26/2017","03",11194.36
"D","06/26/2017","04",11103.72
"D","06/26/2017","05",11202.14
"D","06/26/2017","06",11585.44
"D","06/26/2017","07",12717.63
"D","06/26/2017","08",13699.29
"D","06/26/2017","09",14339.97
"D","06/26/2017","10",14712.59
"D","06/26/2017","11",15160.25
"D","06/26/2017","12",15555.93
"D","06/26/2017","13",15848.14
"D","06/26/2017","14",16154.41
"D","06/26/2017","15",16319.6
"D","06/26/2017","16",16541.55
"D","06/26/2017","17",16858.9
"D","06/26/2017","18",17098.63
"D","06/26/2017","19",16932.92
"D","06/26/2017","20",16517.18
"D","06/26/2017","21",16162.97
"D","06/26/2017","22",15558.44
"D","06/26/2017","23",14141.03
"D","06/26/2017","24",12623.32
"D","06/27/2017","01",11579.16
"D","06/27/2017","02",11241.34
"D","06/27/2017","03",11330.56
"D","06/27/2017","04",11163.75
"D","06/27/2017","05",11085.46
"D","06/27/2017","06",11373.35
"D","06/27/2017","07",12344.31
"D","06/27/2017","08",13553.33
"D","06/27/2017","09",14265.78
"D","06/27/2017","10",14828.12
"D","06/27/2017","11",15159.56
"D","06/27/2017","12",15192.2
"D","06/27/2017","13",15239.7
"D","06/27/2017","14",15579.07
"D","06/27/2017","15",15716.66
"D","06/27/2017","16",15662.56
"D","06/27/2017","17",15708.74
"D","06/27/2017","18",15907.63
"D","06/27/2017","19",15780.05
"D","06/27/2017","20",15358.73
"D","06/27/2017","21",15086.7
"D","06/27/2017","22",14470.83
"D","06/27/2017","23",13624.41
"D","06/27/2017","24",12234.36
"D","06/28/2017","01",11456.38
"D","06/28/2017","02",10927.53
"D","06/28/2017","03",11000.84
"D","06/28/2017","04",10981.08
"D","06/28/2017","05",11272.41
