"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200608.csv"
"C","Report for: 06/08/2020 - 06/08/2020"
"C","Report generated: 06/15/2020 01:22:59 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/08/2020","01",9917.28
"D","06/08/2020","02",9744.69
"D","06/08/2020","03",9742.05
"D","06/08/2020","04",9626.69
"D","06/08/2020","05",9774.47
"D","06/08/2020","06",9960.06
"D","06/08/2020","07",10582.55
"D","06/08/2020","08",11007.54
"D","06/08/2020","09",11269.74
"D","06/08/2020","10",11247.78
"D","06/08/2020","11",11279.03
"D","06/08/2020","12",11646.75
"D","06/08/2020","13",11951.05
"D","06/08/2020","14",12205.78
"D","06/08/2020","15",12437.37
"D","06/08/2020","16",12832.98
"D","06/08/2020","17",13369.93
"D","06/08/2020","18",14299.62
"D","06/08/2020","19",14748.89
"D","06/08/2020","20",14539.86
"D","06/08/2020","21",14144.7
"D","06/08/2020","22",13549.61
"D","06/08/2020","23",12404.2
"D","06/08/2020","24",11398.64
"T","24 lines"
