"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20201022.csv"
"C","Report for: 10/22/2020 - 10/22/2020"
"C","Report generated: 10/28/2020 02:29:44 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/22/2020","01",10368.35
"D","10/22/2020","02",10137.76
"D","10/22/2020","03",10246.97
"D","10/22/2020","04",10189.74
"D","10/22/2020","05",10373.66
"D","10/22/2020","06",10683.08
"D","10/22/2020","07",11556.03
"D","10/22/2020","08",12610.25
"D","10/22/2020","09",12820.84
"D","10/22/2020","10",12514.03
"D","10/22/2020","11",12232.7
"D","10/22/2020","12",12122.49
"D","10/22/2020","13",12137.64
"D","10/22/2020","14",12347.31
"D","10/22/2020","15",12672.84
"D","10/22/2020","16",13028.87
"D","10/22/2020","17",13553.68
"D","10/22/2020","18",14173.89
"D","10/22/2020","19",14585.19
"D","10/22/2020","20",14229.78
"D","10/22/2020","21",13600.8
"D","10/22/2020","22",12620.55
"D","10/22/2020","23",11638.12
"D","10/22/2020","24",10819.38
"T","24 lines"
