"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20210219.csv"
"C","Report for: 02/19/2021 - 02/19/2021"
"C","Report generated: 03/01/2021 21:04:23 EST"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","02/19/2021","01",12689.53
"D","02/19/2021","02",12329.91
"D","02/19/2021","03",12171.41
"D","02/19/2021","04",12183.68
"D","02/19/2021","05",12492.21
"D","02/19/2021","06",13226.38
"D","02/19/2021","07",14373.15
"D","02/19/2021","08",15346.66
"D","02/19/2021","09",16090.17
"D","02/19/2021","10",16406.2
"D","02/19/2021","11",16619.41
"D","02/19/2021","12",16692.79
"D","02/19/2021","13",16642.91
"D","02/19/2021","14",16528.15
"D","02/19/2021","15",16310.51
"D","02/19/2021","16",16186.32
"D","02/19/2021","17",16354.63
"D","02/19/2021","18",16990.58
"D","02/19/2021","19",17067.99
"D","02/19/2021","20",16470.54
"D","02/19/2021","21",15733.82
"D","02/19/2021","22",14919.58
"D","02/19/2021","23",13970.54
"D","02/19/2021","24",13126.72
"T","24 lines"
