Time Stamp,Time Zone,Fuel Category,Gen MWh
07/19/2017 00:05:00,EDT,Dual Fuel,4503.0
07/19/2017 00:05:00,EDT,Natural Gas,4219.0
07/19/2017 00:05:00,EDT,Nuclear,5270.0
07/19/2017 00:05:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:05:00,EDT,Other Renewables,288.0
07/19/2017 00:05:00,EDT,Wind,147.0
07/19/2017 00:05:00,EDT,Hydro,2862.0
07/19/2017 00:10:00,EDT,Dual Fuel,4378.0
07/19/2017 00:10:00,EDT,Natural Gas,4148.0
07/19/2017 00:10:00,EDT,Nuclear,5267.0
07/19/2017 00:10:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:10:00,EDT,Other Renewables,282.0
07/19/2017 00:10:00,EDT,Wind,144.0
07/19/2017 00:10:00,EDT,Hydro,2869.0
07/19/2017 00:15:00,EDT,Dual Fuel,4278.0
07/19/2017 00:15:00,EDT,Natural Gas,4082.0
07/19/2017 00:15:00,EDT,Nuclear,5271.0
07/19/2017 00:15:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:15:00,EDT,Other Renewables,285.0
07/19/2017 00:15:00,EDT,Wind,144.0
07/19/2017 00:15:00,EDT,Hydro,2891.0
07/19/2017 00:20:00,EDT,Dual Fuel,4216.0
07/19/2017 00:20:00,EDT,Natural Gas,3987.0
07/19/2017 00:20:00,EDT,Nuclear,5267.0
07/19/2017 00:20:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:20:00,EDT,Other Renewables,284.0
07/19/2017 00:20:00,EDT,Wind,142.0
07/19/2017 00:20:00,EDT,Hydro,2892.0
07/19/2017 00:25:00,EDT,Dual Fuel,4164.0
07/19/2017 00:25:00,EDT,Natural Gas,3910.0
07/19/2017 00:25:00,EDT,Nuclear,5270.0
07/19/2017 00:25:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:25:00,EDT,Other Renewables,286.0
07/19/2017 00:25:00,EDT,Wind,145.0
07/19/2017 00:25:00,EDT,Hydro,2893.0
07/19/2017 00:30:00,EDT,Dual Fuel,4166.0
07/19/2017 00:30:00,EDT,Natural Gas,3817.0
07/19/2017 00:30:00,EDT,Nuclear,5270.0
07/19/2017 00:30:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:30:00,EDT,Other Renewables,285.0
07/19/2017 00:30:00,EDT,Wind,150.0
07/19/2017 00:30:00,EDT,Hydro,2879.0
07/19/2017 00:35:00,EDT,Dual Fuel,4159.0
07/19/2017 00:35:00,EDT,Natural Gas,3770.0
07/19/2017 00:35:00,EDT,Nuclear,5269.0
07/19/2017 00:35:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:35:00,EDT,Other Renewables,281.0
07/19/2017 00:35:00,EDT,Wind,152.0
07/19/2017 00:35:00,EDT,Hydro,2872.0
07/19/2017 00:40:00,EDT,Dual Fuel,4151.0
07/19/2017 00:40:00,EDT,Natural Gas,3695.0
07/19/2017 00:40:00,EDT,Nuclear,5273.0
07/19/2017 00:40:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:40:00,EDT,Other Renewables,279.0
07/19/2017 00:40:00,EDT,Wind,155.0
07/19/2017 00:40:00,EDT,Hydro,2865.0
07/19/2017 00:45:00,EDT,Dual Fuel,4138.0
07/19/2017 00:45:00,EDT,Natural Gas,3600.0
07/19/2017 00:45:00,EDT,Nuclear,5270.0
07/19/2017 00:45:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:45:00,EDT,Other Renewables,279.0
07/19/2017 00:45:00,EDT,Wind,160.0
07/19/2017 00:45:00,EDT,Hydro,2807.0
07/19/2017 00:50:00,EDT,Dual Fuel,4065.0
07/19/2017 00:50:00,EDT,Natural Gas,3537.0
07/19/2017 00:50:00,EDT,Nuclear,5272.0
07/19/2017 00:50:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:50:00,EDT,Other Renewables,279.0
07/19/2017 00:50:00,EDT,Wind,161.0
07/19/2017 00:50:00,EDT,Hydro,2800.0
07/19/2017 00:55:00,EDT,Dual Fuel,3950.0
07/19/2017 00:55:00,EDT,Natural Gas,3507.0
07/19/2017 00:55:00,EDT,Nuclear,5273.0
07/19/2017 00:55:00,EDT,Other Fossil Fuels,0.0
07/19/2017 00:55:00,EDT,Other Renewables,279.0
07/19/2017 00:55:00,EDT,Wind,158.0
07/19/2017 00:55:00,EDT,Hydro,2797.0
07/19/2017 01:00:00,EDT,Dual Fuel,3874.0
07/19/2017 01:00:00,EDT,Natural Gas,3453.0
07/19/2017 01:00:00,EDT,Nuclear,5274.0
07/19/2017 01:00:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:00:00,EDT,Other Renewables,284.0
07/19/2017 01:00:00,EDT,Wind,163.0
07/19/2017 01:00:00,EDT,Hydro,2821.0
07/19/2017 01:05:00,EDT,Dual Fuel,3615.0
07/19/2017 01:05:00,EDT,Natural Gas,3349.0
07/19/2017 01:05:00,EDT,Nuclear,5270.0
07/19/2017 01:05:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:05:00,EDT,Other Renewables,284.0
07/19/2017 01:05:00,EDT,Wind,170.0
07/19/2017 01:05:00,EDT,Hydro,2908.0
07/19/2017 01:10:00,EDT,Dual Fuel,3497.0
07/19/2017 01:10:00,EDT,Natural Gas,3308.0
07/19/2017 01:10:00,EDT,Nuclear,5272.0
07/19/2017 01:10:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:10:00,EDT,Other Renewables,282.0
07/19/2017 01:10:00,EDT,Wind,172.0
07/19/2017 01:10:00,EDT,Hydro,2867.0
07/19/2017 01:15:00,EDT,Dual Fuel,3471.0
07/19/2017 01:15:00,EDT,Natural Gas,3262.0
07/19/2017 01:15:00,EDT,Nuclear,5275.0
07/19/2017 01:15:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:15:00,EDT,Other Renewables,285.0
07/19/2017 01:15:00,EDT,Wind,173.0
07/19/2017 01:15:00,EDT,Hydro,2843.0
07/19/2017 01:20:00,EDT,Dual Fuel,3458.0
07/19/2017 01:20:00,EDT,Natural Gas,3201.0
07/19/2017 01:20:00,EDT,Nuclear,5276.0
07/19/2017 01:20:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:20:00,EDT,Other Renewables,289.0
07/19/2017 01:20:00,EDT,Wind,177.0
07/19/2017 01:20:00,EDT,Hydro,2864.0
07/19/2017 01:25:00,EDT,Dual Fuel,3455.0
07/19/2017 01:25:00,EDT,Natural Gas,3143.0
07/19/2017 01:25:00,EDT,Nuclear,5271.0
07/19/2017 01:25:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:25:00,EDT,Other Renewables,287.0
07/19/2017 01:25:00,EDT,Wind,178.0
07/19/2017 01:25:00,EDT,Hydro,2814.0
07/19/2017 01:30:00,EDT,Dual Fuel,3411.0
07/19/2017 01:30:00,EDT,Natural Gas,3114.0
07/19/2017 01:30:00,EDT,Nuclear,5276.0
07/19/2017 01:30:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:30:00,EDT,Other Renewables,287.0
07/19/2017 01:30:00,EDT,Wind,186.0
07/19/2017 01:30:00,EDT,Hydro,2802.0
07/19/2017 01:35:00,EDT,Dual Fuel,3400.0
07/19/2017 01:35:00,EDT,Natural Gas,3131.0
07/19/2017 01:35:00,EDT,Nuclear,5277.0
07/19/2017 01:35:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:35:00,EDT,Other Renewables,286.0
07/19/2017 01:35:00,EDT,Wind,198.0
07/19/2017 01:35:00,EDT,Hydro,2819.0
07/19/2017 01:40:00,EDT,Dual Fuel,3389.0
07/19/2017 01:40:00,EDT,Natural Gas,3137.0
07/19/2017 01:40:00,EDT,Nuclear,5277.0
07/19/2017 01:40:00,EDT,Other Fossil Fuels,0.0
07/19/2017 01:40:00,EDT,Other Renewables,286.0
07/19/2017 01:40:00,EDT,Wind,211.0
07/19/2017 01:40:00,EDT,Hydro,2854.0
07/19/2017 01:45:00,EDT,Dual Fuel,3378.0
07/19/2017 01:45:00,EDT,Natural Gas,3114.0
07/19/2017 01:45:00,EDT,Nuclear,5276.0
07/19/2017 01:45:00,EDT,Other Fossil Fuels,0.0
