Time Stamp,Time Zone,Fuel Category,Gen MW
02/11/2019 00:05:00,EST,Dual Fuel,2309.0
02/11/2019 00:05:00,EST,Natural Gas,2516.0
02/11/2019 00:05:00,EST,Nuclear,5373.0
02/11/2019 00:05:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:05:00,EST,Other Renewables,263.0
02/11/2019 00:05:00,EST,Wind,61.0
02/11/2019 00:05:00,EST,Hydro,2827.0
02/11/2019 00:10:00,EST,Dual Fuel,2269.0
02/11/2019 00:10:00,EST,Natural Gas,2467.0
02/11/2019 00:10:00,EST,Nuclear,5373.0
02/11/2019 00:10:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:10:00,EST,Other Renewables,264.0
02/11/2019 00:10:00,EST,Wind,64.0
02/11/2019 00:10:00,EST,Hydro,2717.0
02/11/2019 00:15:00,EST,Dual Fuel,2302.0
02/11/2019 00:15:00,EST,Natural Gas,2426.0
02/11/2019 00:15:00,EST,Nuclear,5373.0
02/11/2019 00:15:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:15:00,EST,Other Renewables,262.0
02/11/2019 00:15:00,EST,Wind,64.0
02/11/2019 00:15:00,EST,Hydro,2586.0
02/11/2019 00:20:00,EST,Dual Fuel,2292.0
02/11/2019 00:20:00,EST,Natural Gas,2381.0
02/11/2019 00:20:00,EST,Nuclear,5372.0
02/11/2019 00:20:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:20:00,EST,Other Renewables,264.0
02/11/2019 00:20:00,EST,Wind,65.0
02/11/2019 00:20:00,EST,Hydro,2431.0
02/11/2019 00:25:00,EST,Dual Fuel,2294.0
02/11/2019 00:25:00,EST,Natural Gas,2363.0
02/11/2019 00:25:00,EST,Nuclear,5372.0
02/11/2019 00:25:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:25:00,EST,Other Renewables,264.0
02/11/2019 00:25:00,EST,Wind,69.0
02/11/2019 00:25:00,EST,Hydro,2333.0
02/11/2019 00:30:00,EST,Dual Fuel,2339.0
02/11/2019 00:30:00,EST,Natural Gas,2385.0
02/11/2019 00:30:00,EST,Nuclear,5372.0
02/11/2019 00:30:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:30:00,EST,Other Renewables,265.0
02/11/2019 00:30:00,EST,Wind,74.0
02/11/2019 00:30:00,EST,Hydro,2287.0
02/11/2019 00:35:00,EST,Dual Fuel,2359.0
02/11/2019 00:35:00,EST,Natural Gas,2393.0
02/11/2019 00:35:00,EST,Nuclear,5372.0
02/11/2019 00:35:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:35:00,EST,Other Renewables,269.0
02/11/2019 00:35:00,EST,Wind,73.0
02/11/2019 00:35:00,EST,Hydro,2215.0
02/11/2019 00:40:00,EST,Dual Fuel,2360.0
02/11/2019 00:40:00,EST,Natural Gas,2397.0
02/11/2019 00:40:00,EST,Nuclear,5372.0
02/11/2019 00:40:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:40:00,EST,Other Renewables,273.0
02/11/2019 00:40:00,EST,Wind,75.0
02/11/2019 00:40:00,EST,Hydro,2188.0
02/11/2019 00:45:00,EST,Dual Fuel,2356.0
02/11/2019 00:45:00,EST,Natural Gas,2391.0
02/11/2019 00:45:00,EST,Nuclear,5373.0
02/11/2019 00:45:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:45:00,EST,Other Renewables,273.0
02/11/2019 00:45:00,EST,Wind,73.0
02/11/2019 00:45:00,EST,Hydro,2159.0
02/11/2019 00:50:00,EST,Dual Fuel,2359.0
02/11/2019 00:50:00,EST,Natural Gas,2367.0
02/11/2019 00:50:00,EST,Nuclear,5372.0
02/11/2019 00:50:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:50:00,EST,Other Renewables,270.0
02/11/2019 00:50:00,EST,Wind,74.0
02/11/2019 00:50:00,EST,Hydro,2093.0
02/11/2019 00:55:00,EST,Dual Fuel,2356.0
02/11/2019 00:55:00,EST,Natural Gas,2342.0
02/11/2019 00:55:00,EST,Nuclear,5371.0
02/11/2019 00:55:00,EST,Other Fossil Fuels,0.0
02/11/2019 00:55:00,EST,Other Renewables,267.0
02/11/2019 00:55:00,EST,Wind,76.0
02/11/2019 00:55:00,EST,Hydro,2152.0
02/11/2019 01:00:00,EST,Dual Fuel,2355.0
02/11/2019 01:00:00,EST,Natural Gas,2315.0
02/11/2019 01:00:00,EST,Nuclear,5371.0
02/11/2019 01:00:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:00:00,EST,Other Renewables,270.0
02/11/2019 01:00:00,EST,Wind,74.0
02/11/2019 01:00:00,EST,Hydro,2094.0
02/11/2019 01:05:00,EST,Dual Fuel,2309.0
02/11/2019 01:05:00,EST,Natural Gas,2303.0
02/11/2019 01:05:00,EST,Nuclear,5371.0
02/11/2019 01:05:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:05:00,EST,Other Renewables,271.0
02/11/2019 01:05:00,EST,Wind,73.0
02/11/2019 01:05:00,EST,Hydro,2076.0
02/11/2019 01:10:00,EST,Dual Fuel,2276.0
02/11/2019 01:10:00,EST,Natural Gas,2297.0
02/11/2019 01:10:00,EST,Nuclear,5370.0
02/11/2019 01:10:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:10:00,EST,Other Renewables,271.0
02/11/2019 01:10:00,EST,Wind,66.0
02/11/2019 01:10:00,EST,Hydro,2024.0
02/11/2019 01:15:00,EST,Dual Fuel,2286.0
02/11/2019 01:15:00,EST,Natural Gas,2299.0
02/11/2019 01:15:00,EST,Nuclear,5369.0
02/11/2019 01:15:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:15:00,EST,Other Renewables,271.0
02/11/2019 01:15:00,EST,Wind,56.0
02/11/2019 01:15:00,EST,Hydro,1953.0
02/11/2019 01:20:00,EST,Dual Fuel,2290.0
02/11/2019 01:20:00,EST,Natural Gas,2288.0
02/11/2019 01:20:00,EST,Nuclear,5371.0
02/11/2019 01:20:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:20:00,EST,Other Renewables,270.0
02/11/2019 01:20:00,EST,Wind,46.0
02/11/2019 01:20:00,EST,Hydro,1947.0
02/11/2019 01:25:00,EST,Dual Fuel,2288.0
02/11/2019 01:25:00,EST,Natural Gas,2277.0
02/11/2019 01:25:00,EST,Nuclear,5370.0
02/11/2019 01:25:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:25:00,EST,Other Renewables,271.0
02/11/2019 01:25:00,EST,Wind,41.0
02/11/2019 01:25:00,EST,Hydro,1952.0
02/11/2019 01:30:00,EST,Dual Fuel,2291.0
02/11/2019 01:30:00,EST,Natural Gas,2275.0
02/11/2019 01:30:00,EST,Nuclear,5370.0
02/11/2019 01:30:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:30:00,EST,Other Renewables,271.0
02/11/2019 01:30:00,EST,Wind,36.0
02/11/2019 01:30:00,EST,Hydro,1961.0
02/11/2019 01:35:00,EST,Dual Fuel,2288.0
02/11/2019 01:35:00,EST,Natural Gas,2274.0
02/11/2019 01:35:00,EST,Nuclear,5371.0
02/11/2019 01:35:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:35:00,EST,Other Renewables,272.0
02/11/2019 01:35:00,EST,Wind,32.0
02/11/2019 01:35:00,EST,Hydro,1959.0
02/11/2019 01:40:00,EST,Dual Fuel,2275.0
02/11/2019 01:40:00,EST,Natural Gas,2275.0
02/11/2019 01:40:00,EST,Nuclear,5371.0
02/11/2019 01:40:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:40:00,EST,Other Renewables,272.0
02/11/2019 01:40:00,EST,Wind,29.0
02/11/2019 01:40:00,EST,Hydro,1955.0
02/11/2019 01:45:00,EST,Dual Fuel,2266.0
02/11/2019 01:45:00,EST,Natural Gas,2275.0
02/11/2019 01:45:00,EST,Nuclear,5370.0
02/11/2019 01:45:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:45:00,EST,Other Renewables,274.0
02/11/2019 01:45:00,EST,Wind,29.0
02/11/2019 01:45:00,EST,Hydro,1953.0
02/11/2019 01:50:00,EST,Dual Fuel,2273.0
02/11/2019 01:50:00,EST,Natural Gas,2270.0
02/11/2019 01:50:00,EST,Nuclear,5370.0
02/11/2019 01:50:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:50:00,EST,Other Renewables,274.0
02/11/2019 01:50:00,EST,Wind,32.0
02/11/2019 01:50:00,EST,Hydro,1974.0
02/11/2019 01:55:00,EST,Dual Fuel,2271.0
02/11/2019 01:55:00,EST,Natural Gas,2254.0
02/11/2019 01:55:00,EST,Nuclear,5370.0
02/11/2019 01:55:00,EST,Other Fossil Fuels,0.0
02/11/2019 01:55:00,EST,Other Renewables,277.0
02/11/2019 01:55:00,EST,Wind,34.0
02/11/2019 01:55:00,EST,Hydro,1974.0
02/11/2019 02:00:00,EST,Dual Fuel,2264.0
02/11/2019 02:00:00,EST,Natural Gas,2239.0
02/11/2019 02:00:00,EST,Nuclear,5369.0
02/11/2019 02:00:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:00:00,EST,Other Renewables,278.0
02/11/2019 02:00:00,EST,Wind,34.0
02/11/2019 02:00:00,EST,Hydro,1981.0
02/11/2019 02:05:00,EST,Dual Fuel,2283.0
02/11/2019 02:05:00,EST,Natural Gas,2230.0
02/11/2019 02:05:00,EST,Nuclear,5369.0
02/11/2019 02:05:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:05:00,EST,Other Renewables,272.0
02/11/2019 02:05:00,EST,Wind,34.0
02/11/2019 02:05:00,EST,Hydro,1992.0
02/11/2019 02:10:00,EST,Dual Fuel,2305.0
02/11/2019 02:10:00,EST,Natural Gas,2237.0
02/11/2019 02:10:00,EST,Nuclear,5371.0
02/11/2019 02:10:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:10:00,EST,Other Renewables,272.0
02/11/2019 02:10:00,EST,Wind,33.0
02/11/2019 02:10:00,EST,Hydro,2002.0
02/11/2019 02:15:00,EST,Dual Fuel,2311.0
02/11/2019 02:15:00,EST,Natural Gas,2238.0
02/11/2019 02:15:00,EST,Nuclear,5370.0
02/11/2019 02:15:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:15:00,EST,Other Renewables,273.0
02/11/2019 02:15:00,EST,Wind,32.0
02/11/2019 02:15:00,EST,Hydro,2025.0
02/11/2019 02:20:00,EST,Dual Fuel,2316.0
02/11/2019 02:20:00,EST,Natural Gas,2234.0
02/11/2019 02:20:00,EST,Nuclear,5370.0
02/11/2019 02:20:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:20:00,EST,Other Renewables,271.0
02/11/2019 02:20:00,EST,Wind,33.0
02/11/2019 02:20:00,EST,Hydro,1997.0
02/11/2019 02:25:00,EST,Dual Fuel,2318.0
02/11/2019 02:25:00,EST,Natural Gas,2229.0
02/11/2019 02:25:00,EST,Nuclear,5369.0
02/11/2019 02:25:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:25:00,EST,Other Renewables,271.0
02/11/2019 02:25:00,EST,Wind,31.0
02/11/2019 02:25:00,EST,Hydro,1967.0
02/11/2019 02:30:00,EST,Dual Fuel,2331.0
02/11/2019 02:30:00,EST,Natural Gas,2232.0
02/11/2019 02:30:00,EST,Nuclear,5368.0
02/11/2019 02:30:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:30:00,EST,Other Renewables,270.0
02/11/2019 02:30:00,EST,Wind,30.0
02/11/2019 02:30:00,EST,Hydro,1970.0
02/11/2019 02:35:00,EST,Dual Fuel,2339.0
02/11/2019 02:35:00,EST,Natural Gas,2234.0
02/11/2019 02:35:00,EST,Nuclear,5369.0
02/11/2019 02:35:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:35:00,EST,Other Renewables,273.0
02/11/2019 02:35:00,EST,Wind,31.0
02/11/2019 02:35:00,EST,Hydro,1972.0
02/11/2019 02:40:00,EST,Dual Fuel,2336.0
02/11/2019 02:40:00,EST,Natural Gas,2228.0
02/11/2019 02:40:00,EST,Nuclear,5369.0
02/11/2019 02:40:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:40:00,EST,Other Renewables,276.0
02/11/2019 02:40:00,EST,Wind,30.0
02/11/2019 02:40:00,EST,Hydro,1961.0
02/11/2019 02:45:00,EST,Dual Fuel,2327.0
02/11/2019 02:45:00,EST,Natural Gas,2226.0
02/11/2019 02:45:00,EST,Nuclear,5371.0
02/11/2019 02:45:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:45:00,EST,Other Renewables,276.0
02/11/2019 02:45:00,EST,Wind,30.0
02/11/2019 02:45:00,EST,Hydro,1922.0
02/11/2019 02:50:00,EST,Dual Fuel,2328.0
02/11/2019 02:50:00,EST,Natural Gas,2226.0
02/11/2019 02:50:00,EST,Nuclear,5370.0
02/11/2019 02:50:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:50:00,EST,Other Renewables,272.0
02/11/2019 02:50:00,EST,Wind,32.0
02/11/2019 02:50:00,EST,Hydro,1919.0
02/11/2019 02:55:00,EST,Dual Fuel,2320.0
02/11/2019 02:55:00,EST,Natural Gas,2218.0
02/11/2019 02:55:00,EST,Nuclear,5369.0
02/11/2019 02:55:00,EST,Other Fossil Fuels,0.0
02/11/2019 02:55:00,EST,Other Renewables,273.0
02/11/2019 02:55:00,EST,Wind,33.0
02/11/2019 02:55:00,EST,Hydro,1926.0
02/11/2019 03:00:00,EST,Dual Fuel,2311.0
02/11/2019 03:00:00,EST,Natural Gas,2208.0
02/11/2019 03:00:00,EST,Nuclear,5369.0
02/11/2019 03:00:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:00:00,EST,Other Renewables,273.0
02/11/2019 03:00:00,EST,Wind,35.0
02/11/2019 03:00:00,EST,Hydro,1951.0
02/11/2019 03:05:00,EST,Dual Fuel,2320.0
02/11/2019 03:05:00,EST,Natural Gas,2221.0
02/11/2019 03:05:00,EST,Nuclear,5368.0
02/11/2019 03:05:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:05:00,EST,Other Renewables,275.0
02/11/2019 03:05:00,EST,Wind,36.0
02/11/2019 03:05:00,EST,Hydro,2015.0
02/11/2019 03:10:00,EST,Dual Fuel,2343.0
02/11/2019 03:10:00,EST,Natural Gas,2239.0
02/11/2019 03:10:00,EST,Nuclear,5368.0
02/11/2019 03:10:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:10:00,EST,Other Renewables,274.0
02/11/2019 03:10:00,EST,Wind,36.0
02/11/2019 03:10:00,EST,Hydro,2049.0
02/11/2019 03:15:00,EST,Dual Fuel,2347.0
02/11/2019 03:15:00,EST,Natural Gas,2245.0
02/11/2019 03:15:00,EST,Nuclear,5368.0
02/11/2019 03:15:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:15:00,EST,Other Renewables,272.0
02/11/2019 03:15:00,EST,Wind,37.0
02/11/2019 03:15:00,EST,Hydro,2059.0
02/11/2019 03:20:00,EST,Dual Fuel,2343.0
02/11/2019 03:20:00,EST,Natural Gas,2246.0
02/11/2019 03:20:00,EST,Nuclear,5370.0
02/11/2019 03:20:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:20:00,EST,Other Renewables,270.0
02/11/2019 03:20:00,EST,Wind,38.0
02/11/2019 03:20:00,EST,Hydro,2066.0
02/11/2019 03:25:00,EST,Dual Fuel,2350.0
02/11/2019 03:25:00,EST,Natural Gas,2249.0
02/11/2019 03:25:00,EST,Nuclear,5368.0
02/11/2019 03:25:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:25:00,EST,Other Renewables,267.0
02/11/2019 03:25:00,EST,Wind,40.0
02/11/2019 03:25:00,EST,Hydro,2050.0
02/11/2019 03:30:00,EST,Dual Fuel,2350.0
02/11/2019 03:30:00,EST,Natural Gas,2248.0
02/11/2019 03:30:00,EST,Nuclear,5370.0
02/11/2019 03:30:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:30:00,EST,Other Renewables,260.0
02/11/2019 03:30:00,EST,Wind,43.0
02/11/2019 03:30:00,EST,Hydro,2062.0
02/11/2019 03:35:00,EST,Dual Fuel,2354.0
02/11/2019 03:35:00,EST,Natural Gas,2247.0
02/11/2019 03:35:00,EST,Nuclear,5371.0
02/11/2019 03:35:00,EST,Other Fossil Fuels,0.0
02/11/2019 03:35:00,EST,Other Renewables,263.0
02/11/2019 03:35:00,EST,Wind,45.0
02/11/2019 03:35:00,EST,Hydro,2062.0
02/11/2019 03:40:00,EST,Dual Fuel,2357.0
