Time Stamp,Time Zone,Fuel Category,Gen MW
05/02/2020 00:05:00,EDT,Dual Fuel,1885.0
05/02/2020 00:05:00,EDT,Natural Gas,1556.0
05/02/2020 00:05:00,EDT,Nuclear,3810.0
05/02/2020 00:05:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:05:00,EDT,Other Renewables,274.0
05/02/2020 00:05:00,EDT,Wind,448.0
05/02/2020 00:05:00,EDT,Hydro,2996.0
05/02/2020 00:10:00,EDT,Dual Fuel,1855.0
05/02/2020 00:10:00,EDT,Natural Gas,1553.0
05/02/2020 00:10:00,EDT,Nuclear,3810.0
05/02/2020 00:10:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:10:00,EDT,Other Renewables,276.0
05/02/2020 00:10:00,EDT,Wind,434.0
05/02/2020 00:10:00,EDT,Hydro,2978.0
05/02/2020 00:15:00,EDT,Dual Fuel,1701.0
05/02/2020 00:15:00,EDT,Natural Gas,1553.0
05/02/2020 00:15:00,EDT,Nuclear,3812.0
05/02/2020 00:15:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:15:00,EDT,Other Renewables,274.0
05/02/2020 00:15:00,EDT,Wind,416.0
05/02/2020 00:15:00,EDT,Hydro,3008.0
05/02/2020 00:20:00,EDT,Dual Fuel,1522.0
05/02/2020 00:20:00,EDT,Natural Gas,1554.0
05/02/2020 00:20:00,EDT,Nuclear,3811.0
05/02/2020 00:20:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:20:00,EDT,Other Renewables,276.0
05/02/2020 00:20:00,EDT,Wind,402.0
05/02/2020 00:20:00,EDT,Hydro,2997.0
05/02/2020 00:25:00,EDT,Dual Fuel,1425.0
05/02/2020 00:25:00,EDT,Natural Gas,1520.0
05/02/2020 00:25:00,EDT,Nuclear,3809.0
05/02/2020 00:25:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:25:00,EDT,Other Renewables,275.0
05/02/2020 00:25:00,EDT,Wind,382.0
05/02/2020 00:25:00,EDT,Hydro,3124.0
05/02/2020 00:30:00,EDT,Dual Fuel,1378.0
05/02/2020 00:30:00,EDT,Natural Gas,1550.0
05/02/2020 00:30:00,EDT,Nuclear,3809.0
05/02/2020 00:30:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:30:00,EDT,Other Renewables,271.0
05/02/2020 00:30:00,EDT,Wind,366.0
05/02/2020 00:30:00,EDT,Hydro,3228.0
05/02/2020 00:35:00,EDT,Dual Fuel,1327.0
05/02/2020 00:35:00,EDT,Natural Gas,1525.0
05/02/2020 00:35:00,EDT,Nuclear,3808.0
05/02/2020 00:35:00,EDT,Other Fossil Fuels,1.0
05/02/2020 00:35:00,EDT,Other Renewables,270.0
