Time Stamp,Time Zone,Fuel Category,Gen MW
06/09/2020 00:05:00,EDT,Dual Fuel,2454.0
06/09/2020 00:05:00,EDT,Natural Gas,2424.0
06/09/2020 00:05:00,EDT,Nuclear,4357.0
06/09/2020 00:05:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:05:00,EDT,Other Renewables,282.0
06/09/2020 00:05:00,EDT,Wind,179.0
06/09/2020 00:05:00,EDT,Hydro,3048.0
06/09/2020 00:10:00,EDT,Dual Fuel,2360.0
06/09/2020 00:10:00,EDT,Natural Gas,2408.0
06/09/2020 00:10:00,EDT,Nuclear,4358.0
06/09/2020 00:10:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:10:00,EDT,Other Renewables,282.0
06/09/2020 00:10:00,EDT,Wind,195.0
06/09/2020 00:10:00,EDT,Hydro,2972.0
06/09/2020 00:15:00,EDT,Dual Fuel,2329.0
06/09/2020 00:15:00,EDT,Natural Gas,2442.0
06/09/2020 00:15:00,EDT,Nuclear,4358.0
06/09/2020 00:15:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:15:00,EDT,Other Renewables,282.0
06/09/2020 00:15:00,EDT,Wind,203.0
06/09/2020 00:15:00,EDT,Hydro,2880.0
06/09/2020 00:20:00,EDT,Dual Fuel,2314.0
06/09/2020 00:20:00,EDT,Natural Gas,2448.0
06/09/2020 00:20:00,EDT,Nuclear,4357.0
06/09/2020 00:20:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:20:00,EDT,Other Renewables,281.0
06/09/2020 00:20:00,EDT,Wind,202.0
06/09/2020 00:20:00,EDT,Hydro,2815.0
06/09/2020 00:25:00,EDT,Dual Fuel,2331.0
06/09/2020 00:25:00,EDT,Natural Gas,2326.0
06/09/2020 00:25:00,EDT,Nuclear,4356.0
06/09/2020 00:25:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:25:00,EDT,Other Renewables,279.0
06/09/2020 00:25:00,EDT,Wind,208.0
06/09/2020 00:25:00,EDT,Hydro,2799.0
06/09/2020 00:30:00,EDT,Dual Fuel,2260.0
06/09/2020 00:30:00,EDT,Natural Gas,2339.0
06/09/2020 00:30:00,EDT,Nuclear,4356.0
06/09/2020 00:30:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:30:00,EDT,Other Renewables,282.0
06/09/2020 00:30:00,EDT,Wind,219.0
06/09/2020 00:30:00,EDT,Hydro,2804.0
06/09/2020 00:35:00,EDT,Dual Fuel,2221.0
06/09/2020 00:35:00,EDT,Natural Gas,2436.0
06/09/2020 00:35:00,EDT,Nuclear,4359.0
06/09/2020 00:35:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:35:00,EDT,Other Renewables,281.0
06/09/2020 00:35:00,EDT,Wind,224.0
06/09/2020 00:35:00,EDT,Hydro,2847.0
06/09/2020 00:40:00,EDT,Dual Fuel,2222.0
06/09/2020 00:40:00,EDT,Natural Gas,2451.0
06/09/2020 00:40:00,EDT,Nuclear,4358.0
06/09/2020 00:40:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:40:00,EDT,Other Renewables,281.0
06/09/2020 00:40:00,EDT,Wind,219.0
06/09/2020 00:40:00,EDT,Hydro,2853.0
06/09/2020 00:45:00,EDT,Dual Fuel,2213.0
06/09/2020 00:45:00,EDT,Natural Gas,2400.0
06/09/2020 00:45:00,EDT,Nuclear,4358.0
06/09/2020 00:45:00,EDT,Other Fossil Fuels,1.0
06/09/2020 00:45:00,EDT,Other Renewables,281.0
06/09/2020 00:45:00,EDT,Wind,207.0
06/09/2020 00:45:00,EDT,Hydro,2839.0
06/09/2020 00:50:00,EDT,Dual Fuel,2211.0
06/09/2020 00:50:00,EDT,Natural Gas,2285.0
06/09/2020 00:50:00,EDT,Nuclear,4358.0
06/09/2020 00:50:00,EDT,Other Fossil Fuels,19.0
06/09/2020 00:50:00,EDT,Other Renewables,283.0
06/09/2020 00:50:00,EDT,Wind,194.0
06/09/2020 00:50:00,EDT,Hydro,2816.0
06/09/2020 00:55:00,EDT,Dual Fuel,2202.0
06/09/2020 00:55:00,EDT,Natural Gas,2196.0
06/09/2020 00:55:00,EDT,Nuclear,4360.0
06/09/2020 00:55:00,EDT,Other Fossil Fuels,55.0
06/09/2020 00:55:00,EDT,Other Renewables,281.0
06/09/2020 00:55:00,EDT,Wind,182.0
06/09/2020 00:55:00,EDT,Hydro,2795.0
06/09/2020 01:00:00,EDT,Dual Fuel,2201.0
06/09/2020 01:00:00,EDT,Natural Gas,2224.0
06/09/2020 01:00:00,EDT,Nuclear,4359.0
06/09/2020 01:00:00,EDT,Other Fossil Fuels,55.0
06/09/2020 01:00:00,EDT,Other Renewables,282.0
06/09/2020 01:00:00,EDT,Wind,182.0
06/09/2020 01:00:00,EDT,Hydro,2779.0
06/09/2020 01:05:00,EDT,Dual Fuel,2194.0
06/09/2020 01:05:00,EDT,Natural Gas,2279.0
06/09/2020 01:05:00,EDT,Nuclear,4358.0
06/09/2020 01:05:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:05:00,EDT,Other Renewables,282.0
06/09/2020 01:05:00,EDT,Wind,194.0
06/09/2020 01:05:00,EDT,Hydro,2798.0
06/09/2020 01:10:00,EDT,Dual Fuel,2213.0
06/09/2020 01:10:00,EDT,Natural Gas,2269.0
06/09/2020 01:10:00,EDT,Nuclear,4358.0
06/09/2020 01:10:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:10:00,EDT,Other Renewables,283.0
06/09/2020 01:10:00,EDT,Wind,205.0
06/09/2020 01:10:00,EDT,Hydro,2796.0
06/09/2020 01:15:00,EDT,Dual Fuel,2206.0
06/09/2020 01:15:00,EDT,Natural Gas,2177.0
06/09/2020 01:15:00,EDT,Nuclear,4356.0
06/09/2020 01:15:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:15:00,EDT,Other Renewables,284.0
06/09/2020 01:15:00,EDT,Wind,213.0
06/09/2020 01:15:00,EDT,Hydro,2761.0
06/09/2020 01:20:00,EDT,Dual Fuel,2235.0
06/09/2020 01:20:00,EDT,Natural Gas,2197.0
06/09/2020 01:20:00,EDT,Nuclear,4357.0
06/09/2020 01:20:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:20:00,EDT,Other Renewables,287.0
06/09/2020 01:20:00,EDT,Wind,213.0
06/09/2020 01:20:00,EDT,Hydro,2733.0
06/09/2020 01:25:00,EDT,Dual Fuel,2217.0
06/09/2020 01:25:00,EDT,Natural Gas,2151.0
06/09/2020 01:25:00,EDT,Nuclear,4356.0
06/09/2020 01:25:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:25:00,EDT,Other Renewables,286.0
06/09/2020 01:25:00,EDT,Wind,216.0
06/09/2020 01:25:00,EDT,Hydro,2786.0
06/09/2020 01:30:00,EDT,Dual Fuel,2221.0
06/09/2020 01:30:00,EDT,Natural Gas,2134.0
06/09/2020 01:30:00,EDT,Nuclear,4355.0
06/09/2020 01:30:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:30:00,EDT,Other Renewables,283.0
06/09/2020 01:30:00,EDT,Wind,217.0
06/09/2020 01:30:00,EDT,Hydro,2755.0
06/09/2020 01:35:00,EDT,Dual Fuel,2229.0
06/09/2020 01:35:00,EDT,Natural Gas,2081.0
06/09/2020 01:35:00,EDT,Nuclear,4353.0
06/09/2020 01:35:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:35:00,EDT,Other Renewables,286.0
06/09/2020 01:35:00,EDT,Wind,211.0
06/09/2020 01:35:00,EDT,Hydro,2737.0
06/09/2020 01:40:00,EDT,Dual Fuel,2211.0
06/09/2020 01:40:00,EDT,Natural Gas,1997.0
06/09/2020 01:40:00,EDT,Nuclear,4357.0
06/09/2020 01:40:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:40:00,EDT,Other Renewables,284.0
06/09/2020 01:40:00,EDT,Wind,214.0
06/09/2020 01:40:00,EDT,Hydro,2798.0
06/09/2020 01:45:00,EDT,Dual Fuel,2189.0
06/09/2020 01:45:00,EDT,Natural Gas,1965.0
06/09/2020 01:45:00,EDT,Nuclear,4357.0
06/09/2020 01:45:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:45:00,EDT,Other Renewables,284.0
06/09/2020 01:45:00,EDT,Wind,222.0
06/09/2020 01:45:00,EDT,Hydro,2816.0
06/09/2020 01:50:00,EDT,Dual Fuel,2175.0
06/09/2020 01:50:00,EDT,Natural Gas,1932.0
06/09/2020 01:50:00,EDT,Nuclear,4357.0
06/09/2020 01:50:00,EDT,Other Fossil Fuels,55.0
06/09/2020 01:50:00,EDT,Other Renewables,283.0
06/09/2020 01:50:00,EDT,Wind,239.0
06/09/2020 01:50:00,EDT,Hydro,2822.0
06/09/2020 01:55:00,EDT,Dual Fuel,2144.0
06/09/2020 01:55:00,EDT,Natural Gas,1899.0
06/09/2020 01:55:00,EDT,Nuclear,4355.0
06/09/2020 01:55:00,EDT,Other Fossil Fuels,56.0
06/09/2020 01:55:00,EDT,Other Renewables,284.0
06/09/2020 01:55:00,EDT,Wind,259.0
06/09/2020 01:55:00,EDT,Hydro,2843.0
06/09/2020 02:00:00,EDT,Dual Fuel,2149.0
06/09/2020 02:00:00,EDT,Natural Gas,1880.0
06/09/2020 02:00:00,EDT,Nuclear,4356.0
06/09/2020 02:00:00,EDT,Other Fossil Fuels,50.0
06/09/2020 02:00:00,EDT,Other Renewables,288.0
06/09/2020 02:00:00,EDT,Wind,278.0
06/09/2020 02:00:00,EDT,Hydro,2861.0
06/09/2020 02:05:00,EDT,Dual Fuel,2159.0
06/09/2020 02:05:00,EDT,Natural Gas,1906.0
06/09/2020 02:05:00,EDT,Nuclear,4357.0
06/09/2020 02:05:00,EDT,Other Fossil Fuels,16.0
06/09/2020 02:05:00,EDT,Other Renewables,284.0
06/09/2020 02:05:00,EDT,Wind,280.0
06/09/2020 02:05:00,EDT,Hydro,2919.0
06/09/2020 02:10:00,EDT,Dual Fuel,2159.0
06/09/2020 02:10:00,EDT,Natural Gas,1939.0
06/09/2020 02:10:00,EDT,Nuclear,4355.0
06/09/2020 02:10:00,EDT,Other Fossil Fuels,6.0
06/09/2020 02:10:00,EDT,Other Renewables,283.0
06/09/2020 02:10:00,EDT,Wind,275.0
06/09/2020 02:10:00,EDT,Hydro,2901.0
06/09/2020 02:15:00,EDT,Dual Fuel,2156.0
06/09/2020 02:15:00,EDT,Natural Gas,1925.0
06/09/2020 02:15:00,EDT,Nuclear,4354.0
06/09/2020 02:15:00,EDT,Other Fossil Fuels,6.0
06/09/2020 02:15:00,EDT,Other Renewables,283.0
06/09/2020 02:15:00,EDT,Wind,274.0
06/09/2020 02:15:00,EDT,Hydro,2865.0
06/09/2020 02:20:00,EDT,Dual Fuel,2140.0
06/09/2020 02:20:00,EDT,Natural Gas,1890.0
06/09/2020 02:20:00,EDT,Nuclear,4354.0
06/09/2020 02:20:00,EDT,Other Fossil Fuels,6.0
06/09/2020 02:20:00,EDT,Other Renewables,281.0
06/09/2020 02:20:00,EDT,Wind,277.0
06/09/2020 02:20:00,EDT,Hydro,2852.0
06/09/2020 02:25:00,EDT,Dual Fuel,2084.0
06/09/2020 02:25:00,EDT,Natural Gas,1859.0
06/09/2020 02:25:00,EDT,Nuclear,4354.0
06/09/2020 02:25:00,EDT,Other Fossil Fuels,6.0
06/09/2020 02:25:00,EDT,Other Renewables,281.0
06/09/2020 02:25:00,EDT,Wind,284.0
06/09/2020 02:25:00,EDT,Hydro,2865.0
06/09/2020 02:30:00,EDT,Dual Fuel,2061.0
06/09/2020 02:30:00,EDT,Natural Gas,1838.0
06/09/2020 02:30:00,EDT,Nuclear,4356.0
06/09/2020 02:30:00,EDT,Other Fossil Fuels,6.0
06/09/2020 02:30:00,EDT,Other Renewables,284.0
06/09/2020 02:30:00,EDT,Wind,300.0
06/09/2020 02:30:00,EDT,Hydro,2870.0
06/09/2020 02:35:00,EDT,Dual Fuel,2059.0
06/09/2020 02:35:00,EDT,Natural Gas,1831.0
06/09/2020 02:35:00,EDT,Nuclear,4350.0
06/09/2020 02:35:00,EDT,Other Fossil Fuels,6.0
06/09/2020 02:35:00,EDT,Other Renewables,285.0
06/09/2020 02:35:00,EDT,Wind,321.0
06/09/2020 02:35:00,EDT,Hydro,2867.0
06/09/2020 02:40:00,EDT,Dual Fuel,2068.0
06/09/2020 02:40:00,EDT,Natural Gas,1831.0
06/09/2020 02:40:00,EDT,Nuclear,4347.0
06/09/2020 02:40:00,EDT,Other Fossil Fuels,3.0
06/09/2020 02:40:00,EDT,Other Renewables,283.0
06/09/2020 02:40:00,EDT,Wind,336.0
06/09/2020 02:40:00,EDT,Hydro,2859.0
06/09/2020 02:45:00,EDT,Dual Fuel,2085.0
06/09/2020 02:45:00,EDT,Natural Gas,1831.0
06/09/2020 02:45:00,EDT,Nuclear,4346.0
06/09/2020 02:45:00,EDT,Other Fossil Fuels,1.0
06/09/2020 02:45:00,EDT,Other Renewables,286.0
06/09/2020 02:45:00,EDT,Wind,360.0
06/09/2020 02:45:00,EDT,Hydro,2824.0
06/09/2020 02:50:00,EDT,Dual Fuel,2154.0
06/09/2020 02:50:00,EDT,Natural Gas,1837.0
06/09/2020 02:50:00,EDT,Nuclear,4346.0
06/09/2020 02:50:00,EDT,Other Fossil Fuels,1.0
06/09/2020 02:50:00,EDT,Other Renewables,287.0
06/09/2020 02:50:00,EDT,Wind,385.0
06/09/2020 02:50:00,EDT,Hydro,2793.0
06/09/2020 02:55:00,EDT,Dual Fuel,2194.0
06/09/2020 02:55:00,EDT,Natural Gas,1845.0
06/09/2020 02:55:00,EDT,Nuclear,4346.0
06/09/2020 02:55:00,EDT,Other Fossil Fuels,1.0
06/09/2020 02:55:00,EDT,Other Renewables,286.0
06/09/2020 02:55:00,EDT,Wind,387.0
06/09/2020 02:55:00,EDT,Hydro,2738.0
06/09/2020 03:00:00,EDT,Dual Fuel,2185.0
06/09/2020 03:00:00,EDT,Natural Gas,1880.0
06/09/2020 03:00:00,EDT,Nuclear,4346.0
06/09/2020 03:00:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:00:00,EDT,Other Renewables,285.0
06/09/2020 03:00:00,EDT,Wind,388.0
06/09/2020 03:00:00,EDT,Hydro,2752.0
06/09/2020 03:05:00,EDT,Dual Fuel,2230.0
06/09/2020 03:05:00,EDT,Natural Gas,1920.0
06/09/2020 03:05:00,EDT,Nuclear,4353.0
06/09/2020 03:05:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:05:00,EDT,Other Renewables,284.0
06/09/2020 03:05:00,EDT,Wind,392.0
06/09/2020 03:05:00,EDT,Hydro,2789.0
06/09/2020 03:10:00,EDT,Dual Fuel,2271.0
06/09/2020 03:10:00,EDT,Natural Gas,1852.0
06/09/2020 03:10:00,EDT,Nuclear,4349.0
06/09/2020 03:10:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:10:00,EDT,Other Renewables,283.0
06/09/2020 03:10:00,EDT,Wind,382.0
06/09/2020 03:10:00,EDT,Hydro,2772.0
06/09/2020 03:15:00,EDT,Dual Fuel,2279.0
06/09/2020 03:15:00,EDT,Natural Gas,1855.0
06/09/2020 03:15:00,EDT,Nuclear,4349.0
06/09/2020 03:15:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:15:00,EDT,Other Renewables,284.0
06/09/2020 03:15:00,EDT,Wind,363.0
06/09/2020 03:15:00,EDT,Hydro,2748.0
06/09/2020 03:20:00,EDT,Dual Fuel,2285.0
06/09/2020 03:20:00,EDT,Natural Gas,1861.0
06/09/2020 03:20:00,EDT,Nuclear,4350.0
06/09/2020 03:20:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:20:00,EDT,Other Renewables,281.0
06/09/2020 03:20:00,EDT,Wind,357.0
06/09/2020 03:20:00,EDT,Hydro,2721.0
06/09/2020 03:25:00,EDT,Dual Fuel,2265.0
06/09/2020 03:25:00,EDT,Natural Gas,1860.0
06/09/2020 03:25:00,EDT,Nuclear,4349.0
06/09/2020 03:25:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:25:00,EDT,Other Renewables,281.0
06/09/2020 03:25:00,EDT,Wind,365.0
06/09/2020 03:25:00,EDT,Hydro,2770.0
06/09/2020 03:30:00,EDT,Dual Fuel,2259.0
06/09/2020 03:30:00,EDT,Natural Gas,1857.0
06/09/2020 03:30:00,EDT,Nuclear,4348.0
06/09/2020 03:30:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:30:00,EDT,Other Renewables,281.0
06/09/2020 03:30:00,EDT,Wind,371.0
06/09/2020 03:30:00,EDT,Hydro,2778.0
06/09/2020 03:35:00,EDT,Dual Fuel,2246.0
06/09/2020 03:35:00,EDT,Natural Gas,1847.0
06/09/2020 03:35:00,EDT,Nuclear,4348.0
06/09/2020 03:35:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:35:00,EDT,Other Renewables,280.0
06/09/2020 03:35:00,EDT,Wind,396.0
06/09/2020 03:35:00,EDT,Hydro,2778.0
06/09/2020 03:40:00,EDT,Dual Fuel,2213.0
06/09/2020 03:40:00,EDT,Natural Gas,1838.0
06/09/2020 03:40:00,EDT,Nuclear,4356.0
06/09/2020 03:40:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:40:00,EDT,Other Renewables,281.0
06/09/2020 03:40:00,EDT,Wind,432.0
06/09/2020 03:40:00,EDT,Hydro,2772.0
06/09/2020 03:45:00,EDT,Dual Fuel,2190.0
06/09/2020 03:45:00,EDT,Natural Gas,1837.0
06/09/2020 03:45:00,EDT,Nuclear,4350.0
06/09/2020 03:45:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:45:00,EDT,Other Renewables,281.0
06/09/2020 03:45:00,EDT,Wind,480.0
06/09/2020 03:45:00,EDT,Hydro,2667.0
06/09/2020 03:50:00,EDT,Dual Fuel,2170.0
06/09/2020 03:50:00,EDT,Natural Gas,1836.0
06/09/2020 03:50:00,EDT,Nuclear,4350.0
06/09/2020 03:50:00,EDT,Other Fossil Fuels,1.0
06/09/2020 03:50:00,EDT,Other Renewables,280.0
06/09/2020 03:50:00,EDT,Wind,516.0
06/09/2020 03:50:00,EDT,Hydro,2707.0
