Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/01/2017 00:00,CAPITL,61757,42.86,0.49,-31.81
04/01/2017 00:00,CENTRL,61754,12.27,0.14,-1.56
04/01/2017 00:00,DUNWOD,61760,34.44,0.98,-22.90
04/01/2017 00:00,GENESE,61753,11.68,-0.08,-1.19
04/01/2017 00:00,H Q,61844,10.26,-0.31,0.00
04/01/2017 00:00,HUD VL,61758,33.04,0.88,-21.60
04/01/2017 00:00,LONGIL,61762,34.90,1.44,-22.90
04/01/2017 00:00,MHK VL,61756,13.07,0.15,-2.36
04/01/2017 00:00,MILLWD,61759,34.57,0.97,-23.03
04/01/2017 00:00,N.Y.C.,61761,34.48,1.09,-22.83
04/01/2017 00:00,NORTH,61755,10.15,-0.41,0.00
04/01/2017 00:00,NPX,61845,38.27,0.75,-26.95
04/01/2017 00:00,O H,61846,12.04,-0.10,-1.57
04/01/2017 00:00,PJM,61847,21.21,0.37,-10.28
04/01/2017 00:00,WEST,61752,12.24,0.15,-1.53
04/01/2017 01:00,CAPITL,61757,39.35,0.50,-28.28
04/01/2017 01:00,CENTRL,61754,12.11,0.15,-1.39
04/01/2017 01:00,DUNWOD,61760,31.90,0.97,-20.36
04/01/2017 01:00,GENESE,61753,11.58,-0.06,-1.06
04/01/2017 01:00,H Q,61844,10.26,-0.32,0.00
04/01/2017 01:00,HUD VL,61758,30.67,0.89,-19.20
04/01/2017 01:00,LONGIL,61762,32.30,1.36,-20.36
04/01/2017 01:00,MHK VL,61756,12.84,0.17,-2.10
04/01/2017 01:00,MILLWD,61759,32.02,0.97,-20.47
04/01/2017 01:00,N.Y.C.,61761,32.00,1.07,-20.35
04/01/2017 01:00,NORTH,61755,10.14,-0.43,0.00
04/01/2017 01:00,NPX,61845,35.30,0.76,-23.96
04/01/2017 01:00,O H,61846,11.89,-0.08,-1.40
