Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
06/03/2020 00:00,CAPITL,61757,18.64,0.26,-13.72
06/03/2020 00:00,CENTRL,61754,6.52,0.02,-1.84
06/03/2020 00:00,DUNWOD,61760,15.38,0.43,-10.29
06/03/2020 00:00,GENESE,61753,5.83,-0.16,-1.33
06/03/2020 00:00,H Q,61844,4.55,-0.11,0.00
06/03/2020 00:00,HUD VL,61758,15.19,0.37,-10.16
06/03/2020 00:00,LONGIL,61762,15.61,0.63,-10.32
06/03/2020 00:00,MHK VL,61756,6.44,0.09,-1.69
06/03/2020 00:00,MILLWD,61759,15.43,0.40,-10.38
06/03/2020 00:00,N.Y.C.,61761,15.42,0.47,-10.30
06/03/2020 00:00,NORTH,61755,4.52,-0.14,0.00
06/03/2020 00:00,NPX,61845,16.84,0.32,-11.87
06/03/2020 00:00,O H,61846,6.00,-0.28,-1.63
06/03/2020 00:00,PJM,61847,11.23,0.15,-6.43
06/03/2020 00:00,WEST,61752,6.21,-0.20,-1.75
06/03/2020 01:00,CAPITL,61757,17.32,0.25,-12.41
06/03/2020 01:00,CENTRL,61754,6.32,0.00,-1.67
06/03/2020 01:00,DUNWOD,61760,14.38,0.41,-9.31
06/03/2020 01:00,GENESE,61753,5.68,-0.18,-1.21
06/03/2020 01:00,H Q,61844,4.55,-0.10,0.00
06/03/2020 01:00,HUD VL,61758,14.21,0.36,-9.20
06/03/2020 01:00,LONGIL,61762,14.56,0.59,-9.32
06/03/2020 01:00,MHK VL,61756,6.26,0.08,-1.53
06/03/2020 01:00,MILLWD,61759,14.43,0.39,-9.39
06/03/2020 01:00,N.Y.C.,61761,14.42,0.45,-9.32
06/03/2020 01:00,NORTH,61755,4.52,-0.13,0.00
06/03/2020 01:00,NPX,61845,15.70,0.31,-10.74
06/03/2020 01:00,O H,61846,5.83,-0.29,-1.47
06/03/2020 01:00,PJM,61847,10.60,0.14,-5.81
06/03/2020 01:00,WEST,61752,6.02,-0.22,-1.58
06/03/2020 02:00,CAPITL,61757,16.16,0.25,-11.26
06/03/2020 02:00,CENTRL,61754,6.16,0.00,-1.51
06/03/2020 02:00,DUNWOD,61760,13.52,0.42,-8.45
06/03/2020 02:00,GENESE,61753,5.56,-0.19,-1.10
06/03/2020 02:00,H Q,61844,4.55,-0.10,0.00
06/03/2020 02:00,HUD VL,61758,13.36,0.36,-8.34
06/03/2020 02:00,LONGIL,61762,13.68,0.58,-8.45
06/03/2020 02:00,MHK VL,61756,6.12,0.08,-1.39
06/03/2020 02:00,MILLWD,61759,13.56,0.39,-8.52
06/03/2020 02:00,N.Y.C.,61761,13.56,0.45,-8.45
06/03/2020 02:00,NORTH,61755,4.52,-0.13,0.00
06/03/2020 02:00,NPX,61845,14.71,0.31,-9.74
06/03/2020 02:00,O H,61846,5.69,-0.30,-1.33
06/03/2020 02:00,PJM,61847,10.06,0.14,-5.27
06/03/2020 02:00,WEST,61752,5.86,-0.22,-1.44
06/03/2020 03:00,CAPITL,61757,16.08,0.25,-11.19
06/03/2020 03:00,CENTRL,61754,6.15,0.00,-1.50
06/03/2020 03:00,DUNWOD,61760,13.45,0.41,-8.39
06/03/2020 03:00,GENESE,61753,5.54,-0.20,-1.09
06/03/2020 03:00,H Q,61844,4.55,-0.10,0.00
06/03/2020 03:00,HUD VL,61758,13.29,0.36,-8.29
06/03/2020 03:00,LONGIL,61762,13.59,0.55,-8.40
06/03/2020 03:00,MHK VL,61756,6.11,0.08,-1.38
06/03/2020 03:00,MILLWD,61759,13.50,0.39,-8.46
06/03/2020 03:00,N.Y.C.,61761,13.49,0.44,-8.40
06/03/2020 03:00,NORTH,61755,4.52,-0.13,0.00
06/03/2020 03:00,NPX,61845,14.64,0.31,-9.68
06/03/2020 03:00,O H,61846,5.67,-0.31,-1.33
06/03/2020 03:00,PJM,61847,10.02,0.13,-5.24
06/03/2020 03:00,WEST,61752,5.84,-0.24,-1.43
06/03/2020 04:00,CAPITL,61757,15.64,0.26,-10.73
06/03/2020 04:00,CENTRL,61754,6.10,0.00,-1.44
06/03/2020 04:00,DUNWOD,61760,13.11,0.41,-8.05
06/03/2020 04:00,GENESE,61753,5.51,-0.19,-1.04
06/03/2020 04:00,H Q,61844,4.55,-0.10,0.00
06/03/2020 04:00,HUD VL,61758,12.96,0.36,-7.95
06/03/2020 04:00,LONGIL,61762,13.26,0.55,-8.05
06/03/2020 04:00,MHK VL,61756,6.05,0.08,-1.32
06/03/2020 04:00,MILLWD,61759,13.15,0.38,-8.12
06/03/2020 04:00,N.Y.C.,61761,13.15,0.44,-8.06
06/03/2020 04:00,NORTH,61755,4.52,-0.13,0.00
06/03/2020 04:00,NPX,61845,14.24,0.31,-9.28
06/03/2020 04:00,O H,61846,5.62,-0.30,-1.27
06/03/2020 04:00,PJM,61847,9.81,0.14,-5.03
06/03/2020 04:00,WEST,61752,5.80,-0.22,-1.37
06/03/2020 05:00,CAPITL,61757,16.04,0.25,-11.13
06/03/2020 05:00,CENTRL,61754,6.17,0.01,-1.50
06/03/2020 05:00,DUNWOD,61760,13.42,0.41,-8.35
06/03/2020 05:00,GENESE,61753,5.56,-0.18,-1.08
06/03/2020 05:00,H Q,61844,4.55,-0.11,0.00
06/03/2020 05:00,HUD VL,61758,13.26,0.36,-8.25
06/03/2020 05:00,LONGIL,61762,13.59,0.58,-8.36
06/03/2020 05:00,MHK VL,61756,6.12,0.09,-1.37
06/03/2020 05:00,MILLWD,61759,13.46,0.39,-8.42
