Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
06/08/2020 00:00,CAPITL,61757,16.63,0.48,-7.43
06/08/2020 00:00,CENTRL,61754,9.83,0.10,-1.01
06/08/2020 00:00,DUNWOD,61760,15.12,0.83,-5.57
06/08/2020 00:00,GENESE,61753,9.19,-0.23,-0.70
06/08/2020 00:00,H Q,61844,8.48,-0.24,0.00
06/08/2020 00:00,HUD VL,61758,14.95,0.75,-5.48
06/08/2020 00:00,LONGIL,61762,15.48,1.17,-5.59
06/08/2020 00:00,MHK VL,61756,9.87,0.21,-0.94
06/08/2020 00:00,MILLWD,61759,15.11,0.79,-5.61
06/08/2020 00:00,N.Y.C.,61761,15.21,0.92,-5.58
06/08/2020 00:00,NORTH,61755,8.41,-0.31,0.00
06/08/2020 00:00,NPX,61845,15.76,0.62,-6.42
06/08/2020 00:00,O H,61846,9.05,-0.51,-0.84
06/08/2020 00:00,PJM,61847,12.33,0.27,-3.34
06/08/2020 00:00,WEST,61752,9.35,-0.28,-0.91
06/08/2020 01:00,CAPITL,61757,16.05,0.34,-9.37
06/08/2020 01:00,CENTRL,61754,7.68,0.06,-1.28
06/08/2020 01:00,DUNWOD,61760,13.97,0.60,-7.02
06/08/2020 01:00,GENESE,61753,7.06,-0.16,-0.88
06/08/2020 01:00,H Q,61844,6.17,-0.17,0.00
06/08/2020 01:00,HUD VL,61758,13.79,0.55,-6.90
06/08/2020 01:00,LONGIL,61762,14.45,0.85,-7.26
06/08/2020 01:00,MHK VL,61756,7.67,0.14,-1.19
06/08/2020 01:00,MILLWD,61759,14.00,0.59,-7.07
06/08/2020 01:00,N.Y.C.,61761,14.05,0.67,-7.03
06/08/2020 01:00,NORTH,61755,6.13,-0.22,0.00
06/08/2020 01:00,NPX,61845,14.89,0.45,-8.09
06/08/2020 01:00,O H,61846,7.07,-0.34,-1.06
06/08/2020 01:00,PJM,61847,10.77,0.22,-4.21
06/08/2020 01:00,WEST,61752,7.32,-0.17,-1.14
06/08/2020 02:00,CAPITL,61757,16.07,0.32,-9.69
06/08/2020 02:00,CENTRL,61754,7.45,0.06,-1.32
06/08/2020 02:00,DUNWOD,61760,13.89,0.56,-7.26
06/08/2020 02:00,GENESE,61753,6.82,-0.16,-0.91
06/08/2020 02:00,H Q,61844,5.90,-0.16,0.00
06/08/2020 02:00,HUD VL,61758,13.71,0.50,-7.14
06/08/2020 02:00,LONGIL,61762,14.11,0.77,-7.27
06/08/2020 02:00,MHK VL,61756,7.43,0.13,-1.23
06/08/2020 02:00,MILLWD,61759,13.92,0.55,-7.31
06/08/2020 02:00,N.Y.C.,61761,13.96,0.63,-7.27
06/08/2020 02:00,NORTH,61755,5.87,-0.20,0.00
06/08/2020 02:00,NPX,61845,14.86,0.42,-8.37
06/08/2020 02:00,O H,61846,6.85,-0.32,-1.09
06/08/2020 02:00,PJM,61847,10.62,0.20,-4.35
06/08/2020 02:00,WEST,61752,7.08,-0.17,-1.18
06/08/2020 03:00,CAPITL,61757,15.62,0.29,-9.88
06/08/2020 03:00,CENTRL,61754,6.85,0.05,-1.35
06/08/2020 03:00,DUNWOD,61760,13.37,0.51,-7.41
06/08/2020 03:00,GENESE,61753,6.25,-0.14,-0.93
06/08/2020 03:00,H Q,61844,5.31,-0.15,0.00
06/08/2020 03:00,HUD VL,61758,13.20,0.46,-7.28
06/08/2020 03:00,LONGIL,61762,13.55,0.68,-7.41
06/08/2020 03:00,MHK VL,61756,6.83,0.11,-1.25
06/08/2020 03:00,MILLWD,61759,13.40,0.50,-7.45
06/08/2020 03:00,N.Y.C.,61761,13.44,0.57,-7.41
06/08/2020 03:00,NORTH,61755,5.28,-0.17,0.00
06/08/2020 03:00,NPX,61845,14.37,0.38,-8.53
06/08/2020 03:00,O H,61846,6.30,-0.27,-1.12
06/08/2020 03:00,PJM,61847,10.07,0.17,-4.44
06/08/2020 03:00,WEST,61752,6.52,-0.14,-1.21
06/08/2020 04:00,CAPITL,61757,16.13,0.28,-10.85
06/08/2020 04:00,CENTRL,61754,6.53,0.06,-1.48
06/08/2020 04:00,DUNWOD,61760,13.59,0.45,-8.14
06/08/2020 04:00,GENESE,61753,5.91,-0.11,-1.02
06/08/2020 04:00,H Q,61844,4.85,-0.14,0.00
06/08/2020 04:00,HUD VL,61758,13.41,0.41,-8.00
06/08/2020 04:00,LONGIL,61762,13.75,0.61,-8.14
06/08/2020 04:00,MHK VL,61756,6.48,0.11,-1.38
06/08/2020 04:00,MILLWD,61759,13.62,0.44,-8.19
06/08/2020 04:00,N.Y.C.,61761,13.65,0.51,-8.15
06/08/2020 04:00,NORTH,61755,4.81,-0.18,0.00
06/08/2020 04:00,NPX,61845,14.72,0.35,-9.38
06/08/2020 04:00,O H,61846,6.00,-0.22,-1.23
06/08/2020 04:00,PJM,61847,10.05,0.18,-4.88
06/08/2020 04:00,WEST,61752,6.22,-0.10,-1.32
06/08/2020 05:00,CAPITL,61757,16.10,0.28,-10.81
06/08/2020 05:00,CENTRL,61754,6.54,0.06,-1.47
06/08/2020 05:00,DUNWOD,61760,13.56,0.45,-8.11
06/08/2020 05:00,GENESE,61753,5.92,-0.11,-1.02
06/08/2020 05:00,H Q,61844,4.86,-0.14,0.00
06/08/2020 05:00,HUD VL,61758,13.37,0.40,-7.97
06/08/2020 05:00,LONGIL,61762,13.74,0.62,-8.11
06/08/2020 05:00,MHK VL,61756,6.49,0.12,-1.37
06/08/2020 05:00,MILLWD,61759,13.60,0.44,-8.15
06/08/2020 05:00,N.Y.C.,61761,13.62,0.50,-8.11
06/08/2020 05:00,NORTH,61755,4.82,-0.18,0.00
06/08/2020 05:00,NPX,61845,14.70,0.36,-9.34
06/08/2020 05:00,O H,61846,6.00,-0.23,-1.22
06/08/2020 05:00,PJM,61847,10.04,0.18,-4.86
06/08/2020 05:00,WEST,61752,6.23,-0.09,-1.32
06/08/2020 06:00,CAPITL,61757,15.08,0.48,-5.78
06/08/2020 06:00,CENTRL,61754,9.70,0.11,-0.78
06/08/2020 06:00,DUNWOD,61760,13.97,0.83,-4.33
06/08/2020 06:00,GENESE,61753,9.13,-0.22,-0.54
06/08/2020 06:00,H Q,61844,8.57,-0.24,0.00
06/08/2020 06:00,HUD VL,61758,13.79,0.71,-4.26
06/08/2020 06:00,LONGIL,61762,14.36,1.19,-4.36
06/08/2020 06:00,MHK VL,61756,9.76,0.24,-0.71
06/08/2020 06:00,MILLWD,61759,13.98,0.80,-4.36
06/08/2020 06:00,N.Y.C.,61761,14.06,0.92,-4.33
06/08/2020 06:00,NORTH,61755,8.51,-0.30,0.00
06/08/2020 06:00,NPX,61845,14.45,0.64,-4.99
06/08/2020 06:00,O H,61846,8.95,-0.51,-0.65
06/08/2020 06:00,PJM,61847,11.68,0.27,-2.59
06/08/2020 06:00,WEST,61752,9.27,-0.25,-0.70
06/08/2020 07:00,CAPITL,61757,14.40,0.60,-3.14
06/08/2020 07:00,CENTRL,61754,11.28,0.18,-0.44
06/08/2020 07:00,DUNWOD,61760,14.09,1.09,-2.34
06/08/2020 07:00,GENESE,61753,10.74,-0.26,-0.33
06/08/2020 07:00,H Q,61844,10.28,-0.32,0.06
06/08/2020 07:00,HUD VL,61758,13.86,0.90,-2.30
06/08/2020 07:00,LONGIL,61762,16.33,1.49,-4.17
06/08/2020 07:00,MHK VL,61756,11.32,0.31,-0.35
06/08/2020 07:00,MILLWD,61759,14.02,1.00,-2.36
06/08/2020 07:00,N.Y.C.,61761,14.22,1.20,-2.35
06/08/2020 07:00,NORTH,61755,10.00,-0.42,0.24
06/08/2020 07:00,NPX,61845,15.25,0.79,-3.80
06/08/2020 07:00,O H,61846,10.13,-0.55,-0.03
06/08/2020 07:00,PJM,61847,12.69,0.42,-1.62
06/08/2020 07:00,WEST,61752,11.76,-0.15,-1.25
06/08/2020 08:00,CAPITL,61757,13.85,0.79,-0.03
06/08/2020 08:00,CENTRL,61754,13.28,0.17,-0.09
06/08/2020 08:00,DUNWOD,61760,14.45,1.42,0.00
06/08/2020 08:00,GENESE,61753,12.61,-0.42,0.00
06/08/2020 08:00,H Q,61844,12.48,-0.39,0.16
06/08/2020 08:00,HUD VL,61758,14.17,1.16,0.01
06/08/2020 08:00,LONGIL,61762,18.80,1.86,-3.90
06/08/2020 08:00,MHK VL,61756,13.35,0.40,0.08
06/08/2020 08:00,MILLWD,61759,14.31,1.30,0.02
06/08/2020 08:00,N.Y.C.,61761,15.49,1.55,-0.91
06/08/2020 08:00,NORTH,61755,11.90,-0.50,0.64
06/08/2020 08:00,NPX,61845,16.05,1.02,-2.01
06/08/2020 08:00,O H,61846,10.56,-0.89,1.58
06/08/2020 08:00,PJM,61847,14.38,0.43,-0.92
06/08/2020 08:00,WEST,61752,16.76,-0.40,-4.14
06/08/2020 09:00,CAPITL,61757,14.27,0.81,-0.03
06/08/2020 09:00,CENTRL,61754,13.76,0.21,-0.12
06/08/2020 09:00,DUNWOD,61760,14.87,1.44,0.00
06/08/2020 09:00,GENESE,61753,13.11,-0.32,0.00
06/08/2020 09:00,H Q,61844,12.79,-0.43,0.21
06/08/2020 09:00,HUD VL,61758,14.60,1.18,0.01
06/08/2020 09:00,LONGIL,61762,18.85,1.92,-3.49
06/08/2020 09:00,MHK VL,61756,13.75,0.42,0.10
06/08/2020 09:00,MILLWD,61759,14.74,1.33,0.02
06/08/2020 09:00,N.Y.C.,61761,17.59,1.58,-2.58
06/08/2020 09:00,NORTH,61755,12.06,-0.52,0.85
06/08/2020 09:00,NPX,61845,16.16,1.03,-1.69
06/08/2020 09:00,O H,61846,10.55,-0.77,2.12
06/08/2020 09:00,PJM,61847,15.12,0.50,-1.19
06/08/2020 09:00,WEST,61752,18.75,-0.23,-5.54
06/08/2020 10:00,CAPITL,61757,14.09,0.76,-0.03
06/08/2020 10:00,CENTRL,61754,13.68,0.27,-0.12
06/08/2020 10:00,DUNWOD,61760,14.71,1.40,-0.01
06/08/2020 10:00,GENESE,61753,13.09,-0.21,0.00
06/08/2020 10:00,H Q,61844,12.67,-0.41,0.22
06/08/2020 10:00,HUD VL,61758,14.44,1.17,0.03
06/08/2020 10:00,LONGIL,61762,20.69,1.81,-5.58
06/08/2020 10:00,MHK VL,61756,13.62,0.41,0.10
06/08/2020 10:00,MILLWD,61759,14.55,1.29,0.04
06/08/2020 10:00,N.Y.C.,61761,19.06,1.54,-4.22
06/08/2020 10:00,NORTH,61755,11.91,-0.53,0.86
06/08/2020 10:00,NPX,61845,16.30,1.00,-2.00
06/08/2020 10:00,O H,61846,10.55,-0.61,2.14
06/08/2020 10:00,PJM,61847,15.25,0.53,-1.42
06/08/2020 10:00,WEST,61752,18.80,-0.09,-5.59
06/08/2020 11:00,CAPITL,61757,14.87,0.83,-0.06
06/08/2020 11:00,CENTRL,61754,14.40,0.28,-0.12
06/08/2020 11:00,DUNWOD,61760,15.50,1.51,0.00
06/08/2020 11:00,GENESE,61753,13.78,-0.21,0.00
06/08/2020 11:00,H Q,61844,13.18,-0.45,0.37
06/08/2020 11:00,HUD VL,61758,15.18,1.22,0.03
06/08/2020 11:00,LONGIL,61762,21.35,1.90,-5.46
06/08/2020 11:00,MHK VL,61756,14.28,0.45,0.16
06/08/2020 11:00,MILLWD,61759,15.32,1.37,0.04
06/08/2020 11:00,N.Y.C.,61761,20.52,1.64,-4.90
06/08/2020 11:00,NORTH,61755,11.96,-0.57,1.45
06/08/2020 11:00,NPX,61845,15.80,1.04,-0.77
06/08/2020 11:00,O H,61846,11.10,-0.66,2.24
06/08/2020 11:00,PJM,61847,16.14,0.56,-1.59
06/08/2020 11:00,WEST,61752,19.74,-0.11,-5.86
06/08/2020 12:00,CAPITL,61757,16.24,0.94,-0.20
06/08/2020 12:00,CENTRL,61754,15.60,0.35,-0.15
06/08/2020 12:00,DUNWOD,61760,16.74,1.63,0.00
06/08/2020 12:00,GENESE,61753,14.95,-0.15,0.00
06/08/2020 12:00,H Q,61844,13.30,-0.51,1.29
06/08/2020 12:00,HUD VL,61758,16.44,1.36,0.03
06/08/2020 12:00,LONGIL,61762,22.42,2.09,-5.23
06/08/2020 12:00,MHK VL,61756,15.02,0.50,0.58
06/08/2020 12:00,MILLWD,61759,16.59,1.53,0.04
06/08/2020 12:00,N.Y.C.,61761,21.05,1.78,-4.16
06/08/2020 12:00,NORTH,61755,9.37,-0.62,5.11
06/08/2020 12:00,NPX,61845,16.40,1.12,-0.18
06/08/2020 12:00,O H,61846,11.86,-0.60,2.64
06/08/2020 12:00,PJM,61847,17.52,0.65,-1.76
06/08/2020 12:00,WEST,61752,22.00,-0.02,-6.91
06/08/2020 13:00,CAPITL,61757,16.67,0.99,-0.24
06/08/2020 13:00,CENTRL,61754,15.96,0.34,-0.18
06/08/2020 13:00,DUNWOD,61760,17.11,1.67,0.00
06/08/2020 13:00,GENESE,61753,15.24,-0.20,0.00
06/08/2020 13:00,H Q,61844,13.30,-0.53,1.62
06/08/2020 13:00,HUD VL,61758,16.80,1.36,0.00
06/08/2020 13:00,LONGIL,61762,23.23,2.15,-5.64
06/08/2020 13:00,MHK VL,61756,15.27,0.53,0.70
06/08/2020 13:00,MILLWD,61759,16.99,1.54,0.00
06/08/2020 13:00,N.Y.C.,61761,22.30,1.82,-5.04
06/08/2020 13:00,NORTH,61755,8.64,-0.63,6.17
06/08/2020 13:00,NPX,61845,16.60,1.16,0.00
06/08/2020 13:00,O H,61846,11.51,-0.66,3.27
06/08/2020 13:00,PJM,61847,18.30,0.65,-2.21
06/08/2020 13:00,WEST,61752,23.91,-0.08,-8.55
06/08/2020 14:00,CAPITL,61757,17.54,1.07,-0.31
06/08/2020 14:00,CENTRL,61754,16.63,0.31,-0.16
06/08/2020 14:00,DUNWOD,61760,17.94,1.78,0.00
06/08/2020 14:00,GENESE,61753,15.81,-0.36,0.00
06/08/2020 14:00,H Q,61844,13.63,-0.53,2.00
06/08/2020 14:00,HUD VL,61758,17.62,1.47,0.01
06/08/2020 14:00,LONGIL,61762,24.95,2.21,-6.57
06/08/2020 14:00,MHK VL,61756,15.85,0.58,0.89
06/08/2020 14:00,MILLWD,61759,17.83,1.68,0.02
06/08/2020 14:00,N.Y.C.,61761,22.62,1.92,-4.54
06/08/2020 14:00,NORTH,61755,7.64,-0.63,7.89
06/08/2020 14:00,NPX,61845,17.38,1.21,0.00
06/08/2020 14:00,O H,61846,12.30,-0.94,2.92
06/08/2020 14:00,PJM,61847,18.75,0.61,-1.98
06/08/2020 14:00,WEST,61752,23.46,-0.36,-7.65
06/08/2020 15:00,CAPITL,61757,18.21,1.13,-0.44
06/08/2020 15:00,CENTRL,61754,17.07,0.28,-0.14
06/08/2020 15:00,DUNWOD,61760,18.51,1.86,0.00
06/08/2020 15:00,GENESE,61753,16.21,-0.43,0.00
06/08/2020 15:00,H Q,61844,13.30,-0.55,2.80
06/08/2020 15:00,HUD VL,61758,18.16,1.55,0.04
06/08/2020 15:00,LONGIL,61762,25.64,2.36,-6.63
06/08/2020 15:00,MHK VL,61756,15.98,0.58,1.25
06/08/2020 15:00,MILLWD,61759,18.37,1.78,0.05
06/08/2020 15:00,N.Y.C.,61761,24.01,2.00,-5.36
06/08/2020 15:00,NORTH,61755,4.93,-0.65,11.07
06/08/2020 15:00,NPX,61845,17.89,1.25,0.00
06/08/2020 15:00,O H,61846,13.00,-1.10,2.55
06/08/2020 15:00,PJM,61847,18.90,0.58,-1.67
06/08/2020 15:00,WEST,61752,22.13,-0.52,-6.00
06/08/2020 16:00,CAPITL,61757,19.40,1.22,-0.51
06/08/2020 16:00,CENTRL,61754,17.99,0.21,-0.11
06/08/2020 16:00,DUNWOD,61760,19.60,1.93,0.00
06/08/2020 16:00,GENESE,61753,17.27,-0.41,0.00
06/08/2020 16:00,H Q,61844,13.82,-0.57,3.28
06/08/2020 16:00,HUD VL,61758,19.28,1.61,0.00
06/08/2020 16:00,LONGIL,61762,28.24,2.47,-8.10
06/08/2020 16:00,MHK VL,61756,16.82,0.62,1.47
06/08/2020 16:00,MILLWD,61759,19.49,1.82,0.00
06/08/2020 16:00,N.Y.C.,61761,24.64,2.08,-4.89
06/08/2020 16:00,NORTH,61755,4.02,-0.67,12.98
06/08/2020 16:00,NPX,61845,19.00,1.33,0.00
06/08/2020 16:00,O H,61846,14.30,-1.18,2.19
06/08/2020 16:00,PJM,61847,19.71,0.57,-1.47
06/08/2020 16:00,WEST,61752,22.23,-0.57,-5.13
06/08/2020 17:00,CAPITL,61757,22.32,1.40,-0.61
06/08/2020 17:00,CENTRL,61754,20.70,0.28,-0.11
06/08/2020 17:00,DUNWOD,61760,22.52,2.21,0.00
06/08/2020 17:00,GENESE,61753,19.96,-0.35,0.00
06/08/2020 17:00,H Q,61844,15.30,-0.67,4.34
06/08/2020 17:00,HUD VL,61758,22.17,1.87,0.00
06/08/2020 17:00,LONGIL,61762,30.85,2.96,-7.58
06/08/2020 17:00,MHK VL,61756,19.32,0.77,1.76
06/08/2020 17:00,MILLWD,61759,22.40,2.09,0.00
06/08/2020 17:00,N.Y.C.,61761,25.51,2.39,-2.81
06/08/2020 17:00,NORTH,61755,3.97,-0.79,15.55
06/08/2020 17:00,NPX,61845,22.60,1.50,-0.79
06/08/2020 17:00,O H,61846,16.91,-1.24,2.16
06/08/2020 17:00,PJM,61847,22.28,0.69,-1.28
06/08/2020 17:00,WEST,61752,24.84,-0.53,-5.06
06/08/2020 18:00,CAPITL,61757,21.55,1.37,-0.26
06/08/2020 18:00,CENTRL,61754,20.26,0.28,-0.06
06/08/2020 18:00,DUNWOD,61760,22.01,2.09,0.00
06/08/2020 18:00,GENESE,61753,19.58,-0.34,0.00
06/08/2020 18:00,H Q,61844,15.30,-0.66,3.97
06/08/2020 18:00,HUD VL,61758,21.72,1.79,0.00
06/08/2020 18:00,LONGIL,61762,29.21,2.87,-6.41
06/08/2020 18:00,MHK VL,61756,19.90,0.72,0.74
06/08/2020 18:00,MILLWD,61759,21.91,1.99,0.00
06/08/2020 18:00,N.Y.C.,61761,23.64,2.31,-1.40
06/08/2020 18:00,NORTH,61755,12.64,-0.78,6.51
06/08/2020 18:00,NPX,61845,23.23,1.45,-1.85
06/08/2020 18:00,O H,61846,17.50,-1.22,1.21
06/08/2020 18:00,PJM,61847,21.28,0.66,-0.70
06/08/2020 18:00,WEST,61752,22.23,-0.52,-2.83
06/08/2020 19:00,CAPITL,61757,21.22,1.33,-0.40
06/08/2020 19:00,CENTRL,61754,19.85,0.31,-0.04
06/08/2020 19:00,DUNWOD,61760,21.58,2.09,0.00
06/08/2020 19:00,GENESE,61753,19.20,-0.29,0.00
06/08/2020 19:00,H Q,61844,15.30,-0.64,3.55
06/08/2020 19:00,HUD VL,61758,21.27,1.77,0.00
06/08/2020 19:00,LONGIL,61762,28.09,2.79,-5.81
06/08/2020 19:00,MHK VL,61756,19.03,0.68,1.15
06/08/2020 19:00,MILLWD,61759,21.44,1.95,0.00
06/08/2020 19:00,N.Y.C.,61761,22.25,2.26,-0.49
06/08/2020 19:00,NORTH,61755,8.57,-0.76,10.16
06/08/2020 19:00,NPX,61845,23.26,1.42,-2.34
06/08/2020 19:00,O H,61846,17.59,-1.09,0.81
06/08/2020 19:00,PJM,61847,20.59,0.68,-0.42
06/08/2020 19:00,WEST,61752,21.00,-0.41,-1.92
06/08/2020 20:00,CAPITL,61757,21.07,1.31,-0.52
06/08/2020 20:00,CENTRL,61754,19.59,0.31,-0.05
06/08/2020 20:00,DUNWOD,61760,21.24,2.00,0.00
06/08/2020 20:00,GENESE,61753,18.97,-0.27,0.00
06/08/2020 20:00,H Q,61844,15.30,-0.62,3.32
06/08/2020 20:00,HUD VL,61758,20.91,1.67,0.00
06/08/2020 20:00,LONGIL,61762,27.15,2.73,-5.18
06/08/2020 20:00,MHK VL,61756,18.44,0.69,1.49
06/08/2020 20:00,MILLWD,61759,21.13,1.89,0.00
06/08/2020 20:00,N.Y.C.,61761,21.94,2.19,-0.51
06/08/2020 20:00,NORTH,61755,5.34,-0.75,13.15
06/08/2020 20:00,NPX,61845,23.04,1.39,-2.41
06/08/2020 20:00,O H,61846,17.20,-1.12,0.92
06/08/2020 20:00,PJM,61847,20.37,0.65,-0.47
06/08/2020 20:00,WEST,61752,20.97,-0.44,-2.18
06/08/2020 21:00,CAPITL,61757,17.99,1.11,-0.35
06/08/2020 21:00,CENTRL,61754,16.84,0.28,-0.03
06/08/2020 21:00,DUNWOD,61760,18.23,1.70,0.00
06/08/2020 21:00,GENESE,61753,16.36,-0.17,0.00
06/08/2020 21:00,H Q,61844,13.76,-0.53,2.24
06/08/2020 21:00,HUD VL,61758,17.97,1.44,0.00
06/08/2020 21:00,LONGIL,61762,24.86,2.28,-6.05
06/08/2020 21:00,MHK VL,61756,16.10,0.58,1.00
06/08/2020 21:00,MILLWD,61759,18.12,1.59,0.00
06/08/2020 21:00,N.Y.C.,61761,18.40,1.85,-0.02
06/08/2020 21:00,NORTH,61755,7.00,-0.66,8.87
06/08/2020 21:00,NPX,61845,20.16,1.17,-2.45
06/08/2020 21:00,O H,61846,15.00,-0.84,0.69
06/08/2020 21:00,PJM,61847,17.45,0.59,-0.33
06/08/2020 21:00,WEST,61752,17.88,-0.27,-1.62
06/08/2020 22:00,CAPITL,61757,15.41,0.97,-0.19
06/08/2020 22:00,CENTRL,61754,14.36,0.10,-0.01
06/08/2020 22:00,DUNWOD,61760,15.73,1.48,0.00
06/08/2020 22:00,GENESE,61753,13.82,-0.43,0.00
06/08/2020 22:00,H Q,61844,12.61,-0.41,1.23
06/08/2020 22:00,HUD VL,61758,15.51,1.25,0.00
06/08/2020 22:00,LONGIL,61762,20.99,2.00,-4.74
06/08/2020 22:00,MHK VL,61756,14.14,0.44,0.55
06/08/2020 22:00,MILLWD,61759,15.63,1.38,0.00
06/08/2020 22:00,N.Y.C.,61761,15.89,1.62,-0.02
06/08/2020 22:00,NORTH,61755,8.84,-0.54,4.87
06/08/2020 22:00,NPX,61845,17.27,1.05,-1.96
06/08/2020 22:00,O H,61846,13.03,-1.05,0.17
06/08/2020 22:00,PJM,61847,14.73,0.40,-0.08
06/08/2020 22:00,WEST,61752,14.06,-0.58,-0.39
06/08/2020 23:00,CAPITL,61757,15.30,0.80,-1.98
06/08/2020 23:00,CENTRL,61754,12.85,0.09,-0.24
06/08/2020 23:00,DUNWOD,61760,15.27,1.28,-1.48
06/08/2020 23:00,GENESE,61753,12.39,-0.31,-0.19
06/08/2020 23:00,H Q,61844,12.17,-0.35,0.00
06/08/2020 23:00,HUD VL,61758,15.07,1.10,-1.45
06/08/2020 23:00,LONGIL,61762,18.93,1.75,-4.66
