"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/13/2020 00:00:00","EST","CAPITL",61757,1196
"02/13/2020 00:00:00","EST","CENTRL",61754,1677
"02/13/2020 00:00:00","EST","DUNWOD",61760,527.4
"02/13/2020 00:00:00","EST","GENESE",61753,978.4
"02/13/2020 00:00:00","EST","HUD VL",61758,909.5
"02/13/2020 00:00:00","EST","LONGIL",61762,1812.2
"02/13/2020 00:00:00","EST","MHK VL",61756,867.5
"02/13/2020 00:00:00","EST","MILLWD",61759,275.1
"02/13/2020 00:00:00","EST","N.Y.C.",61761,4763.4
"02/13/2020 00:00:00","EST","NORTH",61755,608.4
"02/13/2020 00:00:00","EST","WEST",61752,1569.1
"02/13/2020 01:00:00","EST","CAPITL",61757,1176.6
"02/13/2020 01:00:00","EST","CENTRL",61754,1657.5
"02/13/2020 01:00:00","EST","DUNWOD",61760,508.2
"02/13/2020 01:00:00","EST","GENESE",61753,972.3
"02/13/2020 01:00:00","EST","HUD VL",61758,876
"02/13/2020 01:00:00","EST","LONGIL",61762,1740.4
"02/13/2020 01:00:00","EST","MHK VL",61756,848.5
"02/13/2020 01:00:00","EST","MILLWD",61759,273.1
"02/13/2020 01:00:00","EST","N.Y.C.",61761,4562.8
"02/13/2020 01:00:00","EST","NORTH",61755,602.4
"02/13/2020 01:00:00","EST","WEST",61752,1533.8
"02/13/2020 02:00:00","EST","CAPITL",61757,1172.1
"02/13/2020 02:00:00","EST","CENTRL",61754,1633.8
"02/13/2020 02:00:00","EST","DUNWOD",61760,500.3
"02/13/2020 02:00:00","EST","GENESE",61753,952.3
"02/13/2020 02:00:00","EST","HUD VL",61758,858.7
"02/13/2020 02:00:00","EST","LONGIL",61762,1699.2
"02/13/2020 02:00:00","EST","MHK VL",61756,851.4
"02/13/2020 02:00:00","EST","MILLWD",61759,269.2
"02/13/2020 02:00:00","EST","N.Y.C.",61761,4445.8
"02/13/2020 02:00:00","EST","NORTH",61755,577.3
"02/13/2020 02:00:00","EST","WEST",61752,1522.6
"02/13/2020 03:00:00","EST","CAPITL",61757,1168.2
"02/13/2020 03:00:00","EST","CENTRL",61754,1630.8
"02/13/2020 03:00:00","EST","DUNWOD",61760,490.1
"02/13/2020 03:00:00","EST","GENESE",61753,953.8
"02/13/2020 03:00:00","EST","HUD VL",61758,860.4
"02/13/2020 03:00:00","EST","LONGIL",61762,1690.9
"02/13/2020 03:00:00","EST","MHK VL",61756,844
"02/13/2020 03:00:00","EST","MILLWD",61759,264.3
"02/13/2020 03:00:00","EST","N.Y.C.",61761,4401.6
"02/13/2020 03:00:00","EST","NORTH",61755,589.2
"02/13/2020 03:00:00","EST","WEST",61752,1515.4
"02/13/2020 04:00:00","EST","CAPITL",61757,1187.7
"02/13/2020 04:00:00","EST","CENTRL",61754,1661.9
"02/13/2020 04:00:00","EST","DUNWOD",61760,497.6
"02/13/2020 04:00:00","EST","GENESE",61753,980.6
"02/13/2020 04:00:00","EST","HUD VL",61758,872.7
"02/13/2020 04:00:00","EST","LONGIL",61762,1730.1
"02/13/2020 04:00:00","EST","MHK VL",61756,854.6
"02/13/2020 04:00:00","EST","MILLWD",61759,274.3
"02/13/2020 04:00:00","EST","N.Y.C.",61761,4440.8
"02/13/2020 04:00:00","EST","NORTH",61755,566
"02/13/2020 04:00:00","EST","WEST",61752,1536.5
"02/13/2020 05:00:00","EST","CAPITL",61757,1265
"02/13/2020 05:00:00","EST","CENTRL",61754,1774.6
"02/13/2020 05:00:00","EST","DUNWOD",61760,539.4
"02/13/2020 05:00:00","EST","GENESE",61753,1054.1
"02/13/2020 05:00:00","EST","HUD VL",61758,932.5
"02/13/2020 05:00:00","EST","LONGIL",61762,1851
"02/13/2020 05:00:00","EST","MHK VL",61756,922
"02/13/2020 05:00:00","EST","MILLWD",61759,285.3
"02/13/2020 05:00:00","EST","N.Y.C.",61761,4668.9
"02/13/2020 05:00:00","EST","NORTH",61755,580
"02/13/2020 05:00:00","EST","WEST",61752,1611.2
"02/13/2020 06:00:00","EST","CAPITL",61757,1397.1
"02/13/2020 06:00:00","EST","CENTRL",61754,1960.8
"02/13/2020 06:00:00","EST","DUNWOD",61760,609
"02/13/2020 06:00:00","EST","GENESE",61753,1162.5
"02/13/2020 06:00:00","EST","HUD VL",61758,1024.7
"02/13/2020 06:00:00","EST","LONGIL",61762,2071.6
"02/13/2020 06:00:00","EST","MHK VL",61756,1028.4
"02/13/2020 06:00:00","EST","MILLWD",61759,326.6
"02/13/2020 06:00:00","EST","N.Y.C.",61761,5190.2
"02/13/2020 06:00:00","EST","NORTH",61755,609.6
"02/13/2020 06:00:00","EST","WEST",61752,1752.8
"02/13/2020 07:00:00","EST","CAPITL",61757,1470.7
"02/13/2020 07:00:00","EST","CENTRL",61754,2042.4
"02/13/2020 07:00:00","EST","DUNWOD",61760,667.6
"02/13/2020 07:00:00","EST","GENESE",61753,1222.6
"02/13/2020 07:00:00","EST","HUD VL",61758,1079.2
"02/13/2020 07:00:00","EST","LONGIL",61762,2222.4
"02/13/2020 07:00:00","EST","MHK VL",61756,1056.1
"02/13/2020 07:00:00","EST","MILLWD",61759,349.7
"02/13/2020 07:00:00","EST","N.Y.C.",61761,5693.5
"02/13/2020 07:00:00","EST","NORTH",61755,618.2
"02/13/2020 07:00:00","EST","WEST",61752,1817.2
"02/13/2020 08:00:00","EST","CAPITL",61757,1513.9
"02/13/2020 08:00:00","EST","CENTRL",61754,2040.6
"02/13/2020 08:00:00","EST","DUNWOD",61760,681.7
"02/13/2020 08:00:00","EST","GENESE",61753,1236.5
"02/13/2020 08:00:00","EST","HUD VL",61758,1099.8
"02/13/2020 08:00:00","EST","LONGIL",61762,2293.2
"02/13/2020 08:00:00","EST","MHK VL",61756,1049.1
"02/13/2020 08:00:00","EST","MILLWD",61759,356.4
"02/13/2020 08:00:00","EST","N.Y.C.",61761,6011.6
"02/13/2020 08:00:00","EST","NORTH",61755,619
"02/13/2020 08:00:00","EST","WEST",61752,1843.1
"02/13/2020 09:00:00","EST","CAPITL",61757,1499
