"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"05/07/2020 00:00:00","EDT","CAPITL",61757,979.3
"05/07/2020 00:00:00","EDT","CENTRL",61754,1385.9
"05/07/2020 00:00:00","EDT","DUNWOD",61760,480.1
"05/07/2020 00:00:00","EDT","GENESE",61753,884.8
"05/07/2020 00:00:00","EDT","HUD VL",61758,787.4
"05/07/2020 00:00:00","EDT","LONGIL",61762,1669.2
"05/07/2020 00:00:00","EDT","MHK VL",61756,692
"05/07/2020 00:00:00","EDT","MILLWD",61759,244.6
"05/07/2020 00:00:00","EDT","N.Y.C.",61761,4105.1
"05/07/2020 00:00:00","EDT","NORTH",61755,470.1
"05/07/2020 00:00:00","EDT","WEST",61752,1394
"05/07/2020 01:00:00","EDT","CAPITL",61757,964.4
"05/07/2020 01:00:00","EDT","CENTRL",61754,1355.4
"05/07/2020 01:00:00","EDT","DUNWOD",61760,453.6
"05/07/2020 01:00:00","EDT","GENESE",61753,866.7
"05/07/2020 01:00:00","EDT","HUD VL",61758,758.4
"05/07/2020 01:00:00","EDT","LONGIL",61762,1593
"05/07/2020 01:00:00","EDT","MHK VL",61756,671.2
"05/07/2020 01:00:00","EDT","MILLWD",61759,231.6
"05/07/2020 01:00:00","EDT","N.Y.C.",61761,3955.5
"05/07/2020 01:00:00","EDT","NORTH",61755,466.2
"05/07/2020 01:00:00","EDT","WEST",61752,1361.5
"05/07/2020 02:00:00","EDT","CAPITL",61757,953.5
"05/07/2020 02:00:00","EDT","CENTRL",61754,1343.7
"05/07/2020 02:00:00","EDT","DUNWOD",61760,438.2
"05/07/2020 02:00:00","EDT","GENESE",61753,853.7
"05/07/2020 02:00:00","EDT","HUD VL",61758,745.2
"05/07/2020 02:00:00","EDT","LONGIL",61762,1549.4
"05/07/2020 02:00:00","EDT","MHK VL",61756,663.7
"05/07/2020 02:00:00","EDT","MILLWD",61759,226.6
"05/07/2020 02:00:00","EDT","N.Y.C.",61761,3842.8
"05/07/2020 02:00:00","EDT","NORTH",61755,466
"05/07/2020 02:00:00","EDT","WEST",61752,1343.7
"05/07/2020 03:00:00","EDT","CAPITL",61757,947.6
"05/07/2020 03:00:00","EDT","CENTRL",61754,1347.7
"05/07/2020 03:00:00","EDT","DUNWOD",61760,424.6
"05/07/2020 03:00:00","EDT","GENESE",61753,852.5
