"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/08/2020 00:00:00","EDT","CAPITL",61757,1104.8
"06/08/2020 00:00:00","EDT","CENTRL",61754,1358.4
"06/08/2020 00:00:00","EDT","DUNWOD",61760,540
"06/08/2020 00:00:00","EDT","GENESE",61753,857.4
"06/08/2020 00:00:00","EDT","HUD VL",61758,805.7
"06/08/2020 00:00:00","EDT","LONGIL",61762,1860.3
"06/08/2020 00:00:00","EDT","MHK VL",61756,634
"06/08/2020 00:00:00","EDT","MILLWD",61759,231.5
"06/08/2020 00:00:00","EDT","N.Y.C.",61761,4635.7
"06/08/2020 00:00:00","EDT","NORTH",61755,481.3
"06/08/2020 00:00:00","EDT","WEST",61752,1316.3
"06/08/2020 01:00:00","EDT","CAPITL",61757,1070.3
"06/08/2020 01:00:00","EDT","CENTRL",61754,1316
"06/08/2020 01:00:00","EDT","DUNWOD",61760,512.4
"06/08/2020 01:00:00","EDT","GENESE",61753,832.3
"06/08/2020 01:00:00","EDT","HUD VL",61758,761.6
"06/08/2020 01:00:00","EDT","LONGIL",61762,1749.3
"06/08/2020 01:00:00","EDT","MHK VL",61756,611.8
"06/08/2020 01:00:00","EDT","MILLWD",61759,221
"06/08/2020 01:00:00","EDT","N.Y.C.",61761,4418
"06/08/2020 01:00:00","EDT","NORTH",61755,478.3
"06/08/2020 01:00:00","EDT","WEST",61752,1291.5
"06/08/2020 02:00:00","EDT","CAPITL",61757,1051
"06/08/2020 02:00:00","EDT","CENTRL",61754,1297
"06/08/2020 02:00:00","EDT","DUNWOD",61760,489.6
"06/08/2020 02:00:00","EDT","GENESE",61753,813.2
"06/08/2020 02:00:00","EDT","HUD VL",61758,733.9
"06/08/2020 02:00:00","EDT","LONGIL",61762,1676.9
"06/08/2020 02:00:00","EDT","MHK VL",61756,595.5
"06/08/2020 02:00:00","EDT","MILLWD",61759,206.3
"06/08/2020 02:00:00","EDT","N.Y.C.",61761,4258.4
"06/08/2020 02:00:00","EDT","NORTH",61755,474.4
"06/08/2020 02:00:00","EDT","WEST",61752,1265.9
"06/08/2020 03:00:00","EDT","CAPITL",61757,1037.3
"06/08/2020 03:00:00","EDT","CENTRL",61754,1288.2
"06/08/2020 03:00:00","EDT","DUNWOD",61760,475.4
"06/08/2020 03:00:00","EDT","GENESE",61753,801.1
"06/08/2020 03:00:00","EDT","HUD VL",61758,717.6
"06/08/2020 03:00:00","EDT","LONGIL",61762,1641.4
"06/08/2020 03:00:00","EDT","MHK VL",61756,590.5
"06/08/2020 03:00:00","EDT","MILLWD",61759,200.4
"06/08/2020 03:00:00","EDT","N.Y.C.",61761,4165.9
"06/08/2020 03:00:00","EDT","NORTH",61755,473.7
"06/08/2020 03:00:00","EDT","WEST",61752,1237.9
"06/08/2020 04:00:00","EDT","CAPITL",61757,1049.9
"06/08/2020 04:00:00","EDT","CENTRL",61754,1282.5
"06/08/2020 04:00:00","EDT","DUNWOD",61760,471.6
"06/08/2020 04:00:00","EDT","GENESE",61753,808.8
"06/08/2020 04:00:00","EDT","HUD VL",61758,716.5
"06/08/2020 04:00:00","EDT","LONGIL",61762,1646.1
"06/08/2020 04:00:00","EDT","MHK VL",61756,599.2
"06/08/2020 04:00:00","EDT","MILLWD",61759,199.9
"06/08/2020 04:00:00","EDT","N.Y.C.",61761,4134.2
"06/08/2020 04:00:00","EDT","NORTH",61755,478.4
"06/08/2020 04:00:00","EDT","WEST",61752,1250.1
"06/08/2020 05:00:00","EDT","CAPITL",61757,1083.1
"06/08/2020 05:00:00","EDT","CENTRL",61754,1334
"06/08/2020 05:00:00","EDT","DUNWOD",61760,477.1
"06/08/2020 05:00:00","EDT","GENESE",61753,835.9
"06/08/2020 05:00:00","EDT","HUD VL",61758,729.9
"06/08/2020 05:00:00","EDT","LONGIL",61762,1669.9
