datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Coal,9031.6,0.13,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Gas,25354.9,0.37,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Hydro,1295.1,0.02,True
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Multiple Fuels,61.6,0.00,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Nuclear,27141.1,0.40,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Oil,207.7,0.00,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Other,35.3,0.00,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Other Renewables,492.9,0.01,True
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Solar,1.1,0.00,True
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Storage,0.0,0.00,False
4/13/2020 3:00:00 AM,4/12/2020 11:00:00 PM,Wind,4069.6,0.06,True
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Coal,9968.4,0.14,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Gas,27492.9,0.39,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Hydro,1322.7,0.02,True
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Multiple Fuels,650.0,0.01,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Nuclear,27117.6,0.38,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Oil,212.5,0.00,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Other,35.9,0.00,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Other Renewables,495.1,0.01,True
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Solar,1.1,0.00,True
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Storage,0.0,0.00,False
4/13/2020 2:00:00 AM,4/12/2020 10:00:00 PM,Wind,3615.0,0.05,True
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Coal,10725.9,0.14,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Gas,29140.3,0.39,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Hydro,1607.5,0.02,True
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Multiple Fuels,705.2,0.01,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Nuclear,27115.7,0.37,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Oil,209.7,0.00,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Other,35.8,0.00,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Other Renewables,499.1,0.01,True
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Solar,1.1,0.00,True
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Storage,0.0,0.00,False
4/13/2020 1:00:00 AM,4/12/2020 9:00:00 PM,Wind,4058.8,0.05,True
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Coal,10790.6,0.14,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Gas,29333.0,0.39,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Hydro,2260.9,0.03,True
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Multiple Fuels,717.9,0.01,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Nuclear,27101.0,0.36,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Oil,209.9,0.00,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Other,35.0,0.00,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Other Renewables,497.0,0.01,True
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Solar,1.1,0.00,True
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Storage,0.0,0.00,False
4/13/2020 12:00:00 AM,4/12/2020 8:00:00 PM,Wind,4890.2,0.06,True
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Coal,9554.0,0.13,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Gas,28657.6,0.39,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Hydro,2310.5,0.03,True
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Multiple Fuels,703.5,0.01,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Nuclear,27099.9,0.37,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Oil,204.7,0.00,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Other,33.1,0.00,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Other Renewables,497.5,0.01,True
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Solar,1.1,0.00,True
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Storage,0.0,0.00,False
4/12/2020 11:00:00 PM,4/12/2020 7:00:00 PM,Wind,4994.0,0.07,True
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Coal,9360.9,0.13,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Gas,28277.1,0.38,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Hydro,2364.4,0.03,True
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Multiple Fuels,700.8,0.01,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Nuclear,27082.9,0.37,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Oil,205.6,0.00,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Other,34.2,0.00,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Other Renewables,494.6,0.01,True
