datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,AE,AECO,695.361,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,AEP,AEPAPT,2982.938,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2082.979,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,AEP,AEPKPT,405.307,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,AEP,AEPOPT,4434.861,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,AP,AP,3993.575,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,BC,BC,2385.148,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,CE,CE,7520.798,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,DAY,DAY,1241.227,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,DEOK,DEOK,1983.490,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,8021.617,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1321.153,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,DUQ,DUQ,1022.886,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,DPL,EASTON,17.569,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,SERC,WEST,EKPC,EKPC,958.356,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,JC,JC,1684.495,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,ME,ME,1154.092,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,ATSI,OE,4674.479,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,OVEC,OVEC,28.000,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,WEST,ATSI,PAPWR,354.839,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PE,PE,2998.004,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,1948.132,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PL,PLCO,3002.331,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PN,PN,1379.876,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PS,PS,3442.108,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,RECO,RECO,108.381,False
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PEP,SMECO,245.780,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,PL,UGI,77.945,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RFC,MIDATL,AE,VMEU,52.412,True
4/13/2020 4:00:00 AM,4/13/2020 12:00:00 AM,RTO,RTO,RTO,RTO,60218.139,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,671.850,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,AEP,AEPAPT,2908.922,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2087.095,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,AEP,AEPKPT,409.038,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,AEP,AEPOPT,4299.338,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,AP,AP,3925.198,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,BC,BC,2298.497,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,CE,CE,7357.482,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,DAY,DAY,1212.232,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,DEOK,DEOK,1928.218,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,SERC,SOUTH,DOM,DOM,7750.039,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1279.719,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,DUQ,DUQ,1004.266,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,DPL,EASTON,17.073,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,SERC,WEST,EKPC,EKPC,912.882,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,JC,JC,1611.905,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,ME,ME,1120.715,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,ATSI,OE,4564.567,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,WEST,ATSI,PAPWR,343.591,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PE,PE,2913.188,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,1860.661,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PL,PLCO,2926.811,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PN,PN,1351.924,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PS,PS,3334.854,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,RECO,RECO,104.441,False
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PEP,SMECO,231.645,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,PL,UGI,74.762,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RFC,MIDATL,AE,VMEU,50.983,True
4/13/2020 5:00:00 AM,4/13/2020 1:00:00 AM,RTO,RTO,RTO,RTO,58583.896,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,AE,AECO,658.662,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,AEP,AEPAPT,2888.688,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2085.671,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,AEP,AEPKPT,411.604,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,AEP,AEPOPT,4215.409,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,AP,AP,3885.129,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,BC,BC,2249.959,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,CE,CE,7220.050,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,DAY,DAY,1194.223,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,DEOK,DEOK,1895.203,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,SERC,SOUTH,DOM,DOM,7579.671,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1259.271,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,DUQ,DUQ,1000.700,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,DPL,EASTON,17.102,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,SERC,WEST,EKPC,EKPC,820.271,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,JC,JC,1584.679,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,ME,ME,1115.120,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,ATSI,OE,4507.739,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,OVEC,OVEC,34.000,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,WEST,ATSI,PAPWR,339.816,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PE,PE,2853.512,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1819.431,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PL,PLCO,2906.325,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PN,PN,1335.080,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PS,PS,3268.934,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,RECO,RECO,102.989,False
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PEP,SMECO,223.997,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,PL,UGI,74.120,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RFC,MIDATL,AE,VMEU,50.165,True
4/13/2020 6:00:00 AM,4/13/2020 2:00:00 AM,RTO,RTO,RTO,RTO,57597.520,False
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,MIDATL,AE,AECO,652.429,False
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,WEST,AEP,AEPAPT,2860.331,True
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2042.249,True
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,WEST,AEP,AEPKPT,384.946,True
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,WEST,AEP,AEPOPT,4180.244,True
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,WEST,AP,AP,3856.813,True
4/13/2020 7:00:00 AM,4/13/2020 3:00:00 AM,RFC,MIDATL,BC,BC,2221.252,False
