datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,AE,AECO,1039.068,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3763.263,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3043.940,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,AEP,AEPKPT,562.714,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6327.215,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,AP,AP,4779.918,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,BC,BC,3402.092,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,CE,CE,12218.092,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,DAY,DAY,1940.585,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,DEOK,DEOK,3247.502,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,SERC,SOUTH,DOM,DOM,10645.184,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1877.929,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,DUQ,DUQ,1546.326,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,DPL,EASTON,24.229,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,SERC,WEST,EKPC,EKPC,1333.438,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,JC,JC,2395.851,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,ME,ME,1631.216,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,ATSI,OE,6733.902,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,OVEC,OVEC,28.000,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,WEST,ATSI,PAPWR,457.877,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PE,PE,4315.515,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2788.410,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PL,PLCO,4142.636,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PN,PN,1778.617,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PS,PS,4950.671,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,RECO,RECO,163.389,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PEP,SMECO,334.300,True
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,PL,UGI,106.926,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RFC,MIDATL,AE,VMEU,74.197,False
7/2/2020 4:00:00 AM,7/2/2020 12:00:00 AM,RTO,RTO,RTO,RTO,85653.002,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,MIDATL,AE,AECO,963.911,False
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3522.012,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2864.597,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,WEST,AEP,AEPKPT,529.595,True
7/2/2020 5:00:00 AM,7/2/2020 1:00:00 AM,RFC,WEST,AEP,AEPOPT,5875.114,True
