GMT MKT Interval, Coal Market, Coal Self, Diesel Fuel Oil Market, Diesel Fuel Oil Self, Hydro Market, Hydro Self, Natural Gas Market, Natural Gas Self, Nuclear Market, Nuclear Self, Solar Market, Solar Self, Waste Disposal Services Market, Waste Disposal Services Self, Wind Market, Wind Self, Waste Heat Market, Waste Heat Self, Other Market, Other Self, Load
2021-01-01T06:00:00Z,6155.50,4181.70,0.00,0.00,35.00,284.50,3898.30,906.50,0.00,2034.90,0.00,0.00,0.00,10.60,0.00,13588.20,0.00,0.00,0.00,28.60,29536.106
2021-01-01T06:05:00Z,6192.50,4226.20,0.00,0.00,34.70,286.10,3856.00,926.00,0.00,2034.70,0.00,0.00,0.00,10.90,0.00,13533.10,0.00,0.00,0.00,28.40,29527.813
2021-01-01T06:10:00Z,6238.20,4232.60,0.00,0.00,33.90,285.10,3901.90,884.20,0.00,2034.60,0.00,0.00,0.00,10.80,0.00,13436.30,0.00,0.00,0.00,28.50,29463.581
2021-01-01T06:15:00Z,6279.40,4265.10,0.00,0.00,33.50,283.50,3865.90,895.40,0.00,2034.80,0.00,0.00,0.00,10.70,0.00,13367.00,0.00,0.00,0.00,28.50,29364.982
2021-01-01T06:20:00Z,6303.10,4249.40,0.00,0.00,33.60,285.90,3826.90,874.90,0.00,2031.60,0.00,0.00,0.00,11.10,0.00,13367.00,0.00,0.00,0.00,28.40,29367.888
2021-01-01T06:25:00Z,6333.60,4263.70,0.00,0.00,33.00,283.30,3779.40,868.20,0.00,2033.10,0.00,0.00,0.00,10.80,0.00,13350.80,0.00,0.00,0.00,28.50,29352.684
2021-01-01T06:30:00Z,6364.80,4235.60,0.00,0.00,33.10,285.50,3775.90,857.00,0.00,2034.50,0.00,0.00,0.00,11.00,0.00,13358.10,0.00,0.00,0.00,28.60,29309.757
2021-01-01T06:35:00Z,6350.90,4156.30,0.00,0.00,32.70,283.50,3765.70,849.10,0.00,2034.00,0.00,0.00,0.00,10.70,0.00,13398.80,0.00,0.00,0.00,28.60,29137.375
2021-01-01T06:40:00Z,6303.20,4098.20,0.00,0.00,32.80,285.10,3764.10,851.90,0.00,2035.20,0.00,0.00,0.00,10.90,0.00,13393.60,0.00,0.00,0.00,25.80,29172.211
2021-01-01T06:45:00Z,6229.50,4062.90,0.00,0.00,32.60,284.00,3740.80,826.00,0.00,2034.90,0.00,0.00,0.00,10.80,0.00,13468.50,0.00,0.00,0.00,25.70,29081.666
2021-01-01T06:50:00Z,6189.70,4028.20,0.00,0.00,32.80,284.50,3720.80,839.50,0.00,2035.20,0.00,0.00,0.00,10.80,0.00,13456.80,0.00,0.00,0.00,25.70,29136.297
2021-01-01T06:55:00Z,6145.00,3996.40,0.00,0.00,32.50,284.80,3679.50,842.70,0.00,2034.90,0.00,0.00,0.00,10.90,0.00,13430.50,0.00,0.00,0.00,25.50,29132.206
