Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
06/08/2020 01:00:00,06/08/2020 06:00:00,AEC,SOUC,11.9312,0.4415,1.4269,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_CSWS,CSWS_AECC_LA,14.0847,0.4957,3.5262,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,13.8233,0.2859,3.4745,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,15.1901,0.4704,4.6569,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,13.6792,0.1869,3.4295,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,12.6659,0.6034,1.9997,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,15.2205,0.2085,4.9492,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,12.5373,0.5394,1.9350,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,AECI,AECI,12.6017,0.2549,2.2840,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AEPM_CSWS,CSWS_LA,12.7545,0.4510,2.2407,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,ALTW,MISO,9.1392,0.1722,-1.0958,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,AMRN,MISO,9.1392,0.1722,-1.0958,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,11.8128,0.1075,1.6425,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BBA,MISO,9.1392,0.1722,-1.0958,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BCA,MISO,9.1392,0.1722,-1.0958,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,0.6158,-0.4682,-8.9789,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,3.0900,-0.9561,-6.0168,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,BLKW,BLKW,12.6604,0.4122,2.1853,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,6.9322,-0.6427,-2.4879,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,7.6752,-0.1796,-2.2080,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,6.9512,-0.6237,-2.4879,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BRAZ,MISO,9.1392,0.1722,-1.0958,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BUBA,MISO,9.1392,0.1722,-1.0958,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,-0.1688,-1.1892,-9.0425,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,5.6496,-0.4035,-4.0097,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,5.6496,-0.4035,-4.0097,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,5.6496,-0.4035,-4.0097,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,5.6496,-0.4035,-4.0097,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,5.6496,-0.4035,-4.0097,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,-2.0666,-0.6279,-11.5016,10.0629
06/08/2020 01:00:00,06/08/2020 06:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,14.4020,-0.1767,4.5159,10.0628
06/08/2020 01:00:00,06/08/2020 06:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,14.4020,-0.1767,4.5159,10.0628
