Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
08/06/2020 01:00:00,08/06/2020 06:00:00,AEC,SOUC,14.6963,0.2306,0.0057,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_CSWS,CSWS_AECC_LA,14.7700,0.2578,0.0522,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_ELKINS,CSWSELKINSUNELKINS_RA,14.5946,0.0721,0.0625,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_FITZHUGH,CSWSFITZHUGHPLT1,14.7948,0.2922,0.0426,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_FLTCREEK,CSWSFLINTCRKUN1_JOU_AECC_RA,14.4476,-0.0748,0.0624,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_FULTON,CSWSFULTON_CUNFULT_RA,14.6853,0.1832,0.0421,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_HYDRO13,CSWSLD13UN1_RA,14.1673,-0.3408,0.0481,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECC_JWTURK,CSWSTURK_PPUNTURK_AECC_RA,14.5974,0.0909,0.0465,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AECI,AECI,14.6678,0.1627,0.0451,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AEPM_CSWS,CSWS_LA,14.6842,0.1687,0.0555,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,ALTW,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,AMRN,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,ANTELOPE,SPSANTELOPEUNANT1_RA,14.7403,0.1877,0.0926,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BBA,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BCA,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BEPM_RM_NPPD,NPPD_BEPM_RUSHMORE_LA,15.7600,0.7664,0.5337,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,BEPM_TS_NPPD,NPPD_BEPM_TRISTATE_LA,14.2948,-0.4698,0.3046,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BLKW,BLKW,15.1840,0.6300,0.0940,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BLUECANYON2,WFECBLUCAN14UNUN2_BLUCAN14_RA,14.0567,-0.4822,0.0789,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BLUECANYON5,WFECCHERRYRDUNBLUCAN5_WND_RA,14.1607,-0.3781,0.0788,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BLUECANYON6,WFECSLCKHILSUNBLUCAN6_WIND_RA,14.0567,-0.4822,0.0789,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BRAZ,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BUBA,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,BUFFALO_DUNES_WIND,SPSFINNEY1UNBUFFDUNE_WIND_RA,13.3479,-1.2508,0.1387,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CANADIAN_HILLS_1,OKGECIMARRONUNCANADN1_WIND_RA,14.0545,-0.4858,0.0804,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,CANADIAN_HILLS_2,OKGECIMARRONUNCANADN2_WIND_RA,14.0545,-0.4858,0.0804,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,CANADIAN_HILLS_3,GRDACMRN_GRDLDCANADN3_WIND_RA,14.0545,-0.4858,0.0804,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,CANADIAN_HILLS_4,OKGECIMARRONUNCANADN4_WIND_RA,14.0545,-0.4858,0.0804,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,CANADIAN_HILLS_5,OKGECIMARRONUNCANADN5_WIND_RA,14.0545,-0.4858,0.0804,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,CANEY_RIVER_WINDPOWER,WRCAN_RIVRUNCANEY_WIND_RA,13.9529,-0.5931,0.0860,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CASS_CO_1,OPPDCASSCNTYUN1_RA,14.5379,-0.0574,0.1353,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CASS_CO_2,OPPDCASSCNTYUN2_RA,14.5379,-0.0574,0.1353,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CLEC,MISO,14.4388,0.0970,-0.1182,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,COFFEYVILLE_7,GRDACOFFEYGRUN7_RA,14.4572,-0.0770,0.0743,14.4599
08/06/2020 01:00:00,08/06/2020 06:00:00,COWP,COWP_LA,14.8308,0.3460,0.0248,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,COWP_GEN1,WRW_PLAINGUNCOWP_GEN1_RA,14.8308,0.3460,0.0248,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,COWP_GEN2,WRW_PLAINGUNCOWP_GEN2_RA,14.8308,0.3460,0.0248,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CPLE,VACS,14.6933,0.2300,0.0033,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CPLW,VACS,14.6933,0.2300,0.0033,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CROSSROADS1,MPSCRSRD_EXUNCROSSROADS1_RA,14.7050,0.2292,0.0158,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CROSSROADS2,MPSCRSRD_EXUNCROSSROADS2_RA,14.7050,0.2292,0.0158,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CROSSROADS3,MPSCRSRD_EXUNCROSSROADS3_RA,14.7050,0.2292,0.0158,14.4600
08/06/2020 01:00:00,08/06/2020 06:00:00,CROSSROADS4,MPSCRSRD_EXUNCROSSROADS4_RA,14.7050,0.2292,0.0158,14.4600
