MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
06/09/2020 06:00:00,5346.535,513.402,828.148,133.880,304.338,2064.510,404.010,1070.889,1732.779,4051.074,1466.999,778.624,361.119,4262.982,2887.794,1039.761,3809.962
06/09/2020 07:00:00,5078.710,485.882,805.199,124.626,291.419,1959.367,374.172,1010.267,1627.453,3840.071,1371.205,753.068,343.816,4113.855,2766.883,996.451,3611.808
06/09/2020 08:00:00,4957.563,466.395,792.146,118.088,280.580,1874.385,355.701,947.312,1620.388,3665.553,1304.620,728.991,332.908,3971.670,2708.893,961.879,3460.778
06/09/2020 09:00:00,4840.204,457.183,779.668,113.533,274.552,1812.388,340.369,905.082,1537.709,3528.607,1262.887,708.026,326.990,3832.039,2675.690,940.524,3354.419
06/09/2020 10:00:00,4825.778,458.544,771.497,113.545,270.993,1818.294,336.424,906.618,1542.264,3518.281,1246.678,695.236,327.974,3735.911,2686.082,926.583,3315.467
06/09/2020 11:00:00,4915.940,476.030,783.990,115.998,283.383,1872.570,346.859,922.601,1585.595,3566.024,1267.600,678.537,344.111,3681.247,2729.460,935.709,3391.642
06/09/2020 12:00:00,5085.263,508.419,749.771,117.836,289.164,1949.278,369.827,976.034,1669.343,3651.499,1316.139,692.559,365.849,3672.966,2802.346,946.484,3490.779
06/09/2020 13:00:00,5400.017,555.048,728.777,122.247,299.196,2068.795,416.307,1028.656,1775.508,3877.998,1432.887,721.567,393.515,3694.227,2980.818,982.402,3771.915
06/09/2020 14:00:00,5822.750,607.717,759.355,130.775,304.949,2161.599,458.500,1092.579,1877.083,4195.313,1558.398,761.036,435.991,3764.334,3085.959,1044.733,4099.451
06/09/2020 15:00:00,6280.135,659.348,800.264,136.925,331.651,2271.771,494.765,1145.465,1811.546,4474.836,1711.485,765.103,474.748,3820.282,3173.616,1102.986,4434.026
06/09/2020 16:00:00,6775.398,717.513,847.650,154.720,334.789,2447.593,519.057,1253.394,1846.275,4710.946,1863.739,768.596,517.030,3889.365,3228.131,1136.359,4755.135
06/09/2020 17:00:00,7262.811,774.014,887.959,173.116,353.317,2629.052,557.755,1367.208,1974.365,4818.609,1953.149,765.307,558.819,3955.011,3271.267,1178.907,5074.977
06/09/2020 18:00:00,7712.631,823.557,912.332,190.733,384.039,2768.907,587.510,1480.732,1970.655,4924.164,2030.948,761.937,596.430,4009.297,3274.792,1194.575,5268.307
06/09/2020 19:00:00,8080.624,858.238,930.089,204.893,396.542,2893.198,608.452,1559.468,1953.717,5018.455,2122.900,768.262,623.435,4051.574,3285.136,1213.020,5422.215
06/09/2020 20:00:00,8279.118,876.151,939.206,216.789,411.832,2994.219,610.295,1637.783,1923.231,5045.700,2170.138,767.577,637.004,4111.252,3280.807,1222.216,5473.916
06/09/2020 21:00:00,8323.745,895.409,937.863,225.181,423.863,3001.601,612.619,1689.317,1893.026,5059.235,2203.972,756.900,644.302,4170.053,3287.180,1222.807,5456.765
06/09/2020 22:00:00,8273.020,909.541,914.515,228.404,421.070,3024.601,622.914,1706.961,1824.406,4967.668,2200.766,751.733,652.656,4227.332,3248.255,1210.731,5393.940
06/09/2020 23:00:00,8043.342,894.573,876.673,232.528,417.217,3010.471,606.405,1721.548,1762.858,4775.971,2178.900,731.078,650.765,4272.030,3225.314,1187.426,5220.602
06/10/2020 00:00:00,7694.913,850.516,841.485,231.185,412.690,2926.126,525.885,1705.206,1732.900,4513.918,2066.948,706.625,636.087,4284.524,3171.003,1147.315,4974.207
06/10/2020 01:00:00,7247.285,786.263,799.484,220.433,396.317,2730.815,464.168,1626.974,1649.037,4218.346,1780.708,683.814,598.756,4257.758,3096.816,1092.730,4611.996
06/10/2020 02:00:00,6821.291,724.947,766.145,198.784,362.746,2504.973,417.505,1504.443,1599.733,3917.604,1587.023,661.907,540.513,4194.445,2987.369,1039.024,4246.396
06/10/2020 03:00:00,6439.967,669.574,745.445,179.598,349.870,2331.735,393.469,1401.030,1550.923,3828.338,1449.914,680.882,493.381,4123.647,2927.863,1018.210,4004.579
06/10/2020 04:00:00,5864.468,591.720,755.298,154.047,321.345,2047.981,357.824,1243.333,1507.228,3571.204,1350.247,662.702,439.766,4019.476,2816.141,951.517,3661.978
06/10/2020 05:00:00,5189.506,510.036,720.971,130.647,290.768,1758.828,317.092,1071.328,1403.660,3613.484,1251.741,634.298,389.765,3839.514,2649.337,865.629,3370.887
