MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
09/06/2020 06:00:00,5231.689,509.037,779.093,128.075,279.916,1965.579,402.705,1034.103,2265.427,3953.858,1485.503,647.533,365.200,4032.099,2980.482,1017.062,3666.135
09/06/2020 07:00:00,4957.935,474.817,759.304,118.985,269.567,1861.041,380.069,956.945,2186.039,3767.396,1398.379,628.085,340.788,3923.166,2922.459,966.055,3479.980
09/06/2020 08:00:00,4759.386,453.286,750.600,112.325,263.114,1781.200,363.429,909.799,2126.361,3618.639,1334.723,609.724,322.146,3840.385,2873.210,933.312,3345.685
09/06/2020 09:00:00,4616.412,438.891,739.523,108.594,257.053,1728.381,353.209,875.931,2075.828,3469.700,1296.993,595.768,311.140,3764.625,2825.119,905.795,3263.265
09/06/2020 10:00:00,4510.690,431.628,735.559,106.486,251.993,1694.987,344.980,861.256,2041.254,3371.734,1280.362,590.209,304.607,3718.557,2817.481,885.929,3221.273
09/06/2020 11:00:00,4452.597,432.662,733.123,105.663,250.690,1692.483,342.689,854.341,2018.503,3328.424,1282.419,592.813,303.862,3699.097,2862.595,876.333,3213.219
09/06/2020 12:00:00,4428.358,438.915,729.414,106.530,250.629,1698.517,344.539,862.893,2017.686,3310.945,1292.052,604.354,308.625,3707.228,2925.669,877.066,3241.418
09/06/2020 13:00:00,4432.170,454.875,726.988,107.453,244.988,1694.313,348.879,876.473,2014.429,3304.202,1294.607,604.897,307.009,3684.527,2968.334,882.695,3266.758
09/06/2020 14:00:00,4776.161,507.329,705.700,118.868,261.770,1835.459,378.854,962.414,2093.887,3496.528,1368.888,625.783,334.429,3730.870,3090.962,945.434,3527.591
09/06/2020 15:00:00,5302.124,572.951,742.306,134.672,280.615,2023.795,420.444,1077.043,2191.841,3803.350,1493.593,653.785,372.499,3858.543,3235.467,1021.115,3870.963
09/06/2020 16:00:00,5876.390,635.397,780.767,150.075,298.360,2210.412,464.288,1184.401,2291.879,4146.444,1669.359,683.452,415.798,4023.957,3342.833,1099.248,4219.080
09/06/2020 17:00:00,6446.342,691.365,820.101,167.488,317.091,2397.392,499.174,1285.441,2388.159,4498.841,1825.856,709.252,462.939,4219.356,3453.091,1180.039,4566.905
09/06/2020 18:00:00,6944.667,738.273,849.692,182.164,332.960,2552.826,528.644,1367.410,2471.088,4788.661,1932.676,736.639,504.993,4434.977,3514.999,1249.435,4871.145
09/06/2020 19:00:00,7334.160,769.568,875.809,191.350,344.937,2678.019,552.151,1423.744,2526.254,5060.544,2008.503,769.194,532.712,4599.808,3555.687,1302.906,5122.645
09/06/2020 20:00:00,7613.640,793.109,895.005,202.419,356.271,2791.282,573.747,1477.158,2562.304,5214.890,2075.831,803.540,554.612,4737.674,3587.357,1344.987,5311.962
09/06/2020 21:00:00,7785.188,811.730,906.811,210.084,359.906,2864.812,589.351,1509.950,2592.938,5339.258,2127.921,824.534,572.013,4835.697,3610.698,1371.789,5433.682
09/06/2020 22:00:00,7855.866,821.985,910.671,212.244,364.420,2898.408,601.701,1524.434,2617.049,5395.863,2161.659,836.938,579.129,4889.484,3654.246,1390.123,5498.840
09/06/2020 23:00:00,7791.188,819.111,902.667,211.731,356.602,2876.378,604.861,1510.410,2616.011,5345.649,2152.741,842.965,578.183,4890.996,3640.383,1385.365,5463.724
09/07/2020 00:00:00,7498.117,789.500,881.247,204.894,347.117,2754.641,586.006,1455.532,2557.383,5196.301,2095.778,833.643,558.667,4846.128,3588.209,1347.912,5293.915
09/07/2020 01:00:00,7044.234,744.837,846.644,192.606,334.741,2608.411,548.804,1385.180,2437.115,4967.629,1980.545,794.002,527.354,4711.524,3516.915,1289.459,5024.007
09/07/2020 02:00:00,6767.419,718.607,827.382,183.664,336.837,2543.231,520.147,1337.281,2345.986,4805.371,1909.293,759.937,506.286,4560.617,3434.525,1255.089,4845.720
09/07/2020 03:00:00,6369.309,668.924,804.345,171.964,320.857,2429.713,485.015,1259.546,2219.869,4595.292,1792.742,719.474,473.397,4392.204,3270.608,1203.411,4584.152
09/07/2020 04:00:00,5958.655,612.504,821.603,158.178,305.522,2285.283,443.762,1176.234,2076.785,4334.182,1642.021,674.376,436.168,4244.674,3095.678,1133.696,4284.059
09/07/2020 05:00:00,5535.372,555.205,795.886,145.168,293.076,2130.540,400.701,1084.873,1941.863,4045.268,1468.161,624.372,401.274,4068.271,2942.209,1057.296,3948.220
