MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
12/01/2017 07:00:00,4339.159,524.751,574.929,87.294,253.348,1544.581,318.841,844.257,1675.765,3074.580,1109.223,589.763,304.522,3289.391,3119.771,917.579,2961.180
12/01/2017 08:00:00,4297.367,515.361,587.113,86.421,247.724,1529.338,309.945,838.211,1660.510,2983.485,1089.165,580.692,296.707,3254.565,3104.777,912.666,2853.611
12/01/2017 09:00:00,4288.703,512.708,624.187,85.599,245.412,1523.201,308.462,834.752,1617.086,2951.942,1081.518,579.408,292.845,3243.919,3065.787,911.817,2812.267
12/01/2017 10:00:00,4303.872,520.759,620.349,86.411,245.785,1539.340,309.823,846.745,1617.619,2948.133,1086.614,574.986,292.172,3260.502,3069.421,914.479,2780.753
12/01/2017 11:00:00,4411.492,541.004,629.434,89.611,246.564,1585.040,322.641,875.897,1653.861,3025.881,1115.021,581.517,300.148,3290.987,3113.046,930.667,2832.446
12/01/2017 12:00:00,4700.565,591.600,503.435,97.679,261.918,1713.204,346.443,940.183,1740.300,3187.466,1192.998,599.617,325.075,3357.445,3204.896,965.803,3027.563
12/01/2017 13:00:00,5223.510,670.800,526.708,107.489,291.990,1924.119,389.767,1045.426,1937.386,3480.430,1321.694,639.743,363.572,3513.488,3401.606,1030.780,3363.701
12/01/2017 14:00:00,5394.291,701.668,536.973,110.741,299.381,2005.370,416.099,1078.129,1999.882,3602.567,1376.884,666.663,380.799,3632.345,3580.645,1042.212,3522.957
12/01/2017 15:00:00,5302.974,680.815,542.029,109.239,295.878,1948.653,410.366,1036.748,1978.151,3592.649,1337.916,667.543,376.058,3629.626,3536.176,1003.290,3492.804
12/01/2017 16:00:00,5158.902,653.664,538.613,106.923,288.732,1887.193,401.281,986.155,1889.249,3578.347,1315.318,661.927,368.531,3597.090,3478.722,972.608,3438.013
12/01/2017 17:00:00,5071.172,633.678,536.701,105.133,280.886,1848.740,395.174,947.578,1855.203,3537.817,1305.732,658.198,364.082,3566.537,3427.898,953.099,3399.872
12/01/2017 18:00:00,4975.979,604.420,529.421,102.913,282.018,1807.692,389.629,919.001,1811.799,3487.728,1295.403,656.230,363.575,3501.514,3373.501,930.159,3371.151
12/01/2017 19:00:00,4902.254,578.102,528.027,101.335,279.728,1779.021,382.296,888.483,1767.291,3395.950,1283.825,645.435,357.196,3440.929,3304.808,896.019,3321.870
12/01/2017 20:00:00,4878.352,569.301,524.191,99.618,278.026,1755.560,377.794,872.154,1704.710,3330.704,1284.146,640.188,353.989,3411.050,3259.966,878.984,3281.102
12/01/2017 21:00:00,4827.459,561.751,518.574,98.907,274.686,1728.657,372.416,856.319,1695.071,3302.155,1269.842,627.768,356.653,3388.115,3264.242,882.466,3222.515
12/01/2017 22:00:00,4779.702,555.685,509.505,99.676,267.483,1708.412,366.580,848.824,1713.191,3247.247,1257.178,613.174,353.951,3372.447,3242.734,881.124,3146.367
12/01/2017 23:00:00,4760.829,564.973,499.991,104.021,263.512,1738.953,374.231,874.083,1725.059,3223.170,1281.877,606.476,363.763,3370.631,3279.199,890.296,3186.482
