station,valid,tmpc,dwpc,relh,sped
HIE,2020-06-09 00:00,M,M,M,0.00
BOS,2020-06-09 00:00,M,M,M,0.00
HIE,2020-06-09 00:05,M,M,M,0.00
BOS,2020-06-09 00:05,M,M,M,0.00
HIE,2020-06-09 00:10,M,M,M,0.00
BOS,2020-06-09 00:10,M,M,M,0.00
HIE,2020-06-09 00:15,M,M,M,0.00
BOS,2020-06-09 00:15,M,M,M,0.00
HIE,2020-06-09 00:20,M,M,M,0.00
BOS,2020-06-09 00:20,M,M,M,0.00
HIE,2020-06-09 00:25,M,M,M,0.00
BOS,2020-06-09 00:25,M,M,M,0.00
HIE,2020-06-09 00:30,M,M,M,0.00
BOS,2020-06-09 00:30,M,M,M,0.00
HIE,2020-06-09 00:35,M,M,M,0.00
BOS,2020-06-09 00:35,M,M,M,0.00
HIE,2020-06-09 00:40,M,M,M,0.00
BOS,2020-06-09 00:40,M,M,M,0.00
HIE,2020-06-09 00:45,M,M,M,0.00
BOS,2020-06-09 00:45,M,M,M,2.30
HIE,2020-06-09 00:50,M,M,M,0.00
BOS,2020-06-09 00:50,M,M,M,0.00
HIE,2020-06-09 00:52,9.39,7.22,86.33,0.00
BOS,2020-06-09 00:54,17.78,5.00,42.88,0.00
HIE,2020-06-09 00:55,M,M,M,0.00
BOS,2020-06-09 00:55,M,M,M,0.00
HIE,2020-06-09 01:05,M,M,M,0.00
BOS,2020-06-09 01:05,M,M,M,4.60
HIE,2020-06-09 01:10,M,M,M,0.00
BOS,2020-06-09 01:10,M,M,M,4.60
HIE,2020-06-09 01:15,M,M,M,0.00
BOS,2020-06-09 01:15,M,M,M,2.30
HIE,2020-06-09 01:20,M,M,M,0.00
BOS,2020-06-09 01:20,M,M,M,2.30
HIE,2020-06-09 01:25,M,M,M,0.00
BOS,2020-06-09 01:25,M,M,M,4.60
HIE,2020-06-09 01:30,M,M,M,0.00
BOS,2020-06-09 01:30,M,M,M,5.75
HIE,2020-06-09 01:35,M,M,M,0.00
BOS,2020-06-09 01:35,M,M,M,5.75
HIE,2020-06-09 01:40,M,M,M,0.00
HIE,2020-06-09 01:45,M,M,M,0.00
BOS,2020-06-09 01:45,M,M,M,9.20
HIE,2020-06-09 01:50,M,M,M,0.00
BOS,2020-06-09 01:50,M,M,M,9.20
HIE,2020-06-09 01:52,10.00,7.22,82.86,0.00
BOS,2020-06-09 01:54,17.78,6.11,46.32,8.05
HIE,2020-06-09 01:55,M,M,M,0.00
BOS,2020-06-09 01:55,M,M,M,8.05
HIE,2020-06-09 02:00,M,M,M,0.00
HIE,2020-06-09 02:05,M,M,M,0.00
BOS,2020-06-09 02:05,M,M,M,5.75
HIE,2020-06-09 02:15,M,M,M,0.00
HIE,2020-06-09 02:20,M,M,M,0.00
HIE,2020-06-09 02:25,M,M,M,0.00
BOS,2020-06-09 02:25,M,M,M,0.00
HIE,2020-06-09 02:35,M,M,M,0.00
BOS,2020-06-09 02:35,M,M,M,0.00
HIE,2020-06-09 02:40,M,M,M,0.00
BOS,2020-06-09 02:40,M,M,M,2.30
HIE,2020-06-09 02:45,M,M,M,0.00
BOS,2020-06-09 02:45,M,M,M,2.30
HIE,2020-06-09 02:50,M,M,M,0.00
HIE,2020-06-09 02:52,10.00,7.22,82.86,0.00
BOS,2020-06-09 02:54,17.22,6.11,47.97,4.60
HIE,2020-06-09 02:55,M,M,M,0.00
BOS,2020-06-09 02:55,M,M,M,4.60
HIE,2020-06-09 03:00,M,M,M,0.00
BOS,2020-06-09 03:00,M,M,M,5.75
HIE,2020-06-09 03:05,M,M,M,0.00
BOS,2020-06-09 03:05,M,M,M,4.60
HIE,2020-06-09 03:10,M,M,M,0.00
BOS,2020-06-09 03:10,M,M,M,5.75
HIE,2020-06-09 03:15,M,M,M,0.00
BOS,2020-06-09 03:15,M,M,M,5.75
HIE,2020-06-09 03:20,M,M,M,0.00
BOS,2020-06-09 03:20,M,M,M,5.75
HIE,2020-06-09 03:25,M,M,M,0.00
BOS,2020-06-09 03:25,M,M,M,2.30
HIE,2020-06-09 03:30,M,M,M,0.00
BOS,2020-06-09 03:30,M,M,M,4.60
HIE,2020-06-09 03:35,M,M,M,0.00
BOS,2020-06-09 03:35,M,M,M,2.30
HIE,2020-06-09 03:40,M,M,M,0.00
BOS,2020-06-09 03:40,M,M,M,4.60
HIE,2020-06-09 03:45,M,M,M,0.00
BOS,2020-06-09 03:45,M,M,M,4.60
HIE,2020-06-09 03:50,M,M,M,0.00
BOS,2020-06-09 03:50,M,M,M,2.30
HIE,2020-06-09 03:52,10.00,7.78,86.06,0.00
BOS,2020-06-09 03:54,17.78,6.72,48.31,5.75
BOS,2020-06-09 03:55,M,M,M,5.75
HIE,2020-06-09 04:05,M,M,M,0.00
BOS,2020-06-09 04:05,M,M,M,0.00
HIE,2020-06-09 04:10,M,M,M,0.00
BOS,2020-06-09 04:10,M,M,M,2.30
HIE,2020-06-09 04:15,M,M,M,0.00
BOS,2020-06-09 04:15,M,M,M,2.30
HIE,2020-06-09 04:20,M,M,M,0.00
BOS,2020-06-09 04:20,M,M,M,0.00
HIE,2020-06-09 04:25,M,M,M,0.00
BOS,2020-06-09 04:25,M,M,M,0.00
HIE,2020-06-09 04:30,M,M,M,0.00
BOS,2020-06-09 04:30,M,M,M,0.00
HIE,2020-06-09 04:35,M,M,M,2.30
