station,valid,tmpc,dwpc,relh,sped
HIE,2020-11-19 00:52,-11.11,-13.28,84.01,0.00
BOS,2020-11-19 00:54,-5.00,-13.28,52.27,8.05
HIE,2020-11-19 01:52,-11.72,-13.89,83.93,0.00
BOS,2020-11-19 01:54,-5.00,-12.78,54.44,6.90
HIE,2020-11-19 02:52,-10.61,-13.28,80.74,0.00
BOS,2020-11-19 02:54,-5.00,-12.78,54.44,5.75
HIE,2020-11-19 03:52,-10.61,-12.78,84.07,0.00
BOS,2020-11-19 03:54,-5.00,-12.78,54.44,4.60
HIE,2020-11-19 04:52,-11.11,-12.78,87.48,0.00
BOS,2020-11-19 04:54,-5.00,-12.78,54.44,3.45
HIE,2020-11-19 05:52,-10.61,-12.22,87.92,0.00
BOS,2020-11-19 05:54,-5.00,-12.22,56.93,8.05
HIE,2020-11-19 06:52,-9.39,-11.72,83.11,0.00
BOS,2020-11-19 06:54,-4.39,-12.22,54.36,6.90
HIE,2020-11-19 07:52,-8.28,-11.11,80.01,4.60
BOS,2020-11-19 07:54,-3.89,-11.72,54.50,9.20
HIE,2020-11-19 08:52,-6.11,-11.11,67.71,0.00
BOS,2020-11-19 08:54,-2.78,-11.11,52.68,10.35
HIE,2020-11-19 09:52,-5.00,-11.72,59.26,0.00
BOS,2020-11-19 09:54,-1.11,-10.00,50.88,8.05
HIE,2020-11-19 10:52,-3.28,-10.61,56.89,0.00
BOS,2020-11-19 10:54,0.00,-8.89,51.20,9.20
HIE,2020-11-19 11:52,-2.22,-11.11,50.56,0.00
BOS,2020-11-19 11:54,2.22,-7.78,47.58,11.50
HIE,2020-11-19 12:52,-1.11,-10.00,50.88,3.45
BOS,2020-11-19 12:54,3.89,-7.22,44.14,17.25
HIE,2020-11-19 13:52,-1.11,-9.39,53.38,4.60
BOS,2020-11-19 13:54,5.00,-5.00,48.39,18.40
HIE,2020-11-19 14:30,M,M,M,0.00
BOS,2020-11-19 14:30,M,M,M,21.85
BOS,2020-11-19 14:35,M,M,M,18.40
HIE,2020-11-19 14:40,M,M,M,0.00
BOS,2020-11-19 14:40,M,M,M,18.40
HIE,2020-11-19 14:45,M,M,M,0.00
BOS,2020-11-19 14:45,M,M,M,18.40
HIE,2020-11-19 14:50,M,M,M,0.00
BOS,2020-11-19 14:50,M,M,M,18.40
HIE,2020-11-19 14:52,-0.61,-9.39,51.47,0.00
BOS,2020-11-19 14:54,5.61,-4.39,48.56,17.25
BOS,2020-11-19 14:55,M,M,M,16.10
HIE,2020-11-19 15:05,M,M,M,0.00
BOS,2020-11-19 15:05,M,M,M,16.10
HIE,2020-11-19 15:10,M,M,M,0.00
BOS,2020-11-19 15:10,M,M,M,14.95
HIE,2020-11-19 15:15,M,M,M,0.00
BOS,2020-11-19 15:15,M,M,M,14.95
HIE,2020-11-19 15:20,M,M,M,0.00
BOS,2020-11-19 15:20,M,M,M,19.55
HIE,2020-11-19 15:35,M,M,M,0.00
BOS,2020-11-19 15:35,M,M,M,17.25
HIE,2020-11-19 15:40,M,M,M,0.00
BOS,2020-11-19 15:40,M,M,M,12.65
HIE,2020-11-19 15:45,M,M,M,0.00
BOS,2020-11-19 15:45,M,M,M,14.95
BOS,2020-11-19 15:50,M,M,M,18.40
HIE,2020-11-19 15:52,0.00,-10.00,46.92,0.00
BOS,2020-11-19 15:54,5.61,-3.89,50.42,19.55
HIE,2020-11-19 15:55,M,M,M,0.00
BOS,2020-11-19 15:55,M,M,M,20.70
HIE,2020-11-19 16:05,M,M,M,0.00
BOS,2020-11-19 16:05,M,M,M,21.85
HIE,2020-11-19 16:10,M,M,M,2.30
BOS,2020-11-19 16:10,M,M,M,21.85
HIE,2020-11-19 16:15,M,M,M,2.30
BOS,2020-11-19 16:15,M,M,M,18.40
HIE,2020-11-19 16:25,M,M,M,2.30
BOS,2020-11-19 16:25,M,M,M,17.25
HIE,2020-11-19 16:30,M,M,M,0.00
BOS,2020-11-19 16:30,M,M,M,19.55
HIE,2020-11-19 16:35,M,M,M,2.30
BOS,2020-11-19 16:35,M,M,M,21.85
HIE,2020-11-19 16:40,M,M,M,2.30
BOS,2020-11-19 16:40,M,M,M,20.70
HIE,2020-11-19 16:45,M,M,M,2.30
BOS,2020-11-19 16:45,M,M,M,18.40
HIE,2020-11-19 16:50,M,M,M,2.30
BOS,2020-11-19 16:50,M,M,M,19.55
HIE,2020-11-19 16:52,-0.61,-9.39,51.47,0.00
BOS,2020-11-19 16:54,5.00,-3.28,55.07,19.55
HIE,2020-11-19 16:55,M,M,M,0.00
