station,valid,tmpc,dwpc,relh,sped
CQT,2017-01-01 00:47,7.78,5.00,82.58,0.00
CQT,2017-01-01 01:47,8.28,4.39,76.48,0.00
CQT,2017-01-01 02:47,7.78,4.39,79.13,0.00
CQT,2017-01-01 03:47,6.72,5.00,88.77,0.00
CQT,2017-01-01 04:47,7.22,5.00,85.77,0.00
CQT,2017-01-01 05:47,6.72,5.00,88.77,0.00
CQT,2017-01-01 06:47,7.22,5.00,85.77,0.00
CQT,2017-01-01 07:47,7.22,5.00,85.77,3.45
CQT,2017-01-01 08:47,8.89,5.61,79.91,3.45
CQT,2017-01-01 09:47,11.72,5.61,66.13,5.75
CQT,2017-01-01 10:47,12.78,5.61,61.69,4.60
CQT,2017-01-01 11:47,14.39,6.11,57.51,0.00
CQT,2017-01-01 12:47,15.00,4.39,49.04,0.00
CQT,2017-01-01 13:47,15.00,5.61,53.40,0.00
CQT,2017-01-01 14:47,15.61,6.72,55.44,0.00
CQT,2017-01-01 15:47,15.00,6.72,57.66,0.00
CQT,2017-01-01 16:47,13.89,7.22,64.12,0.00
CQT,2017-01-01 17:47,12.78,6.72,66.61,0.00
CQT,2017-01-01 18:47,12.22,7.22,71.50,0.00
CQT,2017-01-01 19:47,11.11,7.22,76.94,0.00
CQT,2017-01-01 20:47,11.72,7.22,73.89,0.00
CQT,2017-01-01 21:47,12.22,7.22,71.50,3.45
CQT,2017-01-01 22:03,12.22,7.22,71.50,0.00
CQT,2017-01-01 22:12,12.22,7.22,71.50,0.00
CQT,2017-01-01 22:28,12.22,7.22,71.50,0.00
CQT,2017-01-01 22:37,12.22,7.22,71.50,3.45
CQT,2017-01-01 22:47,12.22,7.22,71.50,0.00
CQT,2017-01-01 23:47,11.72,7.22,73.89,4.60
CQT,2017-01-02 00:17,11.72,7.22,73.89,0.00
CQT,2017-01-02 00:47,12.22,7.22,71.50,3.45
CQT,2017-01-02 01:04,11.72,7.22,73.89,0.00
CQT,2017-01-02 01:16,11.72,7.22,73.89,3.45
CQT,2017-01-02 01:47,11.72,7.78,76.75,3.45
CQT,2017-01-02 01:58,11.72,7.78,76.75,0.00
CQT,2017-01-02 02:47,11.72,7.78,76.75,0.00
CQT,2017-01-02 03:47,11.72,7.78,76.75,0.00
CQT,2017-01-02 04:47,11.72,7.22,73.89,0.00
CQT,2017-01-02 05:47,11.11,7.22,76.94,3.45
CQT,2017-01-02 06:47,11.11,7.22,76.94,3.45
CQT,2017-01-02 07:25,11.72,7.78,76.75,3.45
CQT,2017-01-02 07:47,11.72,7.78,76.75,0.00
CQT,2017-01-02 07:56,11.72,7.78,76.75,0.00
CQT,2017-01-02 08:47,12.22,7.78,74.26,0.00
CQT,2017-01-02 09:47,12.78,7.78,71.60,4.60
CQT,2017-01-02 10:47,12.78,7.78,71.60,3.45
CQT,2017-01-02 11:47,13.28,7.22,66.72,0.00
CQT,2017-01-02 12:47,13.89,7.22,64.12,4.60
CQT,2017-01-02 13:47,14.39,7.22,62.07,4.60
CQT,2017-01-02 14:47,14.39,6.72,59.98,0.00
CQT,2017-01-02 15:47,13.89,6.11,59.40,0.00
CQT,2017-01-02 16:47,13.28,7.22,66.72,4.60
CQT,2017-01-02 17:24,13.28,7.22,66.72,0.00
CQT,2017-01-02 17:47,13.28,7.78,69.30,3.45
CQT,2017-01-02 18:02,12.78,7.78,71.60,0.00
CQT,2017-01-02 18:47,12.22,7.78,74.26,0.00
CQT,2017-01-02 19:47,11.72,7.78,76.75,0.00
CQT,2017-01-02 20:47,12.22,8.28,76.83,0.00
CQT,2017-01-02 21:47,11.11,8.28,82.68,0.00
CQT,2017-01-02 22:47,10.61,8.28,85.48,0.00
CQT,2017-01-02 23:47,10.61,8.28,85.48,3.45
CQT,2017-01-03 00:47,10.00,8.28,89.04,0.00
