station,valid,tmpc,dwpc,relh,sped
DAL,2021-02-05 00:00,M,M,M,9.20
HOU,2021-02-05 00:00,M,M,M,12.65
DAL,2021-02-05 00:05,M,M,M,8.05
HOU,2021-02-05 00:05,M,M,M,10.35
DAL,2021-02-05 00:10,M,M,M,10.35
HOU,2021-02-05 00:10,M,M,M,12.65
CVB,2021-02-05 00:15,16.00,2.50,40.26,13.80
DAL,2021-02-05 00:15,M,M,M,8.05
HOU,2021-02-05 00:15,M,M,M,11.50
DAL,2021-02-05 00:20,M,M,M,5.75
HOU,2021-02-05 00:20,M,M,M,11.50
DAL,2021-02-05 00:25,M,M,M,5.75
HOU,2021-02-05 00:25,M,M,M,12.65
DAL,2021-02-05 00:30,M,M,M,5.75
HOU,2021-02-05 00:30,M,M,M,12.65
CVB,2021-02-05 00:35,15.28,2.72,42.83,9.20
DAL,2021-02-05 00:35,M,M,M,9.20
HOU,2021-02-05 00:35,M,M,M,12.65
DAL,2021-02-05 00:40,M,M,M,10.35
HOU,2021-02-05 00:40,M,M,M,12.65
DAL,2021-02-05 00:45,M,M,M,8.05
HOU,2021-02-05 00:45,M,M,M,19.55
DAL,2021-02-05 00:50,M,M,M,4.60
HOU,2021-02-05 00:50,M,M,M,18.40
DAL,2021-02-05 00:53,8.28,-4.39,40.44,3.45
HOU,2021-02-05 00:53,16.11,5.61,49.73,19.55
CVB,2021-02-05 00:55,15.00,2.72,43.61,9.20
DAL,2021-02-05 00:55,M,M,M,2.30
HOU,2021-02-05 00:55,M,M,M,18.40
DAL,2021-02-05 01:00,M,M,M,5.75
HOU,2021-02-05 01:00,M,M,M,18.40
DAL,2021-02-05 01:05,M,M,M,8.05
HOU,2021-02-05 01:05,M,M,M,14.95
DAL,2021-02-05 01:10,M,M,M,5.75
HOU,2021-02-05 01:10,M,M,M,18.40
CVB,2021-02-05 01:15,14.72,2.78,44.57,10.35
DAL,2021-02-05 01:15,M,M,M,8.05
HOU,2021-02-05 01:15,M,M,M,16.10
DAL,2021-02-05 01:20,M,M,M,10.35
HOU,2021-02-05 01:20,M,M,M,17.25
DAL,2021-02-05 01:25,M,M,M,11.50
HOU,2021-02-05 01:25,M,M,M,12.65
DAL,2021-02-05 01:30,M,M,M,8.05
HOU,2021-02-05 01:30,M,M,M,12.65
CVB,2021-02-05 01:35,14.22,3.00,46.76,10.35
DAL,2021-02-05 01:35,M,M,M,8.05
HOU,2021-02-05 01:35,M,M,M,12.65
