station,valid,tmpc,dwpc,relh,sped
LGA,2020-06-09 00:00,M,M,M,0.00
SYR,2020-06-09 00:00,M,M,M,2.30
LGA,2020-06-09 00:05,M,M,M,0.00
SYR,2020-06-09 00:05,M,M,M,0.00
LGA,2020-06-09 00:10,M,M,M,0.00
SYR,2020-06-09 00:10,M,M,M,0.00
LGA,2020-06-09 00:15,M,M,M,0.00
SYR,2020-06-09 00:15,M,M,M,0.00
LGA,2020-06-09 00:20,M,M,M,0.00
SYR,2020-06-09 00:20,M,M,M,2.30
LGA,2020-06-09 00:25,M,M,M,0.00
SYR,2020-06-09 00:25,M,M,M,2.30
LGA,2020-06-09 00:30,M,M,M,2.30
SYR,2020-06-09 00:30,M,M,M,2.30
LGA,2020-06-09 00:35,M,M,M,4.60
SYR,2020-06-09 00:35,M,M,M,2.30
LGA,2020-06-09 00:40,M,M,M,0.00
SYR,2020-06-09 00:40,M,M,M,2.30
LGA,2020-06-09 00:45,M,M,M,4.60
SYR,2020-06-09 00:45,M,M,M,2.30
LGA,2020-06-09 00:50,M,M,M,2.30
SYR,2020-06-09 00:50,M,M,M,4.60
LGA,2020-06-09 00:51,22.78,8.89,41.10,4.60
SYR,2020-06-09 00:54,13.28,7.78,69.30,4.60
LGA,2020-06-09 00:55,M,M,M,5.75
SYR,2020-06-09 00:55,M,M,M,4.60
LGA,2020-06-09 01:00,M,M,M,4.60
LGA,2020-06-09 01:05,M,M,M,4.60
SYR,2020-06-09 01:05,M,M,M,2.30
LGA,2020-06-09 01:10,M,M,M,2.30
SYR,2020-06-09 01:10,M,M,M,2.30
LGA,2020-06-09 01:15,M,M,M,4.60
SYR,2020-06-09 01:15,M,M,M,2.30
LGA,2020-06-09 01:20,M,M,M,2.30
SYR,2020-06-09 01:20,M,M,M,2.30
LGA,2020-06-09 01:25,M,M,M,4.60
SYR,2020-06-09 01:25,M,M,M,2.30
LGA,2020-06-09 01:30,M,M,M,4.60
SYR,2020-06-09 01:30,M,M,M,2.30
LGA,2020-06-09 01:35,M,M,M,5.75
SYR,2020-06-09 01:35,M,M,M,2.30
LGA,2020-06-09 01:40,M,M,M,5.75
LGA,2020-06-09 01:45,M,M,M,5.75
SYR,2020-06-09 01:45,M,M,M,2.30
LGA,2020-06-09 01:50,M,M,M,5.75
SYR,2020-06-09 01:50,M,M,M,0.00
LGA,2020-06-09 01:51,22.78,7.22,36.70,4.60
SYR,2020-06-09 01:54,13.89,7.78,66.59,0.00
LGA,2020-06-09 01:55,M,M,M,2.30
SYR,2020-06-09 01:55,M,M,M,0.00
LGA,2020-06-09 02:00,M,M,M,2.30
LGA,2020-06-09 02:05,M,M,M,2.30
SYR,2020-06-09 02:05,M,M,M,0.00
LGA,2020-06-09 02:10,M,M,M,2.30
LGA,2020-06-09 02:15,M,M,M,4.60
LGA,2020-06-09 02:20,M,M,M,4.60
LGA,2020-06-09 02:25,M,M,M,4.60
SYR,2020-06-09 02:25,M,M,M,0.00
LGA,2020-06-09 02:30,M,M,M,2.30
LGA,2020-06-09 02:35,M,M,M,2.30
SYR,2020-06-09 02:35,M,M,M,2.30
LGA,2020-06-09 02:40,M,M,M,4.60
SYR,2020-06-09 02:40,M,M,M,2.30
LGA,2020-06-09 02:45,M,M,M,5.75
SYR,2020-06-09 02:45,M,M,M,2.30
LGA,2020-06-09 02:50,M,M,M,4.60
LGA,2020-06-09 02:51,22.78,7.78,38.11,4.60
SYR,2020-06-09 02:54,12.78,7.78,71.60,0.00
LGA,2020-06-09 02:55,M,M,M,4.60
SYR,2020-06-09 02:55,M,M,M,0.00
LGA,2020-06-09 03:00,M,M,M,2.30
SYR,2020-06-09 03:00,M,M,M,0.00
LGA,2020-06-09 03:05,M,M,M,4.60
SYR,2020-06-09 03:05,M,M,M,0.00
LGA,2020-06-09 03:10,M,M,M,4.60
SYR,2020-06-09 03:10,M,M,M,2.30
LGA,2020-06-09 03:15,M,M,M,2.30
SYR,2020-06-09 03:15,M,M,M,2.30
LGA,2020-06-09 03:20,M,M,M,0.00
SYR,2020-06-09 03:20,M,M,M,2.30
LGA,2020-06-09 03:25,M,M,M,4.60
SYR,2020-06-09 03:25,M,M,M,2.30
LGA,2020-06-09 03:30,M,M,M,2.30
SYR,2020-06-09 03:30,M,M,M,2.30
LGA,2020-06-09 03:35,M,M,M,0.00
SYR,2020-06-09 03:35,M,M,M,2.30
LGA,2020-06-09 03:40,M,M,M,5.75
SYR,2020-06-09 03:40,M,M,M,0.00
LGA,2020-06-09 03:45,M,M,M,5.75
SYR,2020-06-09 03:45,M,M,M,2.30
LGA,2020-06-09 03:50,M,M,M,2.30
SYR,2020-06-09 03:50,M,M,M,0.00
LGA,2020-06-09 03:51,22.22,8.28,40.79,4.60
SYR,2020-06-09 03:54,12.78,7.78,71.60,0.00
LGA,2020-06-09 03:55,M,M,M,4.60
SYR,2020-06-09 03:55,M,M,M,0.00
LGA,2020-06-09 04:00,M,M,M,4.60
LGA,2020-06-09 04:05,M,M,M,2.30
SYR,2020-06-09 04:05,M,M,M,0.00
LGA,2020-06-09 04:10,M,M,M,0.00
SYR,2020-06-09 04:10,M,M,M,2.30
LGA,2020-06-09 04:15,M,M,M,2.30
SYR,2020-06-09 04:15,M,M,M,2.30
LGA,2020-06-09 04:20,M,M,M,2.30
SYR,2020-06-09 04:20,M,M,M,0.00
LGA,2020-06-09 04:25,M,M,M,0.00
SYR,2020-06-09 04:25,M,M,M,4.60
LGA,2020-06-09 04:30,M,M,M,0.00
SYR,2020-06-09 04:30,M,M,M,5.75
LGA,2020-06-09 04:35,M,M,M,0.00
SYR,2020-06-09 04:35,M,M,M,5.75
LGA,2020-06-09 04:40,M,M,M,0.00
LGA,2020-06-09 04:45,M,M,M,0.00
SYR,2020-06-09 04:45,M,M,M,4.60
LGA,2020-06-09 04:50,M,M,M,0.00
SYR,2020-06-09 04:50,M,M,M,4.60
LGA,2020-06-09 04:51,20.61,10.61,52.67,0.00
SYR,2020-06-09 04:54,11.72,7.78,76.75,5.75
LGA,2020-06-09 04:55,M,M,M,0.00
SYR,2020-06-09 04:55,M,M,M,4.60
LGA,2020-06-09 05:00,M,M,M,0.00
SYR,2020-06-09 05:00,M,M,M,2.30
LGA,2020-06-09 05:05,M,M,M,2.30
SYR,2020-06-09 05:05,M,M,M,2.30
LGA,2020-06-09 05:10,M,M,M,4.60
SYR,2020-06-09 05:10,M,M,M,2.30
LGA,2020-06-09 05:15,M,M,M,4.60
SYR,2020-06-09 05:15,M,M,M,2.30
LGA,2020-06-09 05:20,M,M,M,2.30
SYR,2020-06-09 05:20,M,M,M,2.30
LGA,2020-06-09 05:25,M,M,M,0.00
SYR,2020-06-09 05:25,M,M,M,2.30
LGA,2020-06-09 05:30,M,M,M,0.00
SYR,2020-06-09 05:30,M,M,M,2.30
LGA,2020-06-09 05:35,M,M,M,0.00
SYR,2020-06-09 05:35,M,M,M,2.30
LGA,2020-06-09 05:40,M,M,M,0.00
SYR,2020-06-09 05:40,M,M,M,4.60
LGA,2020-06-09 05:45,M,M,M,0.00
SYR,2020-06-09 05:45,M,M,M,4.60
LGA,2020-06-09 05:50,M,M,M,0.00
SYR,2020-06-09 05:50,M,M,M,4.60
LGA,2020-06-09 05:51,21.11,9.39,47.06,0.00
SYR,2020-06-09 05:54,11.72,7.78,76.75,4.60
LGA,2020-06-09 05:55,M,M,M,2.30
SYR,2020-06-09 05:55,M,M,M,2.30
LGA,2020-06-09 06:00,M,M,M,2.30
SYR,2020-06-09 06:00,M,M,M,4.60
LGA,2020-06-09 06:05,M,M,M,0.00
SYR,2020-06-09 06:05,M,M,M,2.30
LGA,2020-06-09 06:10,M,M,M,0.00
SYR,2020-06-09 06:10,M,M,M,4.60
LGA,2020-06-09 06:15,M,M,M,0.00
SYR,2020-06-09 06:15,M,M,M,2.30
LGA,2020-06-09 06:20,M,M,M,0.00
SYR,2020-06-09 06:20,M,M,M,2.30
LGA,2020-06-09 06:25,M,M,M,0.00
SYR,2020-06-09 06:25,M,M,M,0.00
LGA,2020-06-09 06:30,M,M,M,0.00
SYR,2020-06-09 06:30,M,M,M,0.00
LGA,2020-06-09 06:35,M,M,M,0.00
SYR,2020-06-09 06:35,M,M,M,0.00
LGA,2020-06-09 06:40,M,M,M,0.00
SYR,2020-06-09 06:40,M,M,M,0.00
LGA,2020-06-09 06:45,M,M,M,2.30
SYR,2020-06-09 06:45,M,M,M,0.00
LGA,2020-06-09 06:50,M,M,M,2.30
SYR,2020-06-09 06:50,M,M,M,0.00
LGA,2020-06-09 06:51,21.11,10.61,51.07,3.45
SYR,2020-06-09 06:54,14.39,8.89,69.52,0.00
LGA,2020-06-09 06:55,M,M,M,2.30
SYR,2020-06-09 06:55,M,M,M,0.00
LGA,2020-06-09 07:00,M,M,M,2.30
SYR,2020-06-09 07:00,M,M,M,0.00
LGA,2020-06-09 07:05,M,M,M,2.30
LGA,2020-06-09 07:10,M,M,M,2.30
SYR,2020-06-09 07:10,M,M,M,0.00
LGA,2020-06-09 07:15,M,M,M,0.00
SYR,2020-06-09 07:15,M,M,M,2.30
LGA,2020-06-09 07:20,M,M,M,0.00
SYR,2020-06-09 07:20,M,M,M,2.30
LGA,2020-06-09 07:25,M,M,M,0.00
LGA,2020-06-09 07:30,M,M,M,0.00
SYR,2020-06-09 07:30,M,M,M,2.30
LGA,2020-06-09 07:35,M,M,M,0.00
LGA,2020-06-09 07:40,M,M,M,2.30
SYR,2020-06-09 07:40,M,M,M,0.00
LGA,2020-06-09 07:45,M,M,M,2.30
SYR,2020-06-09 07:45,M,M,M,0.00
LGA,2020-06-09 07:50,M,M,M,2.30
SYR,2020-06-09 07:50,M,M,M,0.00
LGA,2020-06-09 07:51,22.78,9.39,42.51,3.45
SYR,2020-06-09 07:54,17.78,9.39,57.91,0.00
LGA,2020-06-09 07:55,M,M,M,4.60
LGA,2020-06-09 08:00,M,M,M,2.30
SYR,2020-06-09 08:00,M,M,M,0.00
LGA,2020-06-09 08:05,M,M,M,0.00
SYR,2020-06-09 08:05,M,M,M,0.00
LGA,2020-06-09 08:10,M,M,M,0.00
SYR,2020-06-09 08:10,M,M,M,0.00
LGA,2020-06-09 08:15,M,M,M,4.60
SYR,2020-06-09 08:15,M,M,M,0.00
LGA,2020-06-09 08:20,M,M,M,2.30
SYR,2020-06-09 08:20,M,M,M,0.00
LGA,2020-06-09 08:25,M,M,M,4.60
SYR,2020-06-09 08:25,M,M,M,0.00
LGA,2020-06-09 08:30,M,M,M,0.00
SYR,2020-06-09 08:30,M,M,M,0.00
LGA,2020-06-09 08:35,M,M,M,0.00
SYR,2020-06-09 08:35,M,M,M,0.00
LGA,2020-06-09 08:40,M,M,M,2.30
SYR,2020-06-09 08:40,M,M,M,0.00
LGA,2020-06-09 08:45,M,M,M,0.00
SYR,2020-06-09 08:45,M,M,M,0.00
LGA,2020-06-09 08:50,M,M,M,0.00
SYR,2020-06-09 08:50,M,M,M,0.00
LGA,2020-06-09 08:51,25.00,9.39,37.19,3.45
SYR,2020-06-09 08:54,20.00,10.61,54.70,0.00
LGA,2020-06-09 08:55,M,M,M,2.30
SYR,2020-06-09 08:55,M,M,M,0.00
LGA,2020-06-09 09:00,M,M,M,2.30
SYR,2020-06-09 09:00,M,M,M,0.00
LGA,2020-06-09 09:05,M,M,M,5.75
SYR,2020-06-09 09:05,M,M,M,0.00
LGA,2020-06-09 09:10,M,M,M,10.35
SYR,2020-06-09 09:10,M,M,M,0.00
LGA,2020-06-09 09:15,M,M,M,9.20
SYR,2020-06-09 09:15,M,M,M,0.00
LGA,2020-06-09 09:20,M,M,M,11.50
SYR,2020-06-09 09:20,M,M,M,0.00
LGA,2020-06-09 09:25,M,M,M,9.20
SYR,2020-06-09 09:25,M,M,M,0.00
LGA,2020-06-09 09:30,M,M,M,10.35
SYR,2020-06-09 09:30,M,M,M,0.00
LGA,2020-06-09 09:35,M,M,M,12.65
SYR,2020-06-09 09:35,M,M,M,0.00
