station,valid,tmpc,dwpc,relh,sped
LGA,2021-09-06 00:00,M,M,M,8.05
SYR,2021-09-06 00:00,M,M,M,5.75
LGA,2021-09-06 00:05,M,M,M,10.35
SYR,2021-09-06 00:05,M,M,M,5.75
LGA,2021-09-06 00:10,M,M,M,8.05
SYR,2021-09-06 00:10,M,M,M,5.75
SYR,2021-09-06 00:15,M,M,M,5.75
LGA,2021-09-06 00:15,M,M,M,5.75
LGA,2021-09-06 00:20,M,M,M,4.60
SYR,2021-09-06 00:20,M,M,M,5.75
LGA,2021-09-06 00:25,M,M,M,4.60
LGA,2021-09-06 00:30,M,M,M,4.60
SYR,2021-09-06 00:30,M,M,M,5.75
SYR,2021-09-06 00:35,M,M,M,4.60
LGA,2021-09-06 00:35,M,M,M,5.75
LGA,2021-09-06 00:40,M,M,M,4.60
SYR,2021-09-06 00:45,M,M,M,5.75
LGA,2021-09-06 00:45,M,M,M,4.60
LGA,2021-09-06 00:50,M,M,M,4.60
SYR,2021-09-06 00:50,M,M,M,4.60
LGA,2021-09-06 00:51,22.78,20.00,84.34,3.45
SYR,2021-09-06 00:54,17.22,16.72,96.88,4.60
LGA,2021-09-06 00:55,M,M,M,2.30
SYR,2021-09-06 00:55,M,M,M,4.60
LGA,2021-09-06 01:00,M,M,M,4.60
SYR,2021-09-06 01:00,M,M,M,5.75
SYR,2021-09-06 01:05,M,M,M,5.75
LGA,2021-09-06 01:05,M,M,M,4.60
LGA,2021-09-06 01:10,M,M,M,4.60
SYR,2021-09-06 01:10,M,M,M,5.75
SYR,2021-09-06 01:15,M,M,M,5.75
LGA,2021-09-06 01:15,M,M,M,4.60
LGA,2021-09-06 01:20,M,M,M,5.75
SYR,2021-09-06 01:20,M,M,M,5.75
SYR,2021-09-06 01:25,M,M,M,5.75
LGA,2021-09-06 01:25,M,M,M,5.75
LGA,2021-09-06 01:30,M,M,M,5.75
SYR,2021-09-06 01:35,M,M,M,5.75
LGA,2021-09-06 01:35,M,M,M,5.75
SYR,2021-09-06 01:40,M,M,M,5.75
LGA,2021-09-06 01:40,M,M,M,5.75
SYR,2021-09-06 01:45,M,M,M,5.75
LGA,2021-09-06 01:45,M,M,M,5.75
LGA,2021-09-06 01:50,M,M,M,8.05
LGA,2021-09-06 01:51,22.78,20.00,84.34,8.05
SYR,2021-09-06 01:54,17.78,16.72,93.54,6.90
LGA,2021-09-06 01:55,M,M,M,5.75
SYR,2021-09-06 01:55,M,M,M,5.75
LGA,2021-09-06 02:00,M,M,M,9.20
SYR,2021-09-06 02:05,M,M,M,5.75
LGA,2021-09-06 02:05,M,M,M,8.05
LGA,2021-09-06 02:10,M,M,M,5.75
LGA,2021-09-06 02:15,M,M,M,8.05
SYR,2021-09-06 02:15,M,M,M,4.60
LGA,2021-09-06 02:20,M,M,M,5.75
SYR,2021-09-06 02:20,M,M,M,4.60
SYR,2021-09-06 02:25,M,M,M,0.00
LGA,2021-09-06 02:25,M,M,M,8.05
LGA,2021-09-06 02:30,M,M,M,9.20
SYR,2021-09-06 02:30,M,M,M,0.00
SYR,2021-09-06 02:35,M,M,M,0.00
LGA,2021-09-06 02:35,M,M,M,8.05
LGA,2021-09-06 02:40,M,M,M,5.75
SYR,2021-09-06 02:40,M,M,M,0.00
SYR,2021-09-06 02:45,M,M,M,0.00
LGA,2021-09-06 02:45,M,M,M,5.75
SYR,2021-09-06 02:50,M,M,M,0.00
LGA,2021-09-06 02:50,M,M,M,5.75
LGA,2021-09-06 02:51,22.78,20.00,84.34,6.90
SYR,2021-09-06 02:54,16.72,16.11,96.18,3.45
SYR,2021-09-06 02:55,M,M,M,2.30
LGA,2021-09-06 02:55,M,M,M,5.75
LGA,2021-09-06 03:00,M,M,M,5.75
SYR,2021-09-06 03:05,M,M,M,5.75
LGA,2021-09-06 03:05,M,M,M,5.75
LGA,2021-09-06 03:10,M,M,M,2.30
SYR,2021-09-06 03:10,M,M,M,5.75
SYR,2021-09-06 03:15,M,M,M,5.75
LGA,2021-09-06 03:15,M,M,M,4.60
SYR,2021-09-06 03:20,M,M,M,5.75
LGA,2021-09-06 03:20,M,M,M,4.60
LGA,2021-09-06 03:25,M,M,M,5.75
SYR,2021-09-06 03:25,M,M,M,5.75
SYR,2021-09-06 03:30,M,M,M,5.75
LGA,2021-09-06 03:30,M,M,M,5.75
SYR,2021-09-06 03:35,M,M,M,5.75
LGA,2021-09-06 03:35,M,M,M,5.75
LGA,2021-09-06 03:40,M,M,M,2.30
SYR,2021-09-06 03:40,M,M,M,4.60
LGA,2021-09-06 03:45,M,M,M,4.60
SYR,2021-09-06 03:45,M,M,M,5.75
SYR,2021-09-06 03:50,M,M,M,5.75
LGA,2021-09-06 03:50,M,M,M,2.30
LGA,2021-09-06 03:51,22.78,20.00,84.34,3.45
SYR,2021-09-06 03:54,17.22,16.11,93.18,5.75
SYR,2021-09-06 03:55,M,M,M,5.75
LGA,2021-09-06 03:55,M,M,M,2.30
