station,valid,tmpc,dwpc,relh,sped
BTR,2020-05-02 00:00,M,M,M,5.75
LIT,2020-05-02 00:00,M,M,M,5.75
DSM,2020-05-02 00:00,M,M,M,2.30
MSP,2020-05-02 00:00,M,M,M,12.65
MDW,2020-05-02 00:00,M,M,M,11.50
BTR,2020-05-02 00:05,M,M,M,5.75
LIT,2020-05-02 00:05,M,M,M,8.05
DSM,2020-05-02 00:05,M,M,M,0.00
MSP,2020-05-02 00:05,M,M,M,12.65
MDW,2020-05-02 00:05,M,M,M,9.20
BTR,2020-05-02 00:10,M,M,M,5.75
LIT,2020-05-02 00:10,M,M,M,8.05
DSM,2020-05-02 00:10,M,M,M,4.60
MSP,2020-05-02 00:10,M,M,M,12.65
MDW,2020-05-02 00:10,M,M,M,9.20
BTR,2020-05-02 00:15,M,M,M,5.75
OZW,2020-05-02 00:15,12.39,3.72,55.46,0.00
LIT,2020-05-02 00:15,M,M,M,8.05
DSM,2020-05-02 00:15,M,M,M,4.60
MSP,2020-05-02 00:15,M,M,M,16.10
MDW,2020-05-02 00:15,M,M,M,9.20
OZW,2020-05-02 00:16,12.28,3.78,56.09,0.00
BTR,2020-05-02 00:20,M,M,M,5.75
LIT,2020-05-02 00:20,M,M,M,8.05
DSM,2020-05-02 00:20,M,M,M,4.60
MSP,2020-05-02 00:20,M,M,M,17.25
MDW,2020-05-02 00:20,M,M,M,10.35
BTR,2020-05-02 00:25,M,M,M,5.75
LIT,2020-05-02 00:25,M,M,M,8.05
DSM,2020-05-02 00:25,M,M,M,4.60
MSP,2020-05-02 00:25,M,M,M,14.95
MDW,2020-05-02 00:25,M,M,M,10.35
BTR,2020-05-02 00:30,M,M,M,5.75
LIT,2020-05-02 00:30,M,M,M,8.05
DSM,2020-05-02 00:30,M,M,M,4.60
MSP,2020-05-02 00:30,M,M,M,14.95
MDW,2020-05-02 00:30,M,M,M,11.50
BTR,2020-05-02 00:35,M,M,M,5.75
OZW,2020-05-02 00:35,12.50,3.22,53.15,3.45
LIT,2020-05-02 00:35,M,M,M,8.05
DSM,2020-05-02 00:35,M,M,M,2.30
MSP,2020-05-02 00:35,M,M,M,12.65
MDW,2020-05-02 00:35,M,M,M,9.20
BTR,2020-05-02 00:40,M,M,M,4.60
LIT,2020-05-02 00:40,M,M,M,8.05
DSM,2020-05-02 00:40,M,M,M,2.30
MSP,2020-05-02 00:40,M,M,M,16.10
MDW,2020-05-02 00:40,M,M,M,10.35
BTR,2020-05-02 00:45,M,M,M,4.60
LIT,2020-05-02 00:45,M,M,M,8.05
DSM,2020-05-02 00:45,M,M,M,2.30
MSP,2020-05-02 00:45,M,M,M,14.95
MDW,2020-05-02 00:45,M,M,M,9.20
BTR,2020-05-02 00:50,M,M,M,4.60
LIT,2020-05-02 00:50,M,M,M,8.05
DSM,2020-05-02 00:50,M,M,M,2.30
MSP,2020-05-02 00:50,M,M,M,12.65
MDW,2020-05-02 00:50,M,M,M,10.35
BTR,2020-05-02 00:53,18.28,13.28,72.61,3.45
LIT,2020-05-02 00:53,17.78,12.22,69.92,9.20
MSP,2020-05-02 00:53,17.78,10.61,62.85,14.95
MDW,2020-05-02 00:53,15.61,4.39,47.15,9.20
DSM,2020-05-02 00:54,17.22,11.72,70.07,4.60
BTR,2020-05-02 00:55,M,M,M,4.60
OZW,2020-05-02 00:55,12.22,3.50,55.20,4.60
LIT,2020-05-02 00:55,M,M,M,8.05
DSM,2020-05-02 00:55,M,M,M,4.60
MSP,2020-05-02 00:55,M,M,M,12.65
MDW,2020-05-02 00:55,M,M,M,10.35
BTR,2020-05-02 01:00,M,M,M,4.60
LIT,2020-05-02 01:00,M,M,M,8.05
DSM,2020-05-02 01:00,M,M,M,4.60
MSP,2020-05-02 01:00,M,M,M,14.95
MDW,2020-05-02 01:00,M,M,M,10.35
BTR,2020-05-02 01:05,M,M,M,2.30
LIT,2020-05-02 01:05,M,M,M,8.05
DSM,2020-05-02 01:05,M,M,M,4.60
MSP,2020-05-02 01:05,M,M,M,10.35
MDW,2020-05-02 01:05,M,M,M,10.35
BTR,2020-05-02 01:10,M,M,M,2.30
LIT,2020-05-02 01:10,M,M,M,8.05
DSM,2020-05-02 01:10,M,M,M,4.60
MSP,2020-05-02 01:10,M,M,M,11.50
MDW,2020-05-02 01:10,M,M,M,12.65
BTR,2020-05-02 01:15,M,M,M,2.30
OZW,2020-05-02 01:15,12.39,3.61,55.03,3.45
LIT,2020-05-02 01:15,M,M,M,5.75
DSM,2020-05-02 01:15,M,M,M,4.60
MSP,2020-05-02 01:15,M,M,M,12.65
MDW,2020-05-02 01:15,M,M,M,10.35
BTR,2020-05-02 01:20,M,M,M,0.00
LIT,2020-05-02 01:20,M,M,M,5.75
DSM,2020-05-02 01:20,M,M,M,2.30
MSP,2020-05-02 01:20,M,M,M,14.95
MDW,2020-05-02 01:20,M,M,M,11.50
BTR,2020-05-02 01:25,M,M,M,0.00
LIT,2020-05-02 01:25,M,M,M,5.75
DSM,2020-05-02 01:25,M,M,M,4.60
MSP,2020-05-02 01:25,M,M,M,16.10
MDW,2020-05-02 01:25,M,M,M,11.50
BTR,2020-05-02 01:30,M,M,M,2.30
LIT,2020-05-02 01:30,M,M,M,4.60
DSM,2020-05-02 01:30,M,M,M,4.60
MSP,2020-05-02 01:30,M,M,M,17.25
MDW,2020-05-02 01:30,M,M,M,11.50
BTR,2020-05-02 01:35,M,M,M,2.30
OZW,2020-05-02 01:35,12.28,3.39,54.57,3.45
LIT,2020-05-02 01:35,M,M,M,0.00
DSM,2020-05-02 01:35,M,M,M,4.60
MSP,2020-05-02 01:35,M,M,M,14.95
MDW,2020-05-02 01:35,M,M,M,11.50
BTR,2020-05-02 01:40,M,M,M,0.00
LIT,2020-05-02 01:40,M,M,M,2.30
DSM,2020-05-02 01:40,M,M,M,4.60
MSP,2020-05-02 01:40,M,M,M,12.65
MDW,2020-05-02 01:40,M,M,M,10.35
BTR,2020-05-02 01:45,M,M,M,0.00
LIT,2020-05-02 01:45,M,M,M,0.00
DSM,2020-05-02 01:45,M,M,M,4.60
MSP,2020-05-02 01:45,M,M,M,20.70
MDW,2020-05-02 01:45,M,M,M,11.50
BTR,2020-05-02 01:50,M,M,M,0.00
LIT,2020-05-02 01:50,M,M,M,0.00
DSM,2020-05-02 01:50,M,M,M,5.75
MSP,2020-05-02 01:50,M,M,M,18.40
MDW,2020-05-02 01:50,M,M,M,11.50
BTR,2020-05-02 01:53,16.72,13.28,80.11,0.00
LIT,2020-05-02 01:53,17.22,12.22,72.42,0.00
MSP,2020-05-02 01:53,16.72,10.00,64.50,17.25
MDW,2020-05-02 01:53,16.11,5.00,47.66,11.50
DSM,2020-05-02 01:54,16.11,11.72,75.20,5.75
BTR,2020-05-02 01:55,M,M,M,0.00
OZW,2020-05-02 01:55,12.00,4.00,58.02,3.45
LIT,2020-05-02 01:55,M,M,M,0.00
MDW,2020-05-02 01:55,M,M,M,10.35
OZW,2020-05-02 01:56,12.00,4.11,58.48,3.45
BTR,2020-05-02 02:00,M,M,M,2.30
LIT,2020-05-02 02:00,M,M,M,2.30
DSM,2020-05-02 02:00,M,M,M,5.75
MSP,2020-05-02 02:00,M,M,M,12.65
MDW,2020-05-02 02:00,M,M,M,11.50
BTR,2020-05-02 02:05,M,M,M,2.30
LIT,2020-05-02 02:05,M,M,M,0.00
DSM,2020-05-02 02:05,M,M,M,5.75
MSP,2020-05-02 02:05,M,M,M,11.50
MDW,2020-05-02 02:05,M,M,M,10.35
BTR,2020-05-02 02:10,M,M,M,0.00
LIT,2020-05-02 02:10,M,M,M,0.00
DSM,2020-05-02 02:10,M,M,M,5.75
MSP,2020-05-02 02:10,M,M,M,12.65
MDW,2020-05-02 02:10,M,M,M,11.50
BTR,2020-05-02 02:15,M,M,M,0.00
OZW,2020-05-02 02:15,11.28,4.39,62.54,4.60
LIT,2020-05-02 02:15,M,M,M,0.00
DSM,2020-05-02 02:15,M,M,M,8.05
MSP,2020-05-02 02:15,M,M,M,16.10
MDW,2020-05-02 02:15,M,M,M,11.50
OZW,2020-05-02 02:16,11.28,4.50,63.03,4.60
BTR,2020-05-02 02:20,M,M,M,0.00
LIT,2020-05-02 02:20,M,M,M,0.00
DSM,2020-05-02 02:20,M,M,M,8.05
MSP,2020-05-02 02:20,M,M,M,17.25
MDW,2020-05-02 02:20,M,M,M,11.50
BTR,2020-05-02 02:25,M,M,M,0.00
LIT,2020-05-02 02:25,M,M,M,0.00
DSM,2020-05-02 02:25,M,M,M,9.20
MSP,2020-05-02 02:25,M,M,M,14.95
MDW,2020-05-02 02:25,M,M,M,11.50
BTR,2020-05-02 02:30,M,M,M,0.00
LIT,2020-05-02 02:30,M,M,M,0.00
DSM,2020-05-02 02:30,M,M,M,10.35
MSP,2020-05-02 02:30,M,M,M,14.95
MDW,2020-05-02 02:30,M,M,M,12.65
BTR,2020-05-02 02:35,M,M,M,0.00
OZW,2020-05-02 02:35,11.11,4.50,63.73,4.60
LIT,2020-05-02 02:35,M,M,M,0.00
DSM,2020-05-02 02:35,M,M,M,10.35
MSP,2020-05-02 02:35,M,M,M,16.10
MDW,2020-05-02 02:35,M,M,M,11.50
BTR,2020-05-02 02:40,M,M,M,0.00
LIT,2020-05-02 02:40,M,M,M,0.00
DSM,2020-05-02 02:40,M,M,M,9.20
MSP,2020-05-02 02:40,M,M,M,12.65
MDW,2020-05-02 02:40,M,M,M,11.50
BTR,2020-05-02 02:45,M,M,M,0.00
LIT,2020-05-02 02:45,M,M,M,0.00
DSM,2020-05-02 02:45,M,M,M,9.20
MSP,2020-05-02 02:45,M,M,M,12.65
MDW,2020-05-02 02:45,M,M,M,12.65
BTR,2020-05-02 02:50,M,M,M,0.00
LIT,2020-05-02 02:50,M,M,M,0.00
DSM,2020-05-02 02:50,M,M,M,10.35
MSP,2020-05-02 02:50,M,M,M,12.65
MDW,2020-05-02 02:50,M,M,M,11.50
BTR,2020-05-02 02:53,15.61,13.89,89.48,0.00
LIT,2020-05-02 02:53,16.11,13.28,83.29,0.00
MSP,2020-05-02 02:53,16.11,9.39,64.37,11.50
MDW,2020-05-02 02:53,16.11,5.61,49.73,11.50
DSM,2020-05-02 02:54,17.22,11.72,70.07,9.20
BTR,2020-05-02 02:55,M,M,M,0.00
OZW,2020-05-02 02:55,11.00,4.61,64.70,5.75
LIT,2020-05-02 02:55,M,M,M,0.00
DSM,2020-05-02 02:55,M,M,M,10.35
MSP,2020-05-02 02:55,M,M,M,11.50
MDW,2020-05-02 02:55,M,M,M,12.65
OZW,2020-05-02 02:56,11.00,4.72,65.21,5.75
BTR,2020-05-02 03:00,M,M,M,0.00
LIT,2020-05-02 03:00,M,M,M,0.00
DSM,2020-05-02 03:00,M,M,M,9.20
