station,valid,tmpc,dwpc,relh,sped
BTR,2020-06-08 00:00,M,M,M,8.05
SPI,2020-06-08 00:00,M,M,M,8.05
LIT,2020-06-08 00:00,M,M,M,5.75
DSM,2020-06-08 00:00,M,M,M,12.65
MSP,2020-06-08 00:00,M,M,M,10.35
BTR,2020-06-08 00:05,M,M,M,5.75
SPI,2020-06-08 00:05,M,M,M,5.75
LIT,2020-06-08 00:05,M,M,M,5.75
DSM,2020-06-08 00:05,M,M,M,10.35
MSP,2020-06-08 00:05,M,M,M,11.50
BTR,2020-06-08 00:06,24.00,23.00,94.14,6.90
BTR,2020-06-08 00:10,M,M,M,4.60
SPI,2020-06-08 00:10,M,M,M,5.75
LIT,2020-06-08 00:10,M,M,M,8.05
DSM,2020-06-08 00:10,M,M,M,11.50
MSP,2020-06-08 00:10,M,M,M,12.65
BTR,2020-06-08 00:13,23.89,22.78,93.51,10.35
BTR,2020-06-08 00:15,M,M,M,9.20
OZW,2020-06-08 00:15,14.11,9.50,73.76,5.75
SPI,2020-06-08 00:15,M,M,M,4.60
LIT,2020-06-08 00:15,M,M,M,5.75
DSM,2020-06-08 00:15,M,M,M,12.65
MSP,2020-06-08 00:15,M,M,M,12.65
OZW,2020-06-08 00:16,14.00,9.50,74.29,5.75
BTR,2020-06-08 00:20,M,M,M,5.75
SPI,2020-06-08 00:20,M,M,M,4.60
LIT,2020-06-08 00:20,M,M,M,8.05
BTR,2020-06-08 00:25,M,M,M,5.75
SPI,2020-06-08 00:25,M,M,M,4.60
LIT,2020-06-08 00:25,M,M,M,8.05
BTR,2020-06-08 00:28,24.00,23.00,94.14,10.35
BTR,2020-06-08 00:30,M,M,M,5.75
SPI,2020-06-08 00:30,M,M,M,4.60
LIT,2020-06-08 00:30,M,M,M,9.20
DSM,2020-06-08 00:30,M,M,M,11.50
MSP,2020-06-08 00:30,M,M,M,12.65
BTR,2020-06-08 00:32,23.89,22.78,93.51,6.90
BTR,2020-06-08 00:35,M,M,M,4.60
OZW,2020-06-08 00:35,13.78,9.50,75.37,4.60
SPI,2020-06-08 00:35,M,M,M,4.60
