station,valid,tmpc,dwpc,relh,sped
OZW,2020-12-19 00:15,-1.61,-4.00,83.74,10.35
OZW,2020-12-19 00:35,-1.78,-4.00,84.78,11.50
SPI,2020-12-19 00:52,5.00,2.22,82.22,18.40
BTR,2020-12-19 00:53,5.00,3.89,92.52,6.90
LIT,2020-12-19 00:53,6.72,3.89,82.12,3.45
MSP,2020-12-19 00:53,0.61,-0.61,91.51,9.20
DSM,2020-12-19 00:54,1.72,-0.61,84.49,9.20
OZW,2020-12-19 00:55,-1.89,-4.00,85.47,10.35
DSM,2020-12-19 01:05,1.72,-0.61,84.49,10.35
MSP,2020-12-19 01:11,0.61,-0.61,91.51,6.90
OZW,2020-12-19 01:15,-1.89,-3.89,86.19,10.35
OZW,2020-12-19 01:35,-1.89,-3.78,86.91,11.50
MSP,2020-12-19 01:50,0.00,-1.00,92.97,9.20
SPI,2020-12-19 01:52,4.39,1.72,82.80,14.95
BTR,2020-12-19 01:53,5.61,3.89,88.67,5.75
LIT,2020-12-19 01:53,7.22,3.89,79.36,5.75
MSP,2020-12-19 01:53,0.00,-1.11,92.22,10.35
DSM,2020-12-19 01:54,1.11,-1.11,85.11,11.50
OZW,2020-12-19 01:55,-2.00,-3.72,87.99,9.20
OZW,2020-12-19 02:15,-2.11,-4.00,86.89,10.35
OZW,2020-12-19 02:35,-2.22,-3.89,88.33,9.20
MSP,2020-12-19 02:49,-1.00,-3.00,86.28,12.65
SPI,2020-12-19 02:52,4.39,1.72,82.80,14.95
BTR,2020-12-19 02:53,5.61,3.28,84.93,8.05
LIT,2020-12-19 02:53,7.22,3.89,79.36,5.75
MSP,2020-12-19 02:53,-1.11,-2.78,88.44,11.50
DSM,2020-12-19 02:54,0.61,-2.22,81.30,12.65
OZW,2020-12-19 02:55,-2.11,-3.72,88.71,10.35
MSP,2020-12-19 03:08,-1.11,-2.78,88.44,11.50
OZW,2020-12-19 03:15,-2.11,-3.61,89.45,12.65
OZW,2020-12-19 03:35,-2.00,-3.50,89.46,9.20
MSP,2020-12-19 03:39,-1.72,-3.28,89.12,13.80
SPI,2020-12-19 03:52,5.00,1.72,79.34,17.25
BTR,2020-12-19 03:53,6.72,3.89,82.12,9.20
LIT,2020-12-19 03:53,7.78,3.89,76.40,4.60
MSP,2020-12-19 03:53,-1.72,-2.78,92.49,10.35
DSM,2020-12-19 03:54,0.00,-2.78,81.55,16.10
OZW,2020-12-19 03:55,-2.00,-3.50,89.46,8.05
OZW,2020-12-19 04:15,-2.00,-3.50,89.46,9.20
