station,valid,tmpc,dwpc,relh,sped
MSP,2021-11-21 00:00,M,M,M,0.00
DSM,2021-11-21 00:00,M,M,M,5.75
LIT,2021-11-21 00:00,M,M,M,8.05
SPI,2021-11-21 00:00,M,M,M,2.30
BTR,2021-11-21 00:00,M,M,M,5.75
MSP,2021-11-21 00:05,M,M,M,0.00
BTR,2021-11-21 00:05,M,M,M,5.75
SPI,2021-11-21 00:05,M,M,M,4.60
LIT,2021-11-21 00:05,M,M,M,8.05
DSM,2021-11-21 00:05,M,M,M,5.75
SPI,2021-11-21 00:10,M,M,M,5.75
MSP,2021-11-21 00:10,M,M,M,0.00
DSM,2021-11-21 00:10,M,M,M,5.75
BTR,2021-11-21 00:10,M,M,M,10.35
LIT,2021-11-21 00:10,M,M,M,5.75
LIT,2021-11-21 00:15,M,M,M,9.20
DSM,2021-11-21 00:15,M,M,M,5.75
BTR,2021-11-21 00:15,M,M,M,5.75
MSP,2021-11-21 00:15,M,M,M,0.00
SPI,2021-11-21 00:15,M,M,M,9.20
OZW,2021-11-21 00:15,0.00,-1.11,92.22,0.00
SPI,2021-11-21 00:20,M,M,M,11.50
MSP,2021-11-21 00:20,M,M,M,0.00
DSM,2021-11-21 00:20,M,M,M,5.75
BTR,2021-11-21 00:20,M,M,M,5.75
LIT,2021-11-21 00:20,M,M,M,10.35
MSP,2021-11-21 00:25,M,M,M,0.00
BTR,2021-11-21 00:25,M,M,M,8.05
SPI,2021-11-21 00:25,M,M,M,10.35
LIT,2021-11-21 00:25,M,M,M,8.05
DSM,2021-11-21 00:25,M,M,M,4.60
BTR,2021-11-21 00:29,16.72,16.11,96.18,8.05
SPI,2021-11-21 00:30,M,M,M,8.05
MSP,2021-11-21 00:30,M,M,M,0.00
DSM,2021-11-21 00:30,M,M,M,5.75
BTR,2021-11-21 00:30,M,M,M,8.05
LIT,2021-11-21 00:30,M,M,M,8.05
DSM,2021-11-21 00:35,M,M,M,4.60
OZW,2021-11-21 00:35,0.00,-0.89,93.73,3.45
BTR,2021-11-21 00:35,M,M,M,8.05
SPI,2021-11-21 00:35,M,M,M,5.75
LIT,2021-11-21 00:35,M,M,M,5.75
MSP,2021-11-21 00:35,M,M,M,0.00
BTR,2021-11-21 00:40,M,M,M,10.35
MSP,2021-11-21 00:40,M,M,M,0.00
DSM,2021-11-21 00:40,M,M,M,4.60
LIT,2021-11-21 00:40,M,M,M,5.75
SPI,2021-11-21 00:40,M,M,M,2.30
MSP,2021-11-21 00:45,M,M,M,0.00
SPI,2021-11-21 00:45,M,M,M,5.75
BTR,2021-11-21 00:45,M,M,M,9.20
LIT,2021-11-21 00:45,M,M,M,4.60
DSM,2021-11-21 00:45,M,M,M,2.30
BTR,2021-11-21 00:50,M,M,M,8.05
DSM,2021-11-21 00:50,M,M,M,2.30
SPI,2021-11-21 00:50,M,M,M,8.05
LIT,2021-11-21 00:50,M,M,M,4.60
MSP,2021-11-21 00:50,M,M,M,0.00
SPI,2021-11-21 00:52,8.28,1.72,63.33,8.05
MSP,2021-11-21 00:53,0.00,-5.00,69.04,0.00
LIT,2021-11-21 00:53,12.22,7.22,71.50,4.60
BTR,2021-11-21 00:53,16.72,16.11,96.18,10.35
DSM,2021-11-21 00:54,5.00,0.00,70.08,3.45
DSM,2021-11-21 00:55,M,M,M,2.30
BTR,2021-11-21 00:55,M,M,M,9.20
LIT,2021-11-21 00:55,M,M,M,2.30
SPI,2021-11-21 00:55,M,M,M,10.35
MSP,2021-11-21 00:55,M,M,M,0.00
OZW,2021-11-21 00:55,-0.50,-1.22,94.86,4.60
DSM,2021-11-21 01:00,M,M,M,2.30
LIT,2021-11-21 01:00,M,M,M,0.00
MSP,2021-11-21 01:00,M,M,M,0.00
SPI,2021-11-21 01:00,M,M,M,8.05
BTR,2021-11-21 01:00,M,M,M,8.05
SPI,2021-11-21 01:05,M,M,M,9.20
LIT,2021-11-21 01:05,M,M,M,2.30
DSM,2021-11-21 01:05,M,M,M,2.30
MSP,2021-11-21 01:05,M,M,M,0.00
BTR,2021-11-21 01:05,M,M,M,8.05
BTR,2021-11-21 01:10,M,M,M,10.35
SPI,2021-11-21 01:10,M,M,M,8.05
LIT,2021-11-21 01:10,M,M,M,4.60
DSM,2021-11-21 01:10,M,M,M,4.60
MSP,2021-11-21 01:10,M,M,M,0.00
LIT,2021-11-21 01:15,M,M,M,0.00
SPI,2021-11-21 01:15,M,M,M,8.05
DSM,2021-11-21 01:15,M,M,M,4.60
BTR,2021-11-21 01:15,M,M,M,5.75
MSP,2021-11-21 01:15,M,M,M,0.00
OZW,2021-11-21 01:15,0.00,-0.89,93.73,3.45
MSP,2021-11-21 01:20,M,M,M,0.00
BTR,2021-11-21 01:20,M,M,M,5.75
SPI,2021-11-21 01:20,M,M,M,8.05
LIT,2021-11-21 01:20,M,M,M,0.00
DSM,2021-11-21 01:20,M,M,M,4.60
SPI,2021-11-21 01:25,M,M,M,8.05
BTR,2021-11-21 01:25,M,M,M,5.75
MSP,2021-11-21 01:25,M,M,M,0.00
DSM,2021-11-21 01:25,M,M,M,4.60
LIT,2021-11-21 01:25,M,M,M,2.30
SPI,2021-11-21 01:30,M,M,M,9.20
MSP,2021-11-21 01:30,M,M,M,0.00
BTR,2021-11-21 01:30,M,M,M,4.60
LIT,2021-11-21 01:30,M,M,M,0.00
DSM,2021-11-21 01:30,M,M,M,4.60
MSP,2021-11-21 01:35,M,M,M,0.00
LIT,2021-11-21 01:35,M,M,M,0.00
SPI,2021-11-21 01:35,M,M,M,5.75
BTR,2021-11-21 01:35,M,M,M,4.60
DSM,2021-11-21 01:35,M,M,M,2.30
OZW,2021-11-21 01:35,0.00,-0.72,94.88,0.00
DSM,2021-11-21 01:40,M,M,M,2.30
MSP,2021-11-21 01:40,M,M,M,2.30
BTR,2021-11-21 01:40,M,M,M,4.60
SPI,2021-11-21 01:40,M,M,M,8.05
LIT,2021-11-21 01:40,M,M,M,0.00
BTR,2021-11-21 01:45,M,M,M,5.75
DSM,2021-11-21 01:45,M,M,M,2.30
LIT,2021-11-21 01:45,M,M,M,0.00
MSP,2021-11-21 01:45,M,M,M,0.00
SPI,2021-11-21 01:45,M,M,M,5.75
BTR,2021-11-21 01:48,16.00,16.00,100.00,5.75
LIT,2021-11-21 01:50,M,M,M,0.00
BTR,2021-11-21 01:50,M,M,M,5.75
SPI,2021-11-21 01:50,M,M,M,8.05
DSM,2021-11-21 01:50,M,M,M,2.30
MSP,2021-11-21 01:50,M,M,M,0.00
SPI,2021-11-21 01:52,8.28,2.22,65.63,5.75
BTR,2021-11-21 01:53,16.11,15.61,96.85,8.05
MSP,2021-11-21 01:53,0.00,-3.89,75.07,0.00
LIT,2021-11-21 01:53,13.89,8.28,68.90,3.45
DSM,2021-11-21 01:54,5.00,0.00,70.08,4.60
DSM,2021-11-21 01:55,M,M,M,2.30
SPI,2021-11-21 01:55,M,M,M,5.75
MSP,2021-11-21 01:55,M,M,M,0.00
BTR,2021-11-21 01:55,M,M,M,9.20
OZW,2021-11-21 01:55,-0.11,-0.78,95.26,0.00
LIT,2021-11-21 01:55,M,M,M,2.30
MSP,2021-11-21 02:00,M,M,M,0.00
SPI,2021-11-21 02:00,M,M,M,5.75
LIT,2021-11-21 02:00,M,M,M,4.60
BTR,2021-11-21 02:00,M,M,M,5.75
DSM,2021-11-21 02:00,M,M,M,0.00
BTR,2021-11-21 02:05,M,M,M,5.75
DSM,2021-11-21 02:05,M,M,M,0.00
MSP,2021-11-21 02:05,M,M,M,2.30
SPI,2021-11-21 02:05,M,M,M,4.60
LIT,2021-11-21 02:05,M,M,M,4.60
MSP,2021-11-21 02:10,M,M,M,2.30
BTR,2021-11-21 02:10,M,M,M,5.75
SPI,2021-11-21 02:10,M,M,M,5.75
LIT,2021-11-21 02:10,M,M,M,2.30
DSM,2021-11-21 02:10,M,M,M,2.30
LIT,2021-11-21 02:15,M,M,M,0.00
SPI,2021-11-21 02:15,M,M,M,4.60
BTR,2021-11-21 02:15,M,M,M,5.75
MSP,2021-11-21 02:15,M,M,M,0.00
